Municipality,ref: ISTAT,Waste type,Quantity,category
Mori,4022123,Mixed Materials for Recovery (t),263.316,
Nogaredo,4022127,Mixed Materials for Recovery (t),25.469,
Nomi,4022128,Mixed Materials for Recovery (t),18.671,
Pomarolo,4022144,Mixed Materials for Recovery (t),44.426,
Riva del Garda,4022153,Mixed Materials for Recovery (t),288.303,
Ronzo-Chienis,4022135,Mixed Materials for Recovery (t),46.727,
Terragnolo,4022193,Mixed Materials for Recovery (t),11.526,
Trambileno,4022203,Mixed Materials for Recovery (t),21.288,
Vallarsa,4022210,Mixed Materials for Recovery (t),38.349,
Villa Lagarina,4022222,Mixed Materials for Recovery (t),124.789,
Volano,4022224,Mixed Materials for Recovery (t),92.13,
Ala,4022001,Mixed Materials for Recovery (t),187.177,
Avio,4022007,Mixed Materials for Recovery (t),130.609,
Besenello,4022013,Mixed Materials for Recovery (t),78.651,
Borgo Valsugana,4022022,Mixed Materials for Recovery (t),121.939,
Brentonico,4022025,Mixed Materials for Recovery (t),136.624,
Calliano,4022035,Mixed Materials for Recovery (t),53.966,
Campitello di Fassa,4022036,Mixed Materials for Recovery (t),103.75,
Folgaria,4022087,Mixed Materials for Recovery (t),167.372,
Isera,4022098,Mixed Materials for Recovery (t),47.476,
Lavarone,4022102,Mixed Materials for Recovery (t),112.265,
Male,4022110,Mixed Materials for Recovery (t),38.578,
Mori,4022123,Mixed Materials for Recovery (t),249.082,
Nogaredo,4022127,Mixed Materials for Recovery (t),32.067,
Nomi,4022128,Mixed Materials for Recovery (t),17.506,
Pomarolo,4022144,Mixed Materials for Recovery (t),43.674,
Riva del Garda,4022153,Mixed Materials for Recovery (t),392.383,
Ronzo-Chienis,4022135,Mixed Materials for Recovery (t),49.422,
Soraga,4022176,Mixed Materials for Recovery (t),35.99,
Terragnolo,4022193,Mixed Materials for Recovery (t),14.849,
Trambileno,4022203,Mixed Materials for Recovery (t),29.964,
Vallarsa,4022210,Mixed Materials for Recovery (t),48.938,
Villa Lagarina,4022222,Mixed Materials for Recovery (t),118.786,
Volano,4022224,Mixed Materials for Recovery (t),105.882,
Bieno,4022015,Mixed Materials for Recovery (t),6.094,
Borgo Valsugana,4022022,Mixed Materials for Recovery (t),88.746,
Caldes,4022033,Mixed Materials for Recovery (t),10.662,
Carzano,4022043,Mixed Materials for Recovery (t),6.647,
Castello Tesino,4022048,Mixed Materials for Recovery (t),17.993,
Castelnuovo,4022049,Mixed Materials for Recovery (t),13.671,
Cavalese,4022050,Mixed Materials for Recovery (t),55.383,
Cavizzana,4022054,Mixed Materials for Recovery (t),2.011,
Cinte Tesino,4022059,Mixed Materials for Recovery (t),5.026,
Commezzadura,4022064,Mixed Materials for Recovery (t),31.789,
Croviana,4022068,Mixed Materials for Recovery (t),11.873,
Grigno,4022095,Mixed Materials for Recovery (t),26.461,
Male,4022110,Mixed Materials for Recovery (t),25.436,
Mezzana,4022114,Mixed Materials for Recovery (t),20.063,
Novaledo,4022129,Mixed Materials for Recovery (t),14.01,
Ospedaletto,4022130,Mixed Materials for Recovery (t),9.989,
Ossana,4022131,Mixed Materials for Recovery (t),16.697,
Peio,4022136,Mixed Materials for Recovery (t),20.886,
Pellizzano,4022137,Mixed Materials for Recovery (t),11.916,
Pieve Tesino,4022142,Mixed Materials for Recovery (t),10.266,
Rabbi,4022150,Mixed Materials for Recovery (t),18.373,
Roncegno Terme,4022156,Mixed Materials for Recovery (t),38.147,
Ronchi Valsugana,4022157,Mixed Materials for Recovery (t),6.156,
Samone,4022165,Mixed Materials for Recovery (t),7.087,
Scurelle,4022171,Mixed Materials for Recovery (t),17.578,
Telve,4022188,Mixed Materials for Recovery (t),24.614,
Telve di Sopra,4022189,Mixed Materials for Recovery (t),7.552,
Terzolas,4022195,Mixed Materials for Recovery (t),7.693,
Torcegno,4022202,Mixed Materials for Recovery (t),8.896,
Vermiglio,4022213,Mixed Materials for Recovery (t),27.357,
Ala,4022001,Mixed Materials for Recovery (t),"52,000",
Albiano,4022002,Mixed Materials for Recovery (t),"10,989",
Aldeno,4022003,Mixed Materials for Recovery (t),"23,304",
Altavalle,4022235,Mixed Materials for Recovery (t),"12,583",
Altopiano Della Vigolana,4022236,Mixed Materials for Recovery (t),"28,188",
Andalo,4022005,Mixed Materials for Recovery (t),"25,397",
Avio,4022007,Mixed Materials for Recovery (t),"97,920",
Baselga di Pine,4022009,Mixed Materials for Recovery (t),"32,571",
Bedollo,4022011,Mixed Materials for Recovery (t),"8,786",
Bieno,4022015,Mixed Materials for Recovery (t),"1,704",
Borgo Valsugana,4022022,Mixed Materials for Recovery (t),"24,808",
Brentonico,4022025,Mixed Materials for Recovery (t),"112,090",
Calceranica al Lago,4022032,Mixed Materials for Recovery (t),"10,764",
Caldes,4022033,Mixed Materials for Recovery (t),"4,541",
Caldonazzo,4022034,Mixed Materials for Recovery (t),"22,299",
Calliano,4022035,Mixed Materials for Recovery (t),"52,603",
Canal San Bovo,4022038,Mixed Materials for Recovery (t),"2,316",
Capriana,4022040,Mixed Materials for Recovery (t),"4,097",
Carzano,4022043,Mixed Materials for Recovery (t),"1,858",
Castel Ivano,4022240,Mixed Materials for Recovery (t),"11,689",
Castello Tesino,4022048,Mixed Materials for Recovery (t),"5,030",
Castello-Molina di Fiemme,4022047,Mixed Materials for Recovery (t),"17,059",
Castelnuovo,4022049,Mixed Materials for Recovery (t),"3,821",
Cavalese,4022050,Mixed Materials for Recovery (t),"34,895",
Cavedago,4022052,Mixed Materials for Recovery (t),"4,706",
Cavedine,4022053,Mixed Materials for Recovery (t),"22,190",
Cavizzana,4022054,Mixed Materials for Recovery (t),"0,987",
Cembra Lisignago,4022241,Mixed Materials for Recovery (t),"16,926",
Cimone,4022058,Mixed Materials for Recovery (t),"5,235",
Cinte Tesino,4022059,Mixed Materials for Recovery (t),"1,405",
Civezzano,4022061,Mixed Materials for Recovery (t),"21,511",
Commezzadura,4022064,Mixed Materials for Recovery (t),"5,928",
Croviana,4022068,Mixed Materials for Recovery (t),"2,874",
Dimaro Folgarida,4022233,Mixed Materials for Recovery (t),"16,523",
Fai della Paganella,4022081,Mixed Materials for Recovery (t),"10,664",
Fierozzo,4022085,Mixed Materials for Recovery (t),"2,680",
Folgaria,4022087,Mixed Materials for Recovery (t),"128,000",
Fornace,4022089,Mixed Materials for Recovery (t),"7,063",
Frassilongo,4022090,Mixed Materials for Recovery (t),"2,157",
Garniga Terme,4022091,Mixed Materials for Recovery (t),"2,997",
Giovo,4022092,Mixed Materials for Recovery (t),"18,765",
Grigno,4022095,Mixed Materials for Recovery (t),"7,397",
Imer,4022097,Mixed Materials for Recovery (t),"1,804",
Isera,4022098,Mixed Materials for Recovery (t),"67,341",
Lavarone,4022102,Mixed Materials for Recovery (t),"70,320",
Lavis,4022103,Mixed Materials for Recovery (t),"66,308",
Levico Terme,4022104,Mixed Materials for Recovery (t),"52,073",
Lona-Lases,4022108,Mixed Materials for Recovery (t),"6,371",
Luserna,4022109,Mixed Materials for Recovery (t),"9,750",
Madruzzo,4022243,Mixed Materials for Recovery (t),"21,429",
Male,4022110,Mixed Materials for Recovery (t),"9,885",
Mezzana,4022114,Mixed Materials for Recovery (t),"11,522",
Mezzano,4022115,Mixed Materials for Recovery (t),"2,537",
Mezzocorona,4022116,Mixed Materials for Recovery (t),"40,557",
Mezzolombardo,4022117,Mixed Materials for Recovery (t),"53,262",
Molveno,4022120,Mixed Materials for Recovery (t),"16,470",
Mori,4022123,Mixed Materials for Recovery (t),"225,510",
Nogaredo,4022127,Mixed Materials for Recovery (t),"22,513",
Nomi,4022128,Mixed Materials for Recovery (t),"15,015",
Novaledo,4022129,Mixed Materials for Recovery (t),"3,916",
Ospedaletto,4022130,Mixed Materials for Recovery (t),"2,792",
Ossana,4022131,Mixed Materials for Recovery (t),"4,717",
Palu del Fersina,4022133,Mixed Materials for Recovery (t),"0,973",
Panchia ,4022134,Mixed Materials for Recovery (t),"6,506",
Peio,4022136,Mixed Materials for Recovery (t),"11,567",
Pellizzano,4022137,Mixed Materials for Recovery (t),"4,138",
Pergine Valsugana,4022139,Mixed Materials for Recovery (t),"116,125",
Pieve Tesino,4022142,Mixed Materials for Recovery (t),"2,870",
Pomarolo,4022144,Mixed Materials for Recovery (t),"39,758",
Predazzo,4022147,Mixed Materials for Recovery (t),"37,360",
Primiero San Martino Di Castrozza,4022245,Mixed Materials for Recovery (t),"10,933",
Rabbi,4022150,Mixed Materials for Recovery (t),"6,550",
Roncegno Terme,4022156,Mixed Materials for Recovery (t),"10,664",
Ronchi Valsugana,4022157,Mixed Materials for Recovery (t),"1,721",
Ronzo-Chienis,4022135,Mixed Materials for Recovery (t),"43,220",
Rovere della Luna,4022160,Mixed Materials for Recovery (t),"11,953",
Rovereto,4022161,Mixed Materials for Recovery (t),"642,580",
Sagron Mis,4022164,Mixed Materials for Recovery (t),"0,289",
Samone,4022165,Mixed Materials for Recovery (t),"1,981",
San Michele all\'Adige,4022167,Mixed Materials for Recovery (t),"28,908",
Sant\'Orsola Terme,4022168,Mixed Materials for Recovery (t),"5,974",
Scurelle,4022171,Mixed Materials for Recovery (t),"4,914",
Segonzano,4022172,Mixed Materials for Recovery (t),"10,896",
Sover,4022177,Mixed Materials for Recovery (t),"5,973",
Spormaggiore,4022180,Mixed Materials for Recovery (t),"9,715",
Telve,4022188,Mixed Materials for Recovery (t),"6,881",
Telve di Sopra,4022189,Mixed Materials for Recovery (t),"2,111",
Tenna,4022190,Mixed Materials for Recovery (t),"6,132",
Terragnolo,4022193,Mixed Materials for Recovery (t),"14,280",
Terre d\'Adige,4022251,Mixed Materials for Recovery (t),"22,204",
Terzolas,4022195,Mixed Materials for Recovery (t),"2,782",
Tesero,4022196,Mixed Materials for Recovery (t),"23,242",
Torcegno,4022202,Mixed Materials for Recovery (t),"2,487",
Trambileno,4022203,Mixed Materials for Recovery (t),"25,010",
Trento,4022205,Mixed Materials for Recovery (t),"1.373,840",
Valfloriana,4022209,Mixed Materials for Recovery (t),"3,172",
Vallarsa,4022210,Mixed Materials for Recovery (t),"35,990",
Vallelaghi,4022248,Mixed Materials for Recovery (t),"38,261",
Vermiglio,4022213,Mixed Materials for Recovery (t),"11,406",
Vignola-Falesina,4022216,Mixed Materials for Recovery (t),"1,185",
Villa Lagarina,4022222,Mixed Materials for Recovery (t),"97,321",
Ville di Fiemme,4022254,Mixed Materials for Recovery (t),"23,975",
Volano,4022224,Mixed Materials for Recovery (t),"66,680",
Ziano di Fiemme,4022226,Mixed Materials for Recovery (t),"14,613",
Ala,4022001,Mixed Materials for Recovery (t),50.92,
Arco,4022006,Mixed Materials for Recovery (t),123.364,
Avio,4022007,Mixed Materials for Recovery (t),47.155,
Borgo Valsugana,4022022,Mixed Materials for Recovery (t),49.954,
Calliano,4022035,Mixed Materials for Recovery (t),6.59,
Cavalese,4022050,Mixed Materials for Recovery (t),16.596,
Cles,4022062,Mixed Materials for Recovery (t),3.666,
Folgaria,4022087,Mixed Materials for Recovery (t),43.975,
Isera,4022098,Mixed Materials for Recovery (t),9.397,
Lavarone,4022102,Mixed Materials for Recovery (t),36.605,
Lavis,4022103,Mixed Materials for Recovery (t),22.963,
Male,4022110,Mixed Materials for Recovery (t),5.315,
Mori,4022123,Mixed Materials for Recovery (t),52.374,
Nogaredo,4022127,Mixed Materials for Recovery (t),8.701,
Nomi,4022128,Mixed Materials for Recovery (t),3.757,
Pergine Valsugana,4022139,Mixed Materials for Recovery (t),63.816,
Pomarolo,4022144,Mixed Materials for Recovery (t),11.033,
Primiero San Martino Di Castrozza,4022245,Mixed Materials for Recovery (t),34.62,
Riva del Garda,4022153,Mixed Materials for Recovery (t),41.248,
Rovereto,4022161,Mixed Materials for Recovery (t),241.068,
Terragnolo,4022193,Mixed Materials for Recovery (t),1.08,
Trento,4022205,Mixed Materials for Recovery (t),604.779,
Villa Lagarina,4022222,Mixed Materials for Recovery (t),37.675,
Volano,4022224,Mixed Materials for Recovery (t),37.935,
Ala,4022001,Paper and Cardboard (t),"508,896",2
Albiano,4022002,Paper and Cardboard (t),"79,133",2
Aldeno,4022003,Paper and Cardboard (t),"172,566",2
Amblar,4022004,Paper and Cardboard (t),"19,417",2
Andalo,4022005,Paper and Cardboard (t),"243,566",2
Arco,4022006,Paper and Cardboard (t),"1.170,507",2
Avio,4022007,Paper and Cardboard (t),"227,233",2
Baselga di Pine,4022009,Paper and Cardboard (t),"432,472",2
Bedollo,4022011,Paper and Cardboard (t),"119,500",2
Bersone,4022012,Paper and Cardboard (t),"7,368",2
Besenello,4022013,Paper and Cardboard (t),"135,574",2
Bieno,4022015,Paper and Cardboard (t),"24,865",2
Bleggio Superiore,4022017,Paper and Cardboard (t),"116,417",2
Bocenago,4022018,Paper and Cardboard (t),"25,662",2
Bolbeno,4022019,Paper and Cardboard (t),"24,879",2
Bondo,4022020,Paper and Cardboard (t),"24,479",2
Bondone,4022021,Paper and Cardboard (t),"23,987",2
Borgo Valsugana,4022022,Paper and Cardboard (t),"441,198",2
Bosentino,4022023,Paper and Cardboard (t),"59,053",2
Breguzzo,4022024,Paper and Cardboard (t),"21,604",2
Brentonico,4022025,Paper and Cardboard (t),"280,050",2
Bresimo,4022026,Paper and Cardboard (t),"17,259",2
Brez,4022027,Paper and Cardboard (t),"51,909",2
Brione,4022028,Paper and Cardboard (t),"2,449",2
Caderzone Terme,4022029,Paper and Cardboard (t),"30,852",2
Cagno,4022030,Paper and Cardboard (t),"23,274",2
Calavino,4022031,Paper and Cardboard (t),"113,083",2
Calceranica al Lago,4022032,Paper and Cardboard (t),"146,293",2
Caldes,4022033,Paper and Cardboard (t),"39,865",2
Caldonazzo,4022034,Paper and Cardboard (t),"279,060",2
Calliano,4022035,Paper and Cardboard (t),"80,494",2
Campitello di Fassa,4022036,Paper and Cardboard (t),"112,097",2
Campodenno,4022037,Paper and Cardboard (t),"98,851",2
Canal San Bovo,4022038,Paper and Cardboard (t),"131,450",2
Canazei,4022039,Paper and Cardboard (t),"310,879",2
Capriana,4022040,Paper and Cardboard (t),"52,537",2
Carano,4022041,Paper and Cardboard (t),"158,129",2
Carisolo,4022042,Paper and Cardboard (t),"71,093",2
Carzano,4022043,Paper and Cardboard (t),"24,964",2
Castel Condino,4022045,Paper and Cardboard (t),"7,010",2
Castelfondo,4022046,Paper and Cardboard (t),"46,483",2
Castello Tesino,4022048,Paper and Cardboard (t),"75,438",2
Castello-Molina di Fiemme,4022047,Paper and Cardboard (t),"216,442",2
Castelnuovo,4022049,Paper and Cardboard (t),"67,960",2
Cavalese,4022050,Paper and Cardboard (t),"447,058",2
Cavareno,4022051,Paper and Cardboard (t),"88,914",2
Cavedago,4022052,Paper and Cardboard (t),"44,482",2
Cavedine,4022053,Paper and Cardboard (t),"191,525",2
Cavizzana,4022054,Paper and Cardboard (t),"8,380",2
Cembra,4022055,Paper and Cardboard (t),"117,005",2
Centa San Nicolo,4022056,Paper and Cardboard (t),"46,241",2
Cimego,4022057,Paper and Cardboard (t),"14,066",2
Cimone,4022058,Paper and Cardboard (t),"40,954",2
Cinte Tesino,4022059,Paper and Cardboard (t),"22,621",2
Cis,4022060,Paper and Cardboard (t),"20,921",2
Civezzano,4022061,Paper and Cardboard (t),"278,972",2
Cles,4022062,Paper and Cardboard (t),"459,276",2
Cloz,4022063,Paper and Cardboard (t),"48,706",2
Comano Terme,4022228,Paper and Cardboard (t),"159,593",2
Commezzadura,4022064,Paper and Cardboard (t),"72,596",2
Condino,4022066,Paper and Cardboard (t),"111,600",2
Coredo,4022067,Paper and Cardboard (t),"136,835",2
Croviana,4022068,Paper and Cardboard (t),"37,898",2
Cunevo,4022069,Paper and Cardboard (t),"40,860",2
Daiano,4022070,Paper and Cardboard (t),"69,916",2
Dambel,4022071,Paper and Cardboard (t),"28,635",2
Daone,4022072,Paper and Cardboard (t),"16,008",2
Dare,4022073,Paper and Cardboard (t),"17,902",2
Denno,4022074,Paper and Cardboard (t),"85,187",2
Dimaro,4022075,Paper and Cardboard (t),"153,169",2
Don,4022076,Paper and Cardboard (t),"22,621",2
Dorsino,4022077,Paper and Cardboard (t),"15,857",2
Drena,4022078,Paper and Cardboard (t),"46,529",2
Dro,4022079,Paper and Cardboard (t),"298,660",2
Faedo,4022080,Paper and Cardboard (t),"48,373",2
Fai della Paganella,4022081,Paper and Cardboard (t),"100,894",2
Faver,4022082,Paper and Cardboard (t),"47,151",2
Fiave,4022083,Paper and Cardboard (t),"40,305",2
Fiera di Primiero,4022084,Paper and Cardboard (t),"49,694",2
Fierozzo,4022085,Paper and Cardboard (t),"35,525",2
Flavon,4022086,Paper and Cardboard (t),"37,004",2
Folgaria,4022087,Paper and Cardboard (t),"313,360",2
Fondo,4022088,Paper and Cardboard (t),"112,972",2
Fornace,4022089,Paper and Cardboard (t),"93,123",2
Frassilongo,4022090,Paper and Cardboard (t),"26,960",2
Garniga Terme,4022091,Paper and Cardboard (t),"24,683",2
Giovo,4022092,Paper and Cardboard (t),"138,173",2
Giustino,4022093,Paper and Cardboard (t),"86,626",2
Grauno,4022094,Paper and Cardboard (t),"7,053",2
Grigno,4022095,Paper and Cardboard (t),"119,918",2
Grumes,4022096,Paper and Cardboard (t),"21,000",2
Imer,4022097,Paper and Cardboard (t),"95,031",2
Isera,4022098,Paper and Cardboard (t),"184,609",2
Ivano-Fracena,4022099,Paper and Cardboard (t),"15,923",2
Lardaro,4022100,Paper and Cardboard (t),"8,189",2
Lasino,4022101,Paper and Cardboard (t),"75,572",2
Lavarone,4022102,Paper and Cardboard (t),"108,755",2
Lavis,4022103,Paper and Cardboard (t),"863,875",2
Ledro,4022229,Paper and Cardboard (t),"378,468",2
Levico Terme,4022104,Paper and Cardboard (t),"693,563",2
Lisignago,4022105,Paper and Cardboard (t),"34,122",2
Livo,4022106,Paper and Cardboard (t),"57,532",2
Lona-Lases,4022108,Paper and Cardboard (t),"44,743",2
Luserna,4022109,Paper and Cardboard (t),"25,678",2
Male,4022110,Paper and Cardboard (t),"182,908",2
Malosco,4022111,Paper and Cardboard (t),"44,391",2
Massimeno,4022112,Paper and Cardboard (t),"7,877",2
Mazzin,4022113,Paper and Cardboard (t),"53,706",2
Mezzana,4022114,Paper and Cardboard (t),"114,081",2
Mezzano,4022115,Paper and Cardboard (t),"133,515",2
Mezzocorona,4022116,Paper and Cardboard (t),"285,410",2
Mezzolombardo,4022117,Paper and Cardboard (t),"664,339",2
Moena,4022118,Paper and Cardboard (t),"290,063",2
Molveno,4022120,Paper and Cardboard (t),"154,785",2
Monclassico,4022121,Paper and Cardboard (t),"47,468",2
Montagne,4022122,Paper and Cardboard (t),"10,151",2
Mori,4022123,Paper and Cardboard (t),"599,331",2
Nago-Torbole,4022124,Paper and Cardboard (t),"336,276",2
Nanno,4022125,Paper and Cardboard (t),"40,077",2
Nave San Rocco,4022126,Paper and Cardboard (t),"74,473",2
Nogaredo,4022127,Paper and Cardboard (t),"123,895",2
Nomi,4022128,Paper and Cardboard (t),"101,885",2
Novaledo,4022129,Paper and Cardboard (t),"66,269",2
Ospedaletto,4022130,Paper and Cardboard (t),"44,287",2
Ossana,4022131,Paper and Cardboard (t),"69,958",2
Padergnone,4022132,Paper and Cardboard (t),"53,441",2
Palu del Fersina,4022133,Paper and Cardboard (t),"13,486",2
Panchia ,4022134,Paper and Cardboard (t),"77,687",2
Peio,4022136,Paper and Cardboard (t),"133,214",2
Pellizzano,4022137,Paper and Cardboard (t),"69,621",2
Pelugo,4022138,Paper and Cardboard (t),"11,693",2
Pergine Valsugana,4022139,Paper and Cardboard (t),"1.498,443",2
Pieve di Bono,4022140,Paper and Cardboard (t),"109,234",2
Pieve Tesino,4022142,Paper and Cardboard (t),"38,768",2
Pinzolo,4022143,Paper and Cardboard (t),"1.066,969",2
Pomarolo,4022144,Paper and Cardboard (t),"146,913",2
Pozza di Fassa,4022145,Paper and Cardboard (t),"234,385",2
Praso,4022146,Paper and Cardboard (t),"9,169",2
Predazzo,4022147,Paper and Cardboard (t),"476,111",2
Preore,4022148,Paper and Cardboard (t),"9,614",2
Prezzo,4022149,Paper and Cardboard (t),"5,718",2
Rabbi,4022150,Paper and Cardboard (t),"58,393",2
Ragoli,4022151,Paper and Cardboard (t),"264,631",2
Revo,4022152,Paper and Cardboard (t),"81,983",2
Riva del Garda,4022153,Paper and Cardboard (t),"1.145,802",2
Romallo,4022154,Paper and Cardboard (t),"40,273",2
Romeno,4022155,Paper and Cardboard (t),"105,976",2
Roncegno Terme,4022156,Paper and Cardboard (t),"132,888",2
Ronchi Valsugana,4022157,Paper and Cardboard (t),"27,627",2
Roncone,4022158,Paper and Cardboard (t),"57,772",2
Ronzo-Chienis,4022135,Paper and Cardboard (t),"60,510",2
Ronzone,4022159,Paper and Cardboard (t),"54,001",2
Rovere della Luna,4022160,Paper and Cardboard (t),"102,158",2
Rovereto,4022161,Paper and Cardboard (t),"2.915,267",2
Ruffre-Mendola,4022162,Paper and Cardboard (t),"40,730",2
Rumo,4022163,Paper and Cardboard (t),"61,847",2
Sagron Mis,4022164,Paper and Cardboard (t),"16,605",2
Samone,4022165,Paper and Cardboard (t),"27,743",2
San Lorenzo in Banale,4022166,Paper and Cardboard (t),"45,509",2
San Michele all\'Adige,4022167,Paper and Cardboard (t),"382,285",2
Sant\'Orsola Terme,4022168,Paper and Cardboard (t),"76,376",2
Sanzeno,4022169,Paper and Cardboard (t),"63,220",2
Sarnonico,4022170,Paper and Cardboard (t),"64,005",2
Scurelle,4022171,Paper and Cardboard (t),"70,925",2
Segonzano,4022172,Paper and Cardboard (t),"75,489",2
Sfruz,4022173,Paper and Cardboard (t),"31,316",2
Siror,4022174,Paper and Cardboard (t),"209,149",2
Smarano,4022175,Paper and Cardboard (t),"42,364",2
Soraga,4022176,Paper and Cardboard (t),"74,329",2
Sover,4022177,Paper and Cardboard (t),"50,672",2
Spera,4022178,Paper and Cardboard (t),"31,301",2
Spiazzo,4022179,Paper and Cardboard (t),"135,104",2
Spormaggiore,4022180,Paper and Cardboard (t),"84,389",2
Sporminore,4022181,Paper and Cardboard (t),"46,941",2
Stenico,4022182,Paper and Cardboard (t),"116,338",2
Storo,4022183,Paper and Cardboard (t),"204,052",2
Strembo,4022184,Paper and Cardboard (t),"21,738",2
Strigno,4022185,Paper and Cardboard (t),"66,635",2
Taio,4022186,Paper and Cardboard (t),"201,951",2
Tassullo,4022187,Paper and Cardboard (t),"124,544",2
Telve,4022188,Paper and Cardboard (t),"102,853",2
Telve di Sopra,4022189,Paper and Cardboard (t),"29,678",2
Tenna,4022190,Paper and Cardboard (t),"74,100",2
Tenno,4022191,Paper and Cardboard (t),"101,322",2
Terlago,4022192,Paper and Cardboard (t),"117,487",2
Terragnolo,4022193,Paper and Cardboard (t),"27,518",2
Terres,4022194,Paper and Cardboard (t),"21,705",2
Terzolas,4022195,Paper and Cardboard (t),"31,651",2
Tesero,4022196,Paper and Cardboard (t),"289,187",2
Tione di Trento,4022199,Paper and Cardboard (t),"418,940",2
Ton,4022200,Paper and Cardboard (t),"88,521",2
Tonadico,4022201,Paper and Cardboard (t),"159,570",2
Torcegno,4022202,Paper and Cardboard (t),"34,442",2
Trambileno,4022203,Paper and Cardboard (t),"67,496",2
Transacqua,4022204,Paper and Cardboard (t),"208,642",2
Trento,4022205,Paper and Cardboard (t),"9.935,876",2
Tres,4022206,Paper and Cardboard (t),"54,459",2
Tuenno,4022207,Paper and Cardboard (t),"160,567",2
Valda,4022208,Paper and Cardboard (t),"8,405",2
Valfloriana,4022209,Paper and Cardboard (t),"44,525",2
Vallarsa,4022210,Paper and Cardboard (t),"69,660",2
Varena,4022211,Paper and Cardboard (t),"93,825",2
Vattaro,4022212,Paper and Cardboard (t),"85,069",2
Vermiglio,4022213,Paper and Cardboard (t),"139,040",2
Vervo,4022214,Paper and Cardboard (t),"52,302",2
Vezzano,4022215,Paper and Cardboard (t),"147,242",2
Vignola-Falesina,4022216,Paper and Cardboard (t),"15,084",2
Vigo di Fassa,4022217,Paper and Cardboard (t),"153,511",2
Vigo Rendena,4022220,Paper and Cardboard (t),"24,173",2
Vigolo Vattaro,4022219,Paper and Cardboard (t),"158,994",2
Villa Agnedo,4022221,Paper and Cardboard (t),"41,087",2
Villa Lagarina,4022222,Paper and Cardboard (t),"248,634",2
Villa Rendena,4022223,Paper and Cardboard (t),"27,096",2
Volano,4022224,Paper and Cardboard (t),"195,366",2
Zambana,4022225,Paper and Cardboard (t),"118,690",2
Ziano di Fiemme,4022226,Paper and Cardboard (t),"183,066",2
Zuclo,4022227,Paper and Cardboard (t),"28,282",2
Ala,4022001,Paper and Cardboard (t),"486,672",2
Albiano,4022002,Paper and Cardboard (t),"76,909",2
Aldeno,4022003,Paper and Cardboard (t),"155,864",2
Amblar,4022004,Paper and Cardboard (t),"18,697",2
Andalo,4022005,Paper and Cardboard (t),"257,591",2
Arco,4022006,Paper and Cardboard (t),"1.109,844",2
Avio,4022007,Paper and Cardboard (t),"231,749",2
Baselga di Pine,4022009,Paper and Cardboard (t),"430,198",2
Bedollo,4022011,Paper and Cardboard (t),"118,391",2
Besenello,4022013,Paper and Cardboard (t),"127,324",2
Bieno,4022015,Paper and Cardboard (t),"25,291",2
Bleggio Superiore,4022017,Paper and Cardboard (t),"122,038",2
Bocenago,4022018,Paper and Cardboard (t),"35,648",2
Bolbeno,4022019,Paper and Cardboard (t),"24,244",2
Bondo,4022020,Paper and Cardboard (t),"50,673",2
Bondone,4022021,Paper and Cardboard (t),"48,693",2
Borgo Valsugana,4022022,Paper and Cardboard (t),"414,607",2
Bosentino,4022023,Paper and Cardboard (t),"60,076",2
Breguzzo,4022024,Paper and Cardboard (t),"48,555",2
Brentonico,4022025,Paper and Cardboard (t),"273,026",2
Bresimo,4022026,Paper and Cardboard (t),"16,424",2
Brez,4022027,Paper and Cardboard (t),"50,721",2
Brione,4022028,Paper and Cardboard (t),"8,673",2
Caderzone Terme,4022029,Paper and Cardboard (t),"75,122",2
Cagno,4022030,Paper and Cardboard (t),"22,234",2
Calavino,4022031,Paper and Cardboard (t),"98,773",2
Calceranica al Lago,4022032,Paper and Cardboard (t),"147,930",2
Caldes,4022033,Paper and Cardboard (t),"36,887",2
Caldonazzo,4022034,Paper and Cardboard (t),"280,573",2
Calliano,4022035,Paper and Cardboard (t),"83,956",2
Campitello di Fassa,4022036,Paper and Cardboard (t),"98,305",2
Campodenno,4022037,Paper and Cardboard (t),"95,568",2
Canal San Bovo,4022038,Paper and Cardboard (t),"123,791",2
Canazei,4022039,Paper and Cardboard (t),"280,300",2
Capriana,4022040,Paper and Cardboard (t),"49,603",2
Carano,4022041,Paper and Cardboard (t),"154,884",2
Carisolo,4022042,Paper and Cardboard (t),"142,253",2
Carzano,4022043,Paper and Cardboard (t),"26,664",2
Castel Condino,4022045,Paper and Cardboard (t),"16,868",2
Castelfondo,4022046,Paper and Cardboard (t),"44,089",2
Castello Tesino,4022048,Paper and Cardboard (t),"81,618",2
Castello-Molina di Fiemme,4022047,Paper and Cardboard (t),"208,657",2
Castelnuovo,4022049,Paper and Cardboard (t),"64,648",2
Cavalese,4022050,Paper and Cardboard (t),"438,312",2
Cavareno,4022051,Paper and Cardboard (t),"86,662",2
Cavedago,4022052,Paper and Cardboard (t),"44,126",2
Cavedine,4022053,Paper and Cardboard (t),"187,179",2
Cavizzana,4022054,Paper and Cardboard (t),"7,956",2
Cembra,4022055,Paper and Cardboard (t),"116,196",2
Centa San Nicolo,4022056,Paper and Cardboard (t),"47,493",2
Cimego,4022057,Paper and Cardboard (t),"29,025",2
Cimone,4022058,Paper and Cardboard (t),"38,361",2
Cinte Tesino,4022059,Paper and Cardboard (t),"19,943",2
Cis,4022060,Paper and Cardboard (t),"20,213",2
