Municipality,ref: ISTAT,Waste type,Quantity,category
Nago-Torbole,4022124,Organic Fraction (t),"648,200",1
Nanno,4022125,Organic Fraction (t),"56,980",1
Nave San Rocco,4022126,Organic Fraction (t),"145,096",1
Nogaredo,4022127,Organic Fraction (t),"262,673",1
Nomi,4022128,Organic Fraction (t),"138,662",1
Novaledo,4022129,Organic Fraction (t),"29,229",1
Ospedaletto,4022130,Organic Fraction (t),"30,500",1
Ossana,4022131,Organic Fraction (t),"127,423",1
Padergnone,4022132,Organic Fraction (t),"77,106",1
Palu del Fersina,4022133,Organic Fraction (t),"26,759",1
Panchia ,4022134,Organic Fraction (t),"150,107",1
Peio,4022136,Organic Fraction (t),"200,530",1
Pellizzano,4022137,Organic Fraction (t),"122,075",1
Pelugo,4022138,Organic Fraction (t),"16,949",1
Pergine Valsugana,4022139,Organic Fraction (t),"2.908,673",1
Pieve di Bono,4022140,Organic Fraction (t),"158,328",1
Pieve Tesino,4022142,Organic Fraction (t),"54,267",1
Pinzolo,4022143,Organic Fraction (t),"1.546,509",1
Pomarolo,4022144,Organic Fraction (t),"240,268",1
Pozza di Fassa,4022145,Organic Fraction (t),"458,505",1
Praso,4022146,Organic Fraction (t),"13,289",1
Predazzo,4022147,Organic Fraction (t),"919,949",1
Preore,4022148,Organic Fraction (t),"13,935",1
Prezzo,4022149,Organic Fraction (t),"8,287",1
Rabbi,4022150,Organic Fraction (t),"79,615",1
Ragoli,4022151,Organic Fraction (t),"383,565",1
Revo,4022152,Organic Fraction (t),"116,561",1
Riva del Garda,4022153,Organic Fraction (t),"2.554,929",1
Romallo,4022154,Organic Fraction (t),"57,258",1
Romeno,4022155,Organic Fraction (t),"150,674",1
Roncegno Terme,4022156,Organic Fraction (t),"144,296",1
Ronchi Valsugana,4022157,Organic Fraction (t),"24,287",1
Roncone,4022158,Organic Fraction (t),"83,737",1
Ronzo-Chienis,4022135,Organic Fraction (t),"142,465",1
Ronzone,4022159,Organic Fraction (t),"76,777",1
Rovere della Luna,4022160,Organic Fraction (t),"170,274",1
Rovereto,4022161,Organic Fraction (t),"4.916,806",1
Ruffre-Mendola,4022162,Organic Fraction (t),"57,908",1
Rumo,4022163,Organic Fraction (t),"87,932",1
Sagron Mis,4022164,Organic Fraction (t),"17,907",1
Samone,4022165,Organic Fraction (t),"35,408",1
San Lorenzo in Banale,4022166,Organic Fraction (t),"65,962",1
San Michele all\'Adige,4022167,Organic Fraction (t),"408,786",1
Sant\'Orsola Terme,4022168,Organic Fraction (t),"151,634",1
Sanzeno,4022169,Organic Fraction (t),"89,884",1
Sarnonico,4022170,Organic Fraction (t),"91,000",1
Scurelle,4022171,Organic Fraction (t),"347,578",1
Segonzano,4022172,Organic Fraction (t),"95,698",1
Sfruz,4022173,Organic Fraction (t),"44,524",1
Siror,4022174,Organic Fraction (t),"225,540",1
Smarano,4022175,Organic Fraction (t),"60,233",1
Soraga,4022176,Organic Fraction (t),"108,316",1
Sover,4022177,Organic Fraction (t),"65,788",1
Spera,4022178,Organic Fraction (t),"66,224",1
Spiazzo,4022179,Organic Fraction (t),"195,824",1
Spormaggiore,4022180,Organic Fraction (t),"166,409",1
Sporminore,4022181,Organic Fraction (t),"66,739",1
Stenico,4022182,Organic Fraction (t),"168,624",1
Storo,4022183,Organic Fraction (t),"295,759",1
Strembo,4022184,Organic Fraction (t),"31,507",1
Strigno,4022185,Organic Fraction (t),"95,431",1
Taio,4022186,Organic Fraction (t),"287,127",1
Tassullo,4022187,Organic Fraction (t),"177,072",1
Telve,4022188,Organic Fraction (t),"161,609",1
Telve di Sopra,4022189,Organic Fraction (t),"27,831",1
Tenna,4022190,Organic Fraction (t),"150,823",1
Tenno,4022191,Organic Fraction (t),"247,670",1
Terlago,4022192,Organic Fraction (t),"198,177",1
Terragnolo,4022193,Organic Fraction (t),"34,350",1
Terres,4022194,Organic Fraction (t),"30,860",1
Terzolas,4022195,Organic Fraction (t),"63,222",1
Tesero,4022196,Organic Fraction (t),"558,768",1
Tione di Trento,4022199,Organic Fraction (t),"607,226",1
Ton,4022200,Organic Fraction (t),"125,856",1
Tonadico,4022201,Organic Fraction (t),"172,075",1
Torcegno,4022202,Organic Fraction (t),"38,846",1
Trambileno,4022203,Organic Fraction (t),"94,394",1
Transacqua,4022204,Organic Fraction (t),"224,993",1
Trento,4022205,Organic Fraction (t),"16.229,960",1
Tres,4022206,Organic Fraction (t),"77,428",1
Tuenno,4022207,Organic Fraction (t),"228,289",1
Valda,4022208,Organic Fraction (t),"11,062",1
Valfloriana,4022209,Organic Fraction (t),"86,030",1
Vallarsa,4022210,Organic Fraction (t),"39,891",1
Varena,4022211,Organic Fraction (t),"181,288",1
Vattaro,4022212,Organic Fraction (t),"167,040",1
Vermiglio,4022213,Organic Fraction (t),"328,090",1
Vervo,4022214,Organic Fraction (t),"74,361",1
Vezzano,4022215,Organic Fraction (t),"186,147",1
Vignola-Falesina,4022216,Organic Fraction (t),"29,274",1
Vigo di Fassa,4022217,Organic Fraction (t),"212,943",1
Vigo Rendena,4022220,Organic Fraction (t),"35,038",1
Vigolo Vattaro,4022219,Organic Fraction (t),"312,188",1
Villa Agnedo,4022221,Organic Fraction (t),"60,924",1
Villa Lagarina,4022222,Organic Fraction (t),"394,724",1
Villa Rendena,4022223,Organic Fraction (t),"39,275",1
Volano,4022224,Organic Fraction (t),"427,227",1
Zambana,4022225,Organic Fraction (t),"219,986",1
Ziano di Fiemme,4022226,Organic Fraction (t),"353,720",1
Zuclo,4022227,Organic Fraction (t),"40,993",1
Ala,4022001,Organic Fraction (t),"919,995",1
Albiano,4022002,Organic Fraction (t),"129,601",1
Aldeno,4022003,Organic Fraction (t),"349,376",1
Amblar,4022004,Organic Fraction (t),"28,210",1
Andalo,4022005,Organic Fraction (t),"681,730",1
Arco,4022006,Organic Fraction (t),"2.112,637",1
Avio,4022007,Organic Fraction (t),"409,363",1
Baselga di Pine,4022009,Organic Fraction (t),"690,766",1
Bedollo,4022011,Organic Fraction (t),"195,719",1
Besenello,4022013,Organic Fraction (t),"256,281",1
Bieno,4022015,Organic Fraction (t),"31,390",1
Bleggio Superiore,4022017,Organic Fraction (t),"190,119",1
Bocenago,4022018,Organic Fraction (t),"55,536",1
Bolbeno,4022019,Organic Fraction (t),"37,768",1
Bondo,4022020,Organic Fraction (t),"78,941",1
Bondone,4022021,Organic Fraction (t),"75,856",1
Borgo Valsugana,4022022,Organic Fraction (t),"870,773",1
Bosentino,4022023,Organic Fraction (t),"86,592",1
