ID,Name,Type,Latitude,Longitude,Description,Details,Address,Geometry,Contact
cave_id_3740433897,Unnamed,cave entrance,45.8084956,11.1209519,,,,,
cave_id_3740433898,Unnamed,cave entrance,45.808497,11.1210464,,,,,
cave_id_3740433903,Unnamed,cave entrance,45.8086677,11.1211756,,,,,
cave_id_3740433906,Unnamed,cave entrance,45.8087175,11.1212837,,,,,
cave_id_3740434412,Unnamed,cave entrance,45.8093725,11.1215683,,,,,
cave_id_3740434692,Bocca del Leone,cave entrance,45.8119117,11.1227881,,,,,
cave_id_3740434705,Unnamed,cave entrance,45.8123667,11.1223973,,,,,
cave_id_3787532446,Giazera Stenone,cave entrance,45.8866042,10.9617267,,,,,
cave_id_3787532447,Giazera bassa,cave entrance,45.8882549,10.9620671,,,,,
cave_id_3802666300,Unnamed,cave entrance,45.8763618,10.5969231,,,,,
cave_id_3802666320,Unnamed,cave entrance,45.8766867,10.5971526,,,,,
cave_id_3813729311,Unnamed,cave entrance,45.8964851,10.720249,,,,,
cave_id_3813729315,Unnamed,cave entrance,45.8965547,10.720101,,,,,
cave_id_3814275357,Unnamed,cave entrance,46.3101271,11.7960306,,,,,
cave_id_3901176788,Unnamed,cave entrance,46.0528341,11.5474673,,,,,
cave_id_3924221266,Unnamed,cave entrance,45.8902113,11.0616321,,,,,
cave_id_3965874079,Unnamed,cave entrance,46.0497297,11.5445762,,,,,
cave_id_3965874080,Unnamed,cave entrance,46.0497653,11.5444412,,,,,
cave_id_3978094865,Unnamed,cave entrance,46.0690698,11.463743,,,,,
cave_id_3978094872,Unnamed,cave entrance,46.0703085,11.4648447,,,,,
cave_id_3978096396,Unnamed,cave entrance,46.0685073,11.4633354,,,,,
cave_id_3978096398,Unnamed,cave entrance,46.0686059,11.4633406,,,,,
cave_id_3978703178,Unnamed,cave entrance,46.0716043,11.4665251,,,,,
cave_id_3978712105,Unnamed,cave entrance,46.0712496,11.4655738,,,,,
cave_id_3978712655,Unnamed,cave entrance,46.0709746,11.4658422,,,,,
cave_id_3999834427,Grotta della Lovara,cave entrance,46.2190952,11.0636026,,,,,
cave_id_4000683543,Unnamed,cave entrance,46.0501297,11.5625389,,,,,
cave_id_4025807145,Unnamed,cave entrance,45.911476,10.6484623,,,,,
cave_id_4025807146,Unnamed,cave entrance,45.9135113,10.6494326,,,,,
cave_id_4046357280,Ingresso osservatorio Grota de Rinalt,cave entrance,45.8763004,10.6898645,,,,,
cave_id_4081170497,Unnamed,cave entrance,46.0329571,11.482866,,,,,
cave_id_4081175936,Unnamed,cave entrance,46.0407215,11.5003523,,,,,
cave_id_4081177810,Unnamed,cave entrance,46.0362009,11.4833028,,,,,
cave_id_4124579908,Bus de la Bastía,cave entrance,46.0478879,10.7318238,,,,,
