id,name,latitude,longitude,memorial_type,type,inscription
memorial_id_1037290924,Enea Silvio Piccolomini,46.0675519,11.1200759,bust,memorial:bust,
memorial_id_1079859437,Unnamed,46.209071,11.093628,,memorial,
memorial_id_1100568084,Monumento ai Caduti,46.3527507,10.9144089,war_memorial,memorial:war_memorial,
monument_id_1122600616,Giovanni Nepomuceno,46.1938328,11.1332573,,monument,
monument_id_1122600753,Giovanni Nepomuceno,46.1949838,11.1329545,,monument,
monument_id_1126325611,Castel Barco,45.9306089,11.0576106,,castle,
memorial_id_1132433117,Monumento ai caduti,45.9349983,11.094176,war_memorial,memorial:war_memorial,CALLIANO in memoria di coloro che non sono tornati
memorial_id_1136484210,Unnamed,46.2507819,11.1682994,,memorial,
memorial_id_1156296729,Unnamed,46.0203919,11.1270777,statue,memorial:statue,
memorial_id_1162579906,Unnamed,46.171033,11.2474095,,memorial,
memorial_id_1297477206,Gardolo ai suoi caduti,46.1082602,11.1114517,war_memorial,memorial:war_memorial,
monument_id_1300140587,Castello di Nomi,45.9308233,11.0733962,,castle,
monument_id_1302589524,Unnamed,46.0720439,11.112492,,monument,
memorial_id_1307223891,Cannone della Batteria Battisti,46.0729287,11.1132622,war_memorial,memorial:war_memorial,
memorial_id_1311009128,Santa Chiara,46.0577667,11.1327771,statue,memorial:statue,
memorial_id_1313426815,Unnamed,45.804498,10.8915345,,memorial,
monument_id_1351405865,Unnamed,46.1664168,11.1098139,,monument,
memorial_id_1362741221,Altare di Papa Giovanni Paolo II,46.1677914,10.5663573,stone,memorial:stone,A perenne ricordo della visita di Papa Giovanni Paolo II. 16-17 luglio 1984. Gli Alpini
memorial_id_1363980661,Unnamed,46.0714371,11.0601754,war_memorial,memorial:war_memorial,"Guerra1940-1945 |
Guerra A.O.I 1935-1936 |
Guerra Mondiale1914-1918"
monument_id_1381050980,Unnamed,46.2182198,11.0478546,,monument,
memorial_id_1381659946,Unnamed,45.916789,11.0614351,,memorial,
memorial_id_1392014621,Capitello di Sant'Antonio,45.9114997,11.0840245,,memorial,
memorial_id_1392365853,Madonnina del Doss,46.301999,10.8773219,,memorial,
memorial_id_1432766653,US Navy Neptune 1957 Air Crash,46.2435287,11.878037,,memorial,
memorial_id_1451988615,Toss ai suoi caduti,46.2766199,11.0808855,war_memorial,memorial:war_memorial,
monument_id_1525471505,Ai Caduti,46.1641485,11.0028366,,monument,
memorial_id_1559031342,Obice a.u. 305,45.8867283,11.045503,war_memorial,memorial:war_memorial,
memorial_id_1563100696,Luigi Negrelli,46.1744657,11.8267027,,memorial,
monument_id_1563104190,Capitello San Antonio,46.1683593,11.7846801,,monument,
monument_id_1590167269,Unnamed,46.299271,11.0311567,,monument,
memorial_id_1593751061,Antonio Rosmini,45.8911293,11.0422036,bust,memorial:bust,
memorial_id_1601137411,Memoriale Boninsegna 1916,45.8624129,10.8322553,,memorial,Volontario Guido Boninsegna caduto 10.04.1916
memorial_id_1608853204,Unnamed,45.8773439,11.0971621,,memorial,
monument_id_1619079060,All'Alpino,45.8859952,11.0402165,,monument,
memorial_id_1660839180,Monumento ai Caduti,46.0850798,11.213966,war_memorial,memorial:war_memorial,
memorial_id_1690521197,Unnamed,45.838636,10.7925557,,memorial,
memorial_id_1809162158,Fornace ai Caduti,46.1179665,11.2074617,war_memorial,memorial:war_memorial,
monument_id_1816253199,Ruderi Castel Pradaglia,45.879245,11.0145877,,castle,
memorial_id_1838686226,Unnamed,45.8418638,11.0076363,,memorial,
memorial_id_1840022067,Unnamed,46.4045842,11.7081389,,memorial,"Sentiero Attrezzato di Sas Aut dedicato a Franco Gadotti - Trento, 9.1.1955 Campanile Pradidali, 20.7.1976"
memorial_id_1862189121,Targa commemorativa Paolo Giordani,45.8185221,11.1369601,,memorial,
memorial_id_1869952963,Unnamed,46.0862048,11.1597423,,memorial,
monument_id_1870055067,Castel Corona,46.2752225,11.0188891,,castle,
memorial_id_1951231997,Fritz Jung - 1711,45.9441216,11.2697902,,memorial,
memorial_id_1977210639,Unnamed,46.0693887,11.2061361,,memorial,
monument_id_1987683774,Unnamed,46.274279,11.0509012,,monument,
monument_id_2028320546,Monumento ai Caduti,45.9203677,10.6147059,,monument,
monument_id_2073143301,Cristo Pensante,46.307279,11.794503,,monument,
monument_id_2084546738,Madonina,46.4013055,11.0507432,,monument,
memorial_id_2262103281,Statua di San Francesco,46.3679783,11.1062059,statue,memorial:statue,
monument_id_2287289624,Eusebio Chini,46.304195,11.0713527,,monument,
memorial_id_2367894141,Monumento ai caduti,45.9465134,10.6204569,,memorial,
monument_id_2371280671,Unnamed,46.0882116,11.130423,,monument,
memorial_id_2468231574,Ai Caduti,46.1574892,11.1524504,,memorial,
monument_id_2482496403,Busto di Riccardo Zandonai,45.8910635,11.0432044,bust,monument:bust,
memorial_id_2484775401,Monumento ai caduti,45.8866828,11.0455536,war_memorial,memorial:war_memorial,
monument_id_2484801874,Fontana Vecchia,46.0729515,11.4937739,,monument,
monument_id_2490633533,Unnamed,45.9131128,10.9029133,,monument,
memorial_id_2535781340,Unnamed,46.2371277,11.9029923,,memorial,
memorial_id_2858144515,Ex cimitero militare a.u.,45.858983,11.0838414,,memorial,
memorial_id_2872557495,Artigliere Giuseppe Spagnoli,45.8150426,11.0568435,,memorial,
memorial_id_2872599781,127a Batteria bombarde,45.8211611,11.0533244,,memorial,
memorial_id_2888955295,Unnamed,45.7741624,11.1564969,,memorial,
memorial_id_3113340843,Unnamed,45.8618382,10.828104,plaque,memorial:plaque,
memorial_id_3127246070,Monumento ai Caduti di Tutte le Guerre,46.3354538,10.885545,,memorial,
memorial_id_3138365005,Unnamed,46.2841128,10.8709367,,memorial,
memorial_id_3138384015,Amici della Montagna 1995,46.291841,10.8730039,,memorial,
memorial_id_3138518001,Lapidi in memoria di giovani partigiani (I Piccoli Maestri),46.0120053,11.5486935,plaque,memorial:plaque,url=https://www.caiasiago.it/sentiero-piccoli-maestri
memorial_id_3139836799,Memoriale degli Arditi 23 Maggio 1918,45.8224374,11.0492402,,memorial,"AI COMBATTENTI
DEL I° REPARTO D'ASSALTO
CHE QUI CADDERO
IL 23-5-1918"
monument_id_3309582310,Castello di Castellano,45.9213722,11.0061893,,castle,
memorial_id_3309824059,Unnamed,46.4874053,11.8121855,,memorial,
memorial_id_3407628035,Monumento ai caduti,45.8635667,10.9478561,stele,memorial:stele,Tiroler Standschutzen
monument_id_3414873825,Osservatorio,45.8626941,10.9491236,,castle,
memorial_id_3491901400,Unnamed,45.8303086,10.5690204,stone,memorial:stone,
monument_id_3646765865,Unnamed,45.797854,11.1753731,,monument,
memorial_id_3679475811,Unnamed,45.9335084,10.5912507,stone,memorial:stone,CADUTI GARIBALDINI
memorial_id_3686101725,Memoriale Don Italo Girardi,46.1512012,11.6356115,,memorial,
memorial_id_3694365836,Unnamed,45.9266801,11.3361557,war_memorial,memorial:war_memorial,
monument_id_3704653919,Monumento ai Caduti,45.7392618,11.0664551,,monument,
memorial_id_3760589942,Unnamed,45.8863444,11.1606401,cross,memorial:cross,
memorial_id_3780638158,Unnamed,45.7582118,11.1774148,stele,memorial:stele,
monument_id_3790737265,Forno Maso Emer,46.0488286,11.2760712,,monument,
memorial_id_3813729336,Lapide commemorativa,45.897028,10.7207048,,memorial,
memorial_id_3813885819,Unnamed,45.8966409,10.7202958,,memorial,
monument_id_3823187966,Fontana storica,46.0501359,11.2661003,,monument,
monument_id_3904227788,Unnamed,45.8542796,10.5909663,,monument,
monument_id_3918195752,monumento ai caduti,45.8839276,11.0702066,,monument,
memorial_id_3920799713,Unnamed,46.0787877,11.5748724,plaque,memorial:plaque,Contrada Pradellano
memorial_id_4005264317,Unnamed,46.1084589,11.1245416,,memorial,
memorial_id_4015417181,Unnamed,46.1163809,11.1486666,,memorial,
memorial_id_4016816832,Unnamed,46.1930559,11.3335295,plaque,memorial:plaque,
memorial_id_4030361301,Unnamed,46.0009382,10.6942676,,memorial,
memorial_id_4030361320,Unnamed,46.0012367,10.6945656,,memorial,
memorial_id_4030361322,Unnamed,46.0013211,10.6944492,,memorial,
memorial_id_4030361328,Unnamed,46.0015521,10.6945221,,memorial,
memorial_id_4041680975,Osservatorio Grota de Rinalt,45.8763077,10.6898397,,memorial,
monument_id_4054936848,Clementino Vannetti,45.890771,11.0439965,bust,monument:bust,
memorial_id_4055023345,Unnamed,46.0347084,11.2207088,,memorial,
memorial_id_4171979707,Unnamed,45.9273943,10.8908724,,memorial,
monument_id_4239816964,Monumento ai caduti,45.9288209,11.0721352,,monument,
memorial_id_4252859772,Unnamed,46.4681719,11.8697733,war_memorial,memorial:war_memorial,
memorial_id_4279079337,Unnamed,46.0702383,11.4937816,,memorial,
memorial_id_4279079338,Unnamed,46.0703639,11.4939412,,memorial,
memorial_id_4279079339,Unnamed,46.0704871,11.4939416,,memorial,
monument_id_4316268411,Giacomo Vittone,45.9298617,10.8259123,,monument,
memorial_id_4323671491,Unnamed,46.4720437,11.8721262,,memorial,
monument_id_4327010791,Castello della Rocca,46.0948327,11.2165482,,castle,
monument_id_4339558197,Rest of Great War,46.3580059,11.7002477,,monument,
memorial_id_4349716077,Cippo di confine 1746,45.862019,10.8270187,stone,memorial:stone,Erectus anno 1746
memorial_id_4349718122,Memoriale Giacomo Cis,45.8762614,10.8382763,plaque,memorial:plaque,
monument_id_4361758843,Sass Spacà,46.1740483,11.5893364,,monument,
memorial_id_4369982157,Unnamed,45.8734092,10.7640777,stele,memorial:stele,
memorial_id_4369982159,Unnamed,45.8712756,10.7593919,plaque,memorial:plaque,
memorial_id_4369982160,Unnamed,45.8727102,10.7559409,plaque,memorial:plaque,
memorial_id_4369982161,Unnamed,45.8727475,10.75698,plaque,memorial:plaque,
monument_id_4370182331,Statua del Arrotino,46.154681,10.7661357,,monument,
memorial_id_4375382430,Unnamed,45.8805042,10.7554119,stele,memorial:stele,
memorial_id_4375382431,Unnamed,45.8854689,10.7430934,stele,memorial:stele,
memorial_id_4375382434,Unnamed,45.8800617,10.7538121,stele,memorial:stele,
memorial_id_4391080268,Unnamed,45.8912631,10.7896524,cross,memorial:cross,
memorial_id_4396727344,Unnamed,45.8775069,10.7427751,stele,memorial:stele,
memorial_id_4401768852,Unnamed,45.8995726,10.7246477,plaque,memorial:plaque,
memorial_id_4401768853,Unnamed,45.900121,10.7252421,plaque,memorial:plaque,
memorial_id_4409784142,Lapide agli Alpini Caduti e Dispersi,45.8867182,10.8434444,plaque,memorial:plaque,
memorial_id_4409784143,Unnamed,45.8867712,10.8434894,plaque,memorial:plaque,
memorial_id_4409784144,Monumento agli Alpini caduti,45.886688,10.8436216,stele,memorial:stele,
memorial_id_4409784145,Lapide a ricordo del vecchio cimitero,45.8866693,10.8434443,plaque,memorial:plaque,
memorial_id_4409784150,Unnamed,45.8867518,10.843445,plaque,memorial:plaque,
memorial_id_4414912269,Unnamed,45.8888534,10.7326866,plaque,memorial:plaque,
memorial_id_4419124694,Madonna del Carega,45.7153644,11.125133,,memorial,
memorial_id_4426106994,Unnamed,45.8859551,10.7386935,plaque,memorial:plaque,
memorial_id_4426106995,Unnamed,45.8828425,10.7492428,plaque,memorial:plaque,
memorial_id_4426881828,Rachele Peterlini,45.886667,11.154397,,memorial,
memorial_id_4429693864,Ettore Rover,46.0475502,11.4099402,plaque,memorial:plaque,Ettore Rover 1942 - 1972
memorial_id_4429693865,Marco Pola,46.0493746,11.4082742,plaque,memorial:plaque,In questa casa nacque il poeta Marco Pola 29.08.1906 - 09.10.1991
memorial_id_4432893261,Unnamed,45.9699572,10.7516121,,memorial,
memorial_id_4466564545,Unnamed,46.1228987,11.4815,plaque,memorial:plaque,
memorial_id_4470115795,Unnamed,45.8910146,10.6989791,plaque,memorial:plaque,
memorial_id_4470120545,Unnamed,45.8858771,10.7844239,plaque,memorial:plaque,
memorial_id_4470120546,Unnamed,45.8858879,10.7844114,plaque,memorial:plaque,
memorial_id_4517842661,Unnamed,45.7248028,10.9716913,,memorial,
