id;name;longitude;latitude;geometry;description;historic;amenity;height;website;type
300401254;Unnamed;10.8875315;45.9209649;POINT (10.8875315 45.9209649);;;;;;
301339487;Regina Mundi;10.8305227;45.8566196;POINT (10.8305227 45.8566196);;;;;;
301458487;Monte Tombio;10.8242256;45.9088496;POINT (10.8242256 45.9088496);;;;;;peak
301563250;Monte Misone;10.8336682;45.9552217;POINT (10.8336682 45.9552217);;;;;;peak
304859594;Cima Carega;11.1300888;45.7239595;POINT (11.1300888 45.7239595);;;;;;peak
306134396;Dos d'Abramo;11.0394734;45.9908581;POINT (11.0394734 45.9908581);;;;;;peak
306134397;Cima Verde;11.0448082;45.9958557;POINT (11.0448082 45.9958557);;;;;;peak
307253108;Pizzo Gallino;10.9624745;46.1776827;POINT (10.9624745 46.1776827);;;;;;peak
307268081;Monte Nambino;10.785193;46.2551843;POINT (10.785193 46.2551843);;;;;;peak
307286033;Nebelspitz - Cima Tuatti;10.8613391;46.4361776;POINT (10.8613391 46.4361776);;;;;;peak
307287040;Südliche Zufallspitze - Cevedale II;10.6223034;46.4481306;POINT (10.6223034 46.4481306);;;;;;peak
307287868;Cima Venezia - Veneziaspitze;10.6893659;46.4537855;POINT (10.6893659 46.4537855);;;;;;peak
307292232;Piz Boè;11.8283485;46.5089363;POINT (11.8283485 46.5089363);;;;;;peak
307292288;Punta Grohmann - Grohmannspitze;11.732966;46.5106;POINT (11.732966 46.5106);;;;;;peak
307292644;Sasplat - Plattkofel - Sasso Piatto;11.7157706;46.5141348;POINT (11.7157706 46.5141348);;;;;;peak
309337907;Cima Levante;11.09489;45.7436033;POINT (11.09489 45.7436033);;;;;;peak
309514870;Monte Zugna;11.068885;45.7994036;POINT (11.068885 45.7994036);;;;;;peak
310199149;Monte Stivo;10.9636915;45.9201274;POINT (10.9636915 45.9201274);;;;;;peak
311844814;Cima Vezzena;11.3426214;45.9790546;POINT (11.3426214 45.9790546);;;;;;peak
311849671;Unnamed;11.2803055;46.0195988;POINT (11.2803055 46.0195988);;;;;;
312992395;Croce di Ceniga;10.8965426;45.9461516;POINT (10.8965426 45.9461516);;;;;;peak
313155440;Monte Biaena;10.970971;45.8827083;POINT (10.970971 45.8827083);;;;;;peak
314737602;Coni Zugna;11.0690503;45.7958516;POINT (11.0690503 45.7958516);;;;;;peak
315732326;Unnamed;10.8744249;45.891246;POINT (10.8744249 45.891246);;;;;;
317177386;Unnamed;10.8834476;45.8734358;POINT (10.8834476 45.8734358);;;;;;
320987768;Dos dele Strie;10.8296877;45.9188197;POINT (10.8296877 45.9188197);;;;;;peak
322717853;Belvedere Campo Carlo Magno;10.8404578;46.2432086;POINT (10.8404578 46.2432086);;;;;;
323254049;Panorama di Piuccilla;10.7362497;46.2186721;POINT (10.7362497 46.2186721);;;;;;
323258540;Monte Spinale;10.847831;46.2227384;POINT (10.847831 46.2227384);;;;;;peak
323274613;Piazzale Panoramico;10.8222138;46.2107785;POINT (10.8222138 46.2107785);;;;;;
324599686;Guardadocio;10.9724825;45.856985;POINT (10.9724825 45.856985);;;;;;
329386168;Unnamed;10.8348684;45.9141665;POINT (10.8348684 45.9141665);;;;;;
330072190;Cima Sera;10.7897911;46.0229553;POINT (10.7897911 46.0229553);;;;;;peak
330318377;Unnamed;10.9787915;45.8583294;POINT (10.9787915 45.8583294);;;;;;
349057594;Unnamed;10.8013669;46.2258906;POINT (10.8013669 46.2258906);;;;;;
354957372;Unnamed;10.8455452;45.9139878;POINT (10.8455452 45.9139878);;;;;;
358157914;Col Santo;11.1506659;45.8325479;POINT (11.1506659 45.8325479);;;;;;peak
365500517;Unnamed;11.1690902;46.0542134;POINT (11.1690902 46.0542134);;;;;;
373824653;Monte Piano;11.2015626;46.1243007;POINT (11.2015626 46.1243007);;;;;;peak
374292023;Monte Calisio;11.1433969;46.0981157;POINT (11.1433969 46.0981157);;;;;;peak
379532406;Unnamed;10.8823722;45.867629;POINT (10.8823722 45.867629);;;;;;
380875070;Unnamed;11.1610018;46.0914661;POINT (11.1610018 46.0914661);;;;;;
385492842;Unnamed;11.1107202;45.9144616;POINT (11.1107202 45.9144616);;;;;;
388105705;Stablel;10.6035723;46.1770801;POINT (10.6035723 46.1770801);;;;;;peak
388111946;Ago Mingo;10.6006377;46.175598;POINT (10.6006377 46.175598);;;;;;peak
388112267;Punta dell'Orco;10.5960748;46.1715498;POINT (10.5960748 46.1715498);;;;;;peak
388118380;Monte Coel;10.6262626;46.1267407;POINT (10.6262626 46.1267407);;;;;;peak
388118382;Cima di Pra Vecchio;10.6308116;46.1274546;POINT (10.6308116 46.1274546);;;;;;peak
388118426;Cima degli Obici;10.6380214;46.1282873;POINT (10.6380214 46.1282873);;;;;;peak
388119927;Monte Altar;10.6497373;46.1181145;POINT (10.6497373 46.1181145);;;;;;peak
388120071;Monte Fornace;10.6756581;46.1241233;POINT (10.6756581 46.1241233);;;;;;peak
388120131;Unnamed;10.6993474;46.1239448;POINT (10.6993474 46.1239448);;;;;;peak
388120151;La Costaccia;10.7055272;46.1233499;POINT (10.7055272 46.1233499);;;;;;peak
388120154;Unnamed;10.6862153;46.120762;POINT (10.6862153 46.120762);;;;;;peak
388120155;Unnamed;10.6796922;46.130518;POINT (10.6796922 46.130518);;;;;;peak
388120219;Unnamed;10.6777395;46.1379454;POINT (10.6777395 46.1379454);;;;;;peak
388120675;Stavel;10.6698646;46.1517788;POINT (10.6698646 46.1517788);;;;;;peak
388120823;Cima di Om di Lares;10.6610669;46.1454163;POINT (10.6610669 46.1454163);;;;;;peak
388291939;Unnamed;11.4640633;46.2851033;POINT (11.4640633 46.2851033);;;;;;
391038683;Cima Celva;11.1840592;46.073892;POINT (11.1840592 46.073892);;;;;;peak
391038723;Celvet;11.1822751;46.0786528;POINT (11.1822751 46.0786528);;;;;;peak
394921981;Punta Cadini;10.5993904;46.3771413;POINT (10.5993904 46.3771413);;;;;;peak
395225066;Vista Val Concei;10.7320231;45.9038934;POINT (10.7320231 45.9038934);;;;;;
410692180;Osservatorio;10.8918392;45.8121369;POINT (10.8918392 45.8121369);;;;;;
410960135;Monte Corno;10.7113836;45.8734174;POINT (10.7113836 45.8734174);;;;;;peak
411075238;Monte Faè;10.9786483;45.8681265;POINT (10.9786483 45.8681265);;;;;;peak
411553130;Corno di Pichea;10.7700398;45.9449645;POINT (10.7700398 45.9449645);;;;;;peak
411553131;Mazza di Pichea;10.7639085;45.9322342;POINT (10.7639085 45.9322342);;;;;;peak
412784151;Unnamed;11.1521964;46.1786584;POINT (11.1521964 46.1786584);;;;;;
412784152;Unnamed;11.150468;46.1759149;POINT (11.150468 46.1759149);;;;;;
416944419;Belvedere degli innamorati;10.8391458;45.8775955;POINT (10.8391458 45.8775955);;;;;;
417303635;Unnamed;10.8847737;45.8799369;POINT (10.8847737 45.8799369);;;;;;
419010041;Unnamed;10.8783289;45.8667888;POINT (10.8783289 45.8667888);;;;;;
419251171;Unnamed;11.0783513;45.9039778;POINT (11.0783513 45.9039778);;;;;;
419891128;Cima Bocche - Cimon de Boce;11.7527077;46.3542156;POINT (11.7527077 46.3542156);;;;;;peak
419898733;Cima Juribrutto - Gereburt;11.765161;46.3594001;POINT (11.765161 46.3594001);;;;;;peak
427707987;Unnamed;11.3090524;46.2272503;POINT (11.3090524 46.2272503);;;;;;
429600779;Torrione delle Rocchette;10.646867;46.1901689;POINT (10.646867 46.1901689);;;;;;peak
429601024;Monte Botteri;10.6545059;46.2107073;POINT (10.6545059 46.2107073);;;;;;peak
429601035;Cimone delle Rocchette;10.6563175;46.2017497;POINT (10.6563175 46.2017497);;;;;;peak
429615595;Pietra Grande;10.896238;46.2313343;POINT (10.896238 46.2313343);;;;;;peak
429615638;Pala dei Mughi;10.8263073;46.150567;POINT (10.8263073 46.150567);;;;;;peak
429616998;Sass de la Stria;10.6099197;46.1194301;POINT (10.6099197 46.1194301);;;;;;peak
430806109;Unnamed;10.8286733;45.851149;POINT (10.8286733 45.851149);;;;;;
433333837;Dritte Veneziaspitze - Cima Venezia III;10.6954456;46.4578259;POINT (10.6954456 46.4578259);;;;;;peak
433581099;Corno Alto;10.7224716;46.1450307;POINT (10.7224716 46.1450307);;;;;;peak
434148159;Unnamed;11.184569;45.8389568;POINT (11.184569 45.8389568);;;;;;
434149454;Monte Testo;11.1388487;45.8183141;POINT (11.1388487 45.8183141);;;;;;peak
436572771;Vorderer Eggenspitz - Cima Sternai Meridionale;10.7793293;46.4723656;POINT (10.7793293 46.4723656);;;;;;peak
439646569;"Belvedere - ""Croz de l'Anza Rossa""";11.244456;45.9926226;POINT (11.244456 45.9926226);;;;;;
443332222;Unnamed;11.2362207;46.036413;POINT (11.2362207 46.036413);;;;;;
444485435;Unnamed;11.1793238;45.9345947;POINT (11.1793238 45.9345947);;;;;;
448931521;Cima Scalieret;11.6444448;46.4633351;POINT (11.6444448 46.4633351);;;;;;peak
449551406;Unnamed;11.1587079;45.9258865;POINT (11.1587079 45.9258865);;;;;;
