id;name;latitude;longitude;geometry;artist_name;description;website;type
4296906488;Unnamed;46.0563929;11.5239018;POINT (11.5239018 46.0563929);;;;sculpture
4296906600;Unnamed;46.0565785;11.5240048;POINT (11.5240048 46.0565785);;;;sculpture
4296906797;Unnamed;46.0566263;11.5240569;POINT (11.5240569 46.0566263);;;;sculpture
4296906860;Unnamed;46.0570546;11.5241679;POINT (11.5241679 46.0570546);;;;sculpture
4296906861;Unnamed;46.0571409;11.5241712;POINT (11.5241712 46.0571409);;;;sculpture
4296906862;Unnamed;46.0571905;11.524206;POINT (11.524206 46.0571905);;;;sculpture
4296906863;Unnamed;46.0572508;11.524192;POINT (11.524192 46.0572508);;;;sculpture
4296906865;Unnamed;46.0573292;11.5241826;POINT (11.5241826 46.0573292);;;;sculpture
4296906866;Unnamed;46.0573905;11.524212;POINT (11.524212 46.0573905);;;;sculpture
4334259659;Unnamed;46.0794597;11.4437175;POINT (11.4437175 46.0794597);;;;sculpture
4334269967;Unnamed;46.0770996;11.4432327;POINT (11.4432327 46.0770996);;;;sculpture
4334269970;Unnamed;46.077141;11.4431382;POINT (11.4431382 46.077141);;;;sculpture
4334269971;Unnamed;46.0771452;11.4432072;POINT (11.4432072 46.0771452);;;;sculpture
4334273694;Unnamed;46.0774275;11.4434319;POINT (11.4434319 46.0774275);;;;sculpture
4334273704;Unnamed;46.0776089;11.4434292;POINT (11.4434292 46.0776089);;;;sculpture
4334274006;Unnamed;46.0783732;11.4438322;POINT (11.4438322 46.0783732);;;;sculpture
4334274837;Unnamed;46.0797495;11.4438778;POINT (11.4438778 46.0797495);;;;sculpture
4334274867;Unnamed;46.0800095;11.444036;POINT (11.444036 46.0800095);;;;sculpture
4351022219;Unnamed;46.1751189;11.5502417;POINT (11.5502417 46.1751189);;;;cross
4369831146;Unnamed;45.9283209;10.7658865;POINT (10.7658865 45.9283209);;;;statue
4391163591;Unnamed;45.8826851;10.7527988;POINT (10.7527988 45.8826851);;;;mural
4397748545;Unnamed;46.0687423;11.613669;POINT (11.613669 46.0687423);;;;statue
4397748550;Unnamed;46.0687565;11.6136834;POINT (11.6136834 46.0687565);;;;statue
4400170685;Unnamed;45.9320389;10.7369707;POINT (10.7369707 45.9320389);;;;mural
4406797206;Unnamed;45.8643652;10.7405844;POINT (10.7405844 45.8643652);;;;mural
4409639618;Unnamed;45.8741179;10.7431798;POINT (10.7431798 45.8741179);;;;mural
4414912273;Unnamed;45.8889234;10.7327376;POINT (10.7327376 45.8889234);;;;mural
4433181185;Eco;46.0084316;11.4180692;POINT (11.4180692 46.0084316);Will Beckers;;;sculpture
4433292436;Colonna;46.0084795;11.4122279;POINT (11.4122279 46.0084795);Paul Feichter;;;sculpture
4433292437;Sezione di tronchi d'abete rosso;46.0086375;11.4136835;POINT (11.4136835 46.0086375);Bob Verschueren;;;sculpture
4433292438;Il tempio dell'amore;46.0087967;11.4155651;POINT (11.4155651 46.0087967);Belle Shafir;;;sculpture
4436554341;Fili d’erba;46.0090393;11.4132994;POINT (11.4132994 46.0090393);Johann Feilacher;;;sculpture
4436554342;Nicchie ecologiche;46.0090206;11.4113763;POINT (11.4113763 46.0090206);Giuliano Orsingher;;;sculpture
4436554343;Flusso;46.0088688;11.4094652;POINT (11.4094652 46.0088688);Armin Schubert;;;sculpture
4436554344;Germinazione;46.0090821;11.4108224;POINT (11.4108224 46.0090821);Gabriele Jardini;;;sculpture
4436554345;Fori elicoidali;46.0086155;11.407526;POINT (11.407526 46.0086155);Rinus Roelofs;;;sculpture
4436554346;In apparenza;46.0086033;11.407074;POINT (11.407074 46.0086033);Stuart Ian Frost;;;sculpture
4436554347;Rotazione;46.0085149;11.4056605;POINT (11.4056605 46.0085149);Paul Feichter;;;sculpture
4436554348;Spirale;46.0086844;11.4084768;POINT (11.4084768 46.0086844);Alois Steger;;;sculpture
4436621275;Case per Baroni Rampanti;46.0083301;11.3962733;POINT (11.3962733 46.0083301);Roberto Conte;;;sculpture
4436621276;Stele di Sella;46.0087089;11.3939609;POINT (11.3939609 46.0087089);Chris Booth;;;sculpture
4436621277;La casa che abito;46.0083201;11.3917346;POINT (11.3917346 46.0083201);Lilly Cerro;;;sculpture
4436621278;Transizione;46.0086538;11.3924672;POINT (11.3924672 46.0086538);Luca Petti;;;sculpture
4436621279;Corno verdeggiante;46.008379;11.4038072;POINT (11.4038072 46.008379);Johann Feilacher;;;sculpture
4436647876;Interstizi;46.0081098;11.3903751;POINT (11.3903751 46.0081098);Matilde Grau;;;sculpture
4436647877;Nucleo;46.0068644;11.3866354;POINT (11.3866354 46.0068644);Armin Schubert;;;sculpture
4436647878;Wassergehäuse;46.0063912;11.3896288;POINT (11.3896288 46.0063912);Roger Rigorth;;;sculpture
4436647879;Lupi;46.007073;11.3902832;POINT (11.3902832 46.007073);Sally Matthews;;;sculpture
4436819856;Stato d'animo;46.0012803;11.3683561;POINT (11.3683561 46.0012803);Bob Verschueren;;;sculpture
4436819857;Sisifo;46.002053;11.3711384;POINT (11.3711384 46.002053);Bob Verschueren;;;sculpture
4436819858;La stanza del cielo;46.001766;11.3706261;POINT (11.3706261 46.001766);Chris Drury;;;sculpture
4436819859;Stupa;46.0016679;11.3687718;POINT (11.3687718 46.0016679);Anton Schaller;;;sculpture
4436819860;Lo Stilo;46.0009352;11.3684064;POINT (11.3684064 46.0009352);Gianandrea Gazzola;;;sculpture
4436819861;I semi della pace;46.0022194;11.3695148;POINT (11.3695148 46.0022194);Pinuccio Sciola;;;sculpture
4436819862;Tana libera tutti;46.001835;11.3702533;POINT (11.3702533 46.001835);Patrick Dougherty;;;sculpture
4436830243;Capsula;46.0015397;11.3681075;POINT (11.3681075 46.0015397);Stuart Ian Frost;;;sculpture
4436830244;Dominio della mente sulla materia;46.0018601;11.3681853;POINT (11.3681853 46.0018601);Peter Randall-Page;;;sculpture
4437552440;Bosco geometrico;46.0007883;11.365494;POINT (11.365494 46.0007883);Urs Twellmann;;;sculpture
4437552441;Il cubo;46.0009941;11.3669807;POINT (11.3669807 46.0009941);Rainer Gross;;;sculpture
4437552442;Il quadrato;46.0011334;11.3676351;POINT (11.3676351 46.0011334);Rainer Gross;;;sculpture
4437566746;Cupola per Leonardo;46.0023782;11.3702177;POINT (11.3702177 46.0023782);Rinus Roelofs;;;sculpture
4592617059;Cristo D'Oro;46.0840269;11.5154992;POINT (11.5154992 46.0840269);;;;statue
4740516482;Unnamed;46.2129689;11.1081955;POINT (11.1081955 46.2129689);;wine bottle;;
4740516490;Unnamed;46.2123456;11.1084411;POINT (11.1084411 46.2123456);;wine bottle;;
4757121706;la Madoninna;45.9383193;11.096859;POINT (11.096859 45.9383193);;;;
4775141021;L'Avvolto;45.8631542;10.7365613;POINT (10.7365613 45.8631542);Luca Degara;;;sculpture
4775141022;Limite Infinito;45.8625238;10.7353495;POINT (10.7353495 45.8625238);Leonardo Nava;;;sculpture
4775141023;Unnamed;45.8622112;10.7339629;POINT (10.7339629 45.8622112);;;;
