id;name;latitude;longitude;bounds;geometry;type;details
PA_id_27242909;Rododendro;;;{'minlat': 46.1637957, 'minlon': 10.7866875, 'maxlat': 46.1693417, 'maxlon': 10.8070586};POLYGON ((10.8066278 46.1673531, 10.806744 46.1673936, 10.8068385 46.1674761, 10.8069721 46.1676571, 10.8070483 46.1678297, 10.8070586 46.1680039, 10.8070492 46.1682021, 10.8069849 46.1684876, 10.806973 46.1687002, 10.8069847 46.1689036, 10.8069776 46.1689662, 10.8068873 46.1690618, 10.8067739 46.1691156, 10.8066082 46.169154, 10.8064275 46.1691871, 10.8059763 46.1692353, 10.8054465 46.1692628, 10.8045569 46.1693096, 10.8038329 46.1693299, 10.8035135 46.1693115, 10.8032057 46.1692399, 10.8026199 46.1689363, 10.8022213 46.1687124, 10.8019799 46.1685582, 10.8017895 46.168235, 10.801481 46.1679731, 10.8010167 46.167651, 10.8004448 46.1667351, 10.8000698 46.1662333, 10.7990108 46.1652476, 10.7976045 46.1637957, 10.7970707 46.1643378, 10.796818 46.1648338, 10.7967611 46.1650807, 10.7970324 46.1657943, 10.7970634 46.1663246, 10.7968994 46.1666439, 10.7968582 46.1668744, 10.7968307 46.1671017, 10.7966502 46.1678473, 10.7966103 46.1682352, 10.7965458 46.1686346, 10.7964238 46.1691058, 10.7963329 46.1692279, 10.7962856 46.1693114, 10.7962251 46.169339, 10.7961646 46.1693417, 10.7960569 46.1692925, 10.7958414 46.1691145, 10.7953587 46.168731, 10.7948933 46.1684212, 10.7942296 46.1677208, 10.7936298 46.167085, 10.7933028 46.1668008, 10.7929802 46.1666206, 10.7926733 46.1665766, 10.7922426 46.166551, 10.7915846 46.1665487, 10.7905031 46.1665941, 10.7898546 46.1666088, 10.7897407 46.1666513, 10.78957 46.1667151, 10.7892987 46.1669255, 10.7890732 46.1672276, 10.7888476 46.1676092, 10.7887508 46.1677271, 10.788539 46.1677838, 10.7882436 46.167787, 10.787437 46.1676944, 10.7866875 46.1676488, 10.8066278 46.1673531));skiing:downhill;{'lit': 'no', 'piste:difficulty': 'intermediate', 'piste:grooming': 'classic', 'ref': '101'}
PA_id_27658699;Competition;;;{'minlat': 46.1631248, 'minlon': 10.7897407, 'maxlat': 46.1666513, 'maxlon': 10.7976045};POLYGON ((10.7976045 46.1637957, 10.7970524 46.1633591, 10.7968349 46.1632072, 10.7966615 46.1631491, 10.7964521 46.1631248, 10.7962337 46.1631964, 10.7960125 46.1633814, 10.7958678 46.163724, 10.7957958 46.1640241, 10.795626 46.1643873, 10.7955174 46.1646688, 10.7953945 46.1648868, 10.7952716 46.1649759, 10.7951402 46.1650091, 10.7949201 46.1649951, 10.7945744 46.1648651, 10.7941034 46.1648439, 10.7932973 46.1648856, 10.7926347 46.1650839, 10.7920412 46.1653158, 10.7913549 46.1656732, 10.7908786 46.1658359, 10.7902746 46.1659556, 10.7901851 46.1660291, 10.7900736 46.1661882, 10.7899824 46.1663357, 10.789854 46.1665206, 10.7897407 46.1666513, 10.7976045 46.1637957));skiing:downhill;{'piste:difficulty': 'advanced', 'ref': '102'}
PA_id_27658700;Mandrel;;;{'minlat': 46.1725815, 'minlon': 10.811668, 'maxlat': 46.1781589, 'maxlon': 10.8138809};POLYGON ((10.8130305 46.1725815, 10.8124794 46.1731872, 10.8119431 46.1738968, 10.811668 46.1746818, 10.8119089 46.175219, 10.812279 46.1759307, 10.8126426 46.1766604, 10.8132129 46.1777036, 10.8134019 46.1779757, 10.8135815 46.1780786, 10.8136958 46.1781292, 10.8137923 46.1781589, 10.8138809 46.1781534, 10.81383 46.1779871, 10.8130305 46.1725815));skiing:downhill;{'piste:difficulty': 'intermediate', 'ref': '106'}
PA_id_27883504;;;;{'minlat': 46.0155789, 'minlon': 11.0377542, 'maxlat': 46.0156508, 'maxlon': 11.0382211};LINESTRING (11.0382211 46.0156508, 11.0377542 46.0155789);skiing:nordic;"{'highway': 'track', 'mtb:scale': '0', 'piste:difficulty': 'easy', 'piste:grooming': 'classic;skating', 'sac_scale': 'hiking', 'tracktype': 'grade4'}"
PA_id_28876106;Pista Marcialonga;;;{'minlat': 46.2708126, 'minlon': 11.4231748, 'maxlat': 46.2798906, 'maxlon': 11.4522066};POLYGON ((11.4231748 46.2708126, 11.4235855 46.2709316, 11.4243541 46.2709747, 11.4248943 46.2710106, 11.4254552 46.271068, 11.4261615 46.2711901, 11.4267847 46.271348, 11.4276676 46.2716137, 11.4286128 46.2718865, 11.4294334 46.2721306, 11.4300358 46.2723101, 11.4302644 46.2723604, 11.4305552 46.2724394, 11.4307941 46.272583, 11.4310849 46.2727696, 11.4313654 46.2729419, 11.4318536 46.2732291, 11.4324145 46.2735235, 11.4326949 46.2737174, 11.4330481 46.273983, 11.4334428 46.2742056, 11.4342114 46.2745574, 11.4354163 46.2750312, 11.4365693 46.2754117, 11.4372548 46.2756056, 11.4377742 46.2757922, 11.4378432 46.2758213, 11.4384474 46.2761183, 11.4389409 46.2763153, 11.4391252 46.2764166, 11.4393274 46.2765309, 11.4395418 46.2766791, 11.4396766 46.2767596, 11.4397379 46.2767892, 11.4398236 46.2767808, 11.4398972 46.2767977, 11.4399707 46.2768358, 11.4401422 46.2769417, 11.440424 46.2770984, 11.4407474 46.2772276, 11.4410244 46.2773651, 11.4412511 46.2774922, 11.4417903 46.2777716, 11.4421333 46.2779453, 11.4425683 46.2781062, 11.4429237 46.2782078, 11.4433525 46.278284, 11.4439407 46.2783475, 11.4445901 46.2784322, 11.4451231 46.278483, 11.4453804 46.2785381, 11.4457235 46.27861, 11.4466608 46.2788683, 11.4470652 46.2789742, 11.4475676 46.2791012, 11.4479842 46.2792071, 11.4484743 46.2793172, 11.4489338 46.2794019, 11.4492952 46.2794357, 11.4495648 46.2794654, 11.4498773 46.2794908, 11.4500917 46.2794908, 11.4505022 46.2795501, 11.4508024 46.2796136, 11.4510413 46.2796559, 11.451268 46.2797152, 11.451464 46.2797703, 11.4515866 46.2798084, 11.4518561 46.2798592, 11.4522066 46.2798906, 11.4231748 46.2708126));skiing:nordic;{'highway': 'path', 'motorcar': 'no', 'piste:difficulty': 'easy', 'ski': 'designated'}
PA_id_28876107;Pista Marcialonga;;;{'minlat': 46.2786517, 'minlon': 11.4522082, 'maxlat': 46.2795855, 'maxlon': 11.4570193};POLYGON ((11.4522082 46.2795855, 11.4523095 46.2795628, 11.45272 46.27944, 11.4530018 46.2793976, 11.4533791 46.2793202, 11.4536206 46.2792706, 11.4539882 46.279241, 11.4542393 46.2792494, 11.4545028 46.279241, 11.4546866 46.2791944, 11.4549807 46.279152, 11.4554156 46.2790716, 11.4557465 46.2790165, 11.4559364 46.2789784, 11.4560957 46.2789192, 11.4564449 46.2787794, 11.4566532 46.2787032, 11.4570193 46.2786517, 11.4522082 46.2795855));skiing:nordic;{'highway': 'path', 'motorcar': 'no', 'piste:difficulty': 'easy', 'ski': 'designated'}
PA_id_28876108;Pista Marcialonga;;;{'minlat': 46.2785465, 'minlon': 11.4572531, 'maxlat': 46.283581, 'maxlon': 11.4801368};POLYGON ((11.4572531 46.2785857, 11.457517 46.2785889, 11.4578417 46.278555, 11.4580378 46.2785508, 11.45824 46.2785465, 11.4583625 46.2785804, 11.4585157 46.278627, 11.458724 46.2787074, 11.458969 46.278826, 11.4593366 46.2790547, 11.4596368 46.2792579, 11.4600412 46.2794569, 11.4608437 46.2799989, 11.4616157 46.2805324, 11.4620078 46.2807822, 11.4621977 46.2809262, 11.4624182 46.2811633, 11.4628165 46.2815317, 11.4631473 46.2818027, 11.4634353 46.2820059, 11.4636681 46.2821456, 11.4639866 46.2822853, 11.4644155 46.2823997, 11.4646177 46.2824293, 11.4648627 46.282442, 11.4650404 46.2824378, 11.4652548 46.2824251, 11.4654447 46.2824166, 11.4657082 46.2824251, 11.4659532 46.2824589, 11.4662596 46.2825267, 11.4666272 46.2826241, 11.4669212 46.2826706, 11.4672705 46.2826961, 11.4676625 46.2827638, 11.4678831 46.2827934, 11.4681649 46.2828104, 11.4683548 46.2828612, 11.468606 46.2829374, 11.4688143 46.2830051, 11.4690471 46.2830475, 11.4692554 46.2830686, 11.4695985 46.2830856, 11.4698987 46.2831152, 11.4701499 46.2831491, 11.4706155 46.2832592, 11.4710138 46.2833777, 11.4712221 46.2834582, 11.471412 46.2835174, 11.4716203 46.2835725, 11.4718347 46.283581, 11.4720798 46.2835683, 11.4722391 46.2835767, 11.4723432 46.2835513, 11.4725393 46.2834624, 11.4727169 46.2833989, 11.4728701 46.2833439, 11.4730049 46.2833312, 11.4732377 46.2833396, 11.4734766 46.283365, 11.4739361 46.2833862, 11.4742241 46.2834116, 11.474414 46.283437, 11.4746774 46.2834497, 11.4748306 46.2834539, 11.4751369 46.2834243, 11.4753881 46.2834074, 11.4756699 46.2833904, 11.4758843 46.2833989, 11.4761049 46.2834158, 11.4765399 46.2833989, 11.4768707 46.2834328, 11.4771525 46.283437, 11.4774895 46.2834201, 11.4777591 46.2833481, 11.4780715 46.2833015, 11.4784391 46.2832549, 11.4789966 46.2832211, 11.4796154 46.2832338, 11.4799156 46.2832211, 11.4801368 46.2832299, 11.4572531 46.2785857));skiing:nordic;{'highway': 'path', 'motorcar': 'no', 'piste:difficulty': 'easy', 'ski': 'designated'}
PA_id_28979600;Pista Stadio del Fondo - Campo Scuola;;;{'minlat': 46.28069, 'minlon': 11.5211258, 'maxlat': 46.2812524, 'maxlon': 11.5222683};POLYGON ((11.5222683 46.2812524, 11.5220844 46.2811746, 11.5218442 46.2810729, 11.521498 46.2809054, 11.5211258 46.28069, 11.5222683 46.2812524));skiing:nordic;{'highway': 'path', 'oneway': 'yes', 'piste:difficulty': 'novice', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_28979602;;;;{'minlat': 46.2812524, 'minlon': 11.5222683, 'maxlat': 46.2814558, 'maxlon': 11.5226405};LINESTRING (11.5226405 46.2814558, 11.5222683 46.2812524);skiing:nordic;{'highway': 'path', 'oneway': 'yes', 'piste:difficulty': 'novice', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29114280;Pista Stadio del Fondo;;;{'minlat': 46.2805008, 'minlon': 11.5230331, 'maxlat': 46.280708, 'maxlon': 11.5233676};POLYGON ((11.5233676 46.280708, 11.5231688 46.2805878, 11.5230331 46.2805008, 11.5233676 46.280708));skiing:nordic;{'highway': 'path', 'oneway': 'yes', 'piste:difficulty': 'intermediate', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
