id;name;latitude;longitude;bounds;geometry;type
beach_id_335905747;Unnamed;;;{'minlat': 46.1550365, 'minlon': 11.2859002, 'maxlat': 46.1560658, 'maxlon': 11.2869925};POLYGON ((11.2859002 46.1550519, 11.2859464 46.1550365, 11.286161 46.1551071, 11.286456 46.1551479, 11.2866653 46.1552297, 11.2867994 46.1553152, 11.2869281 46.1554861, 11.2869925 46.1556868, 11.2869335 46.155802, 11.2867243 46.1559209, 11.2864292 46.1560509, 11.2862844 46.1560658, 11.2861717 46.1560658, 11.2861449 46.1560434, 11.2860591 46.1559717, 11.286293 46.1559721, 11.2866885 46.1558252, 11.2867925 46.1557063, 11.2867676 46.155571, 11.2865718 46.1553825, 11.2860182 46.155166, 11.2859002 46.1550519));beach:gravel
beach_id_335906370;Unnamed;;;{'minlat': 46.1532033, 'minlon': 11.280495, 'maxlat': 46.1540582, 'maxlon': 11.2816749};POLYGON ((11.2805599 46.1532033, 11.2805964 46.1532589, 11.2806586 46.1533535, 11.2807149 46.1535021, 11.280849 46.1536118, 11.2811977 46.153727, 11.2815357 46.1538682, 11.2816749 46.1540582, 11.2816424 46.1540518, 11.2812004 46.1538477, 11.2805298 46.1535765, 11.280495 46.1534817, 11.2805412 46.1533479, 11.2805599 46.1532033));beach
beach_id_339020475;Spiaggia alla Diga;;;{'minlat': 46.149513, 'minlon': 11.2746774, 'maxlat': 46.1508292, 'maxlon': 11.2776332};POLYGON ((11.2747965 46.149513, 11.2746774 46.1495721, 11.274701 46.1496172, 11.2747754 46.1496628, 11.2748607 46.1496954, 11.2749667 46.1497391, 11.2750193 46.1497873, 11.2750906 46.1498678, 11.2751299 46.1499321, 11.2751838 46.1500131, 11.2752106 46.1500491, 11.2752417 46.1500691, 11.2752942 46.1500848, 11.2753186 46.1500863, 11.2753704 46.1500789, 11.275636 46.1501331, 11.2757779 46.1501786, 11.2759447 46.1502549, 11.2760715 46.1502839, 11.2762464 46.1502967, 11.2763985 46.150353, 11.2765155 46.1503652, 11.2766315 46.1503903, 11.2768066 46.1504429, 11.2769137 46.1504911, 11.277044 46.1505389, 11.2771581 46.1505855, 11.2772351 46.1506232, 11.2773416 46.1506833, 11.2774511 46.1507304, 11.277499 46.1507632, 11.2775769 46.1508292, 11.2776246 46.1508127, 11.2776332 46.1507837, 11.277609 46.1507223, 11.277491 46.1506462, 11.2774159 46.1505867, 11.2773194 46.1505254, 11.2771611 46.1504306, 11.277035 46.1503804, 11.2769707 46.1503396, 11.2767936 46.1502634, 11.2766756 46.1502169, 11.2764932 46.1501928, 11.276335 46.150176, 11.2761955 46.1501705, 11.2761285 46.1501649, 11.2760399 46.1501407, 11.2759461 46.1500906, 11.2758549 46.1500497, 11.2757234 46.1499977, 11.2756403 46.1499568, 11.2756296 46.1499215, 11.2755089 46.149862, 11.2754532 46.1498365, 11.2753824 46.1498536, 11.275336 46.1498808, 11.2752978 46.1498719, 11.2752662 46.1498353, 11.2752621 46.1497988, 11.275238 46.1497691, 11.2751977 46.1497171, 11.2751602 46.1496688, 11.275077 46.1496242, 11.2749896 46.1496017, 11.2748651 46.1495684, 11.2747965 46.149513));beach
beach_id_339021463;Unnamed;;;{'minlat': 46.1501546, 'minlon': 11.2737934, 'maxlat': 46.1515678, 'maxlon': 11.274506};POLYGON ((11.2739508 46.1501724, 11.2740764 46.1502605, 11.2741329 46.1503211, 11.2741081 46.1503418, 11.2740627 46.1503281, 11.2739915 46.1502687, 11.2738961 46.1502483, 11.2738505 46.1502626, 11.2738228 46.1502858, 11.2737934 46.1503424, 11.273801 46.1504257, 11.2738959 46.1505393, 11.2740321 46.150666, 11.2740393 46.1507911, 11.2741064 46.1510791, 11.2741627 46.1513133, 11.2743827 46.1515678, 11.2744604 46.1514749, 11.274506 46.1514935, 11.2743746 46.1513932, 11.2742323 46.1512029, 11.2742083 46.1510661, 11.2742244 46.1509453, 11.2741977 46.1507966, 11.2741942 46.1507556, 11.2742285 46.1505262, 11.2743542 46.1503658, 11.2742485 46.1503619, 11.274202 46.150352, 11.2741466 46.1502467, 11.2740071 46.1501556, 11.2739482 46.1501546, 11.2739508 46.1501724));beach
beach_id_345854412;Unnamed;;;{'minlat': 45.9373802, 'minlon': 11.2522201, 'maxlat': 45.9381394, 'maxlon': 11.2534634};POLYGON ((11.2523597 45.9381394, 11.2522201 45.9379914, 11.252232 45.9379424, 11.2525871 45.9377935, 11.2526775 45.9377482, 11.2531203 45.937419, 11.2532533 45.9373802, 11.2534634 45.9375041, 11.2533955 45.9375374, 11.2532612 45.9374551, 11.2529062 45.9376761, 11.2531389 45.9378573, 11.2525538 45.9380451, 11.2523597 45.9381394));beach:grass
beach_id_345854443;Unnamed;;;{'minlat': 45.9348815, 'minlon': 11.2531462, 'maxlat': 45.9352102, 'maxlon': 11.2540019};POLYGON ((11.2531462 45.9352102, 11.2533769 45.9351034, 11.2535657 45.9348815, 11.2537107 45.9349379, 11.2540019 45.9349647, 11.2539279 45.9351728, 11.2537936 45.9351515, 11.2531462 45.9352102));beach
beach_id_384983267;Unnamed;;;{'minlat': 46.0987658, 'minlon': 10.9342599, 'maxlat': 46.0993308, 'maxlon': 10.9344563};POLYGON ((10.9342599 46.0987658, 10.9343579 46.0987721, 10.9344128 46.0988499, 10.9343716 46.0990641, 10.9344243 46.0991467, 10.9344563 46.0992514, 10.9344518 46.0992927, 10.9344037 46.0993149, 10.9343374 46.0993308, 10.9342868 46.0991902, 10.9342601 46.0988886, 10.9342599 46.0987658));beach
beach_id_384983269;Unnamed;;;{'minlat': 46.0973446, 'minlon': 10.9335678, 'maxlat': 46.097986, 'maxlon': 10.9339666};POLYGON ((10.9336909 46.0974373, 10.9336666 46.0973655, 10.9336607 46.0973446, 10.9335767 46.097353, 10.9335678 46.0975653, 10.9336477 46.0977654, 10.9338074 46.0979162, 10.9338859 46.097986, 10.9339666 46.0979541, 10.9339585 46.0978654, 10.9339035 46.0977599, 10.9338355 46.0976791, 10.9337772 46.0976409, 10.9337465 46.0975792, 10.933719 46.0974905, 10.9336909 46.0974373));beach
beach_id_390202388;Unnamed;;;{'minlat': 46.0057777, 'minlon': 11.2622907, 'maxlat': 46.005935, 'maxlon': 11.2627956};POLYGON ((11.2622907 46.0057842, 11.2624181 46.0057777, 11.2627956 46.0059015, 11.2627738 46.005935, 11.2622907 46.0057842));beach
beach_id_390202397;Unnamed;;;{'minlat': 46.0058255, 'minlon': 11.2629054, 'maxlat': 46.0061427, 'maxlon': 11.263578};POLYGON ((11.2629054 46.005931, 11.2629605 46.0058255, 11.2631813 46.0058753, 11.2633438 46.0059101, 11.2634431 46.0059604, 11.263578 46.0060307, 11.2635466 46.0061427, 11.263499 46.0061292, 11.2634765 46.0061223, 11.2629054 46.005931));beach
beach_id_395157923;Spiaggia del lago di Canzolino;;;{'minlat': 46.0826575, 'minlon': 11.2296375, 'maxlat': 46.0828576, 'maxlon': 11.2301241};POLYGON ((11.2296375 46.0828224, 11.2297502 46.0828576, 11.2301241 46.0826575, 11.2299213 46.0826647, 11.2296375 46.0828224));beach:grass
beach_id_401433570;Unnamed;;;{'minlat': 46.0389508, 'minlon': 11.0044394, 'maxlat': 46.0395896, 'maxlon': 11.0057702};POLYGON ((11.0052242 46.0395327, 11.0054299 46.0394001, 11.0057702 46.0391572, 11.0051455 46.0389508, 11.0050446 46.0390884, 11.0044394 46.0391425, 11.0045492 46.0395896, 11.004991 46.0395505, 11.0052242 46.0395327));beach
beach_id_429506350;Unnamed;;;{'minlat': 46.0045988, 'minlon': 11.2588459, 'maxlat': 46.0050554, 'maxlon': 11.2603604};POLYGON ((11.2588459 46.0045988, 11.259238 46.0046415, 11.2597287 46.0047818, 11.2601583 46.0048919, 11.2602163 46.0049373, 11.2603604 46.0049856, 11.2603304 46.0050547, 11.260217 46.0050227, 11.2600885 46.0049699, 11.2600558 46.0049823, 11.2600324 46.0049996, 11.2600116 46.0050295, 11.2599803 46.0050494, 11.2599428 46.0050554, 11.2598913 46.0050458, 11.2598674 46.0050238, 11.2598619 46.004993, 11.2598057 46.0049779, 11.259404 46.0048112, 11.2588459 46.0045988));beach
beach_id_435497165;Unnamed;;;{'minlat': 46.0361627, 'minlon': 11.23527, 'maxlat': 46.0371345, 'maxlon': 11.2371448};POLYGON ((11.2358087 46.0364498, 11.2353228 46.0363462, 11.23527 46.0365415, 11.2359325 46.0366132, 11.2360508 46.0366344, 11.2361765 46.0366569, 11.2365856 46.0367566, 11.2367747 46.0368552, 11.2371448 46.0371345, 11.2371318 46.0370366, 11.2370437 46.0366732, 11.23714 46.0366545, 11.2370428 46.0365141, 11.2367754 46.0364102, 11.2366975 46.0364654, 11.2364928 46.0364645, 11.2363317 46.0364202, 11.2363505 46.0362804, 11.2363213 46.0362098, 11.2362229 46.0361912, 11.2360715 46.0361627, 11.2358991 46.0362988, 11.2358087 46.0364498));beach:grass
beach_id_583557434;Unnamed;;;{'minlat': 45.9898288, 'minlon': 11.6647705, 'maxlat': 45.9908004, 'maxlon': 11.6661446};POLYGON ((11.6647705 45.9908004, 11.6650307 45.9903993, 11.6652908 45.990179, 11.6656405 45.9899982, 11.6659169 45.9899191, 11.6661446 45.9898288, 11.665551 45.9902129, 11.6651038 45.9905349, 11.6647705 45.9908004));beach:gravel
beach_id_583658364;Unnamed;;;{'minlat': 46.0090109, 'minlon': 11.6374357, 'maxlat': 46.0098605, 'maxlon': 11.6383255};POLYGON ((11.6374357 46.009805, 11.6374812 46.0095267, 11.6376182 46.0093646, 11.6376456 46.0091079, 11.6380164 46.0090123, 11.6383255 46.0090109, 11.6383066 46.0092758, 11.638081 46.0095221, 11.6378901 46.0096242, 11.6378005 46.0098605, 11.6374357 46.009805));beach:gravel
beach_id_616217579;Unnamed;;;{'minlat': 46.3527926, 'minlon': 11.0602552, 'maxlat': 46.3552625, 'maxlon': 11.0623791};POLYGON ((11.0603086 46.3527926, 11.0602552 46.3528428, 11.0602959 46.35315, 11.060423 46.3533074, 11.0605605 46.3533443, 11.0604578 46.3534369, 11.0603395 46.3534565, 11.060333 46.3536019, 11.0603975 46.3537209, 11.0605881 46.3538663, 11.0607106 46.3540656, 11.0606843 46.3541906, 11.0605744 46.3542276, 11.0605636 46.3542841, 11.0606186 46.3543063, 11.0607049 46.3542483, 11.0607333 46.3543208, 11.0606387 46.3544127, 11.0606643 46.3545022, 11.0607432 46.3546388, 11.060913 46.3548671, 11.0611271 46.3551485, 11.0613819 46.3552386, 11.0617336 46.3552625, 11.0619616 46.3549838, 11.0622641 46.3549811, 11.0623791 46.3547915, 11.061863 46.3545832, 11.0615899 46.3543424, 11.0614897 46.3541989, 11.0613202 46.3538938, 11.061055 46.3537376, 11.0609033 46.3534862, 11.0608122 46.3532742, 11.060755 46.3529361, 11.0607057 46.3528104, 11.0603086 46.3527926));beach:pebblestone
