Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Cinte Tesino;04022059;Comune;25,054;;20,159;1,292;10,173;5,071;10,792;3,456;1,093;0,171;15,203;4,633;7,637;;
Cis;04022060;Comune;32,303;;21,318;0,941;14,347;5,749;9,309;2,954;1,060;0,950;12,198;4,530;;;
Civezzano;04022061;Comune;636,762;;277,410;16,764;78,457;43,802;103,222;25,909;9,883;14,635;184,799;61,965;125,097;;
Cles;04022062;Comune;772,499;3,666;509,818;22,486;343,104;137,485;222,626;70,651;25,404;22,709;291,712;108,015;;;
Comano Terme;04022228;Comune;361,196;;264,341;85,743;99,197;47,978;112,422;35,385;7,764;3,508;190,402;44,040;;;
Commezzadura;04022064;Comune;296,170;;84,657;5,730;61,519;26,933;56,369;16,427;2,801;4,095;99,257;15,105;;;
Conta\';04022242;Comune;152,133;;100,401;4,430;67,569;27,076;43,843;13,913;4,982;4,472;57,449;21,060;;;
Croviana;04022068;Comune;81,788;;41,324;2,437;27,040;17,250;27,277;6,504;2,375;2,428;35,484;10,485;;;
Dambel;04022071;Comune;45,203;;29,833;1,317;20,077;8,044;13,027;4,135;1,480;1,329;17,070;6,180;;;
Denno;04022074;Comune;133,796;;88,300;3,896;59,425;23,813;38,558;12,236;4,381;3,933;50,524;18,645;;;
Dimaro Folgarida;04022233;Comune;572,947;;224,165;12,880;135,771;50,016;133,939;41,488;5,036;6,957;191,581;31,335;;;
Drena;04022078;Comune;62,581;;33,242;2,245;15,348;6,636;25,606;4,400;1,799;1,838;32,820;8,910;;;
Dro;04022079;Comune;619,277;;237,202;16,308;163,450;47,564;163,423;37,505;7,618;2,166;207,180;79,048;65,880;;
Fai della Paganella;04022081;Comune;352,460;;74,529;6,080;47,860;25,107;52,645;11,138;2,290;6,899;59,716;14,040;61,490;;
Fiave;04022083;Comune;121,308;;88,780;28,793;33,315;16,113;37,756;11,885;2,608;1,178;63,947;15,540;;;
Fierozzo;04022085;Comune;73,011;;31,808;1,922;8,996;5,022;11,835;2,971;1,133;1,678;21,189;7,050;14,344;;
Folgaria;04022087;Comune;517,260;43,975;321,940;4,444;173,580;72,454;167,571;36,491;6,880;7,520;268,110;47,445;33,925;;
Fornace;04022089;Comune;205,476;;89,518;5,409;25,317;14,134;33,309;8,360;3,190;4,722;59,633;19,995;40,368;;
Frassilongo;04022090;Comune;53,295;;23,217;1,404;6,567;3,666;8,639;2,168;0,828;1,225;15,467;5,130;10,470;;
Garniga Terme;04022091;Comune;55,089;;17,285;1,806;6,299;7,049;15,643;2,577;0,827;2,054;16,471;5,760;;;
Giovo;04022092;Comune;157,776;;130,745;11,755;72,140;42,908;101,760;21,823;5,701;13,373;103,812;38,055;;;
Giustino;04022093;Comune;102,549;;75,051;24,341;28,163;13,622;31,919;10,046;2,204;0,996;54,058;11,085;;;
Grigno;04022095;Comune;137,832;;110,901;7,110;55,965;27,896;59,363;19,011;6,013;0,941;83,639;25,490;42,014;;
Imer;04022097;Comune;155,758;;104,224;9,709;55,379;18,071;70,326;10,012;2,938;3,979;49,353;17,760;51,754;;
Isera;04022098;Comune;341,038;9,397;161,807;7,285;73,686;26,900;82,510;20,599;5,446;9,313;139,840;41,775;;;
Lavarone;04022102;Comune;172,050;36,605;137,674;6,520;107,360;26,334;95,462;17,023;2,892;3,010;118,190;17,790;94,770;;
Lavis;04022103;Comune;1.741,627;22,963;1.021,601;47,557;629,892;132,335;526,966;70,186;26,038;48,343;458,687;137,250;135,430;;
Ledro;04022229;Comune;574,990;;419,857;27,700;211,890;76,018;264,245;49,312;14,976;16,740;383,730;76,770;273,270;;
Levico Terme;04022104;Comune;1.493,788;;650,782;39,327;184,052;102,754;242,151;60,781;23,183;34,331;433,522;122,505;293,468;;
Livo;04022106;Comune;80,385;;53,051;2,341;35,702;14,307;23,167;7,351;2,634;2,363;30,355;11,295;;;
Lona-Lases;04022108;Comune;74,739;;54,738;3,960;19,885;8,972;35,533;5,238;1,028;4,564;35,619;12,975;7,110;;
Luserna;04022109;Comune;42,910;;26,098;;14,580;4,493;19,670;3,355;0,810;1,350;22,250;4,005;;;
Madruzzo;04022243;Comune;300,310;;176,674;13,605;94,960;36,426;119,191;22,028;4,429;15,681;121,418;44,385;55,290;;
Male;04022110;Comune;365,646;5,315;157,793;7,161;47,660;30,516;75,890;26,065;4,371;5,450;128,948;31,850;;;
Massimeno;04022112;Comune;16,258;;11,899;3,859;4,465;2,160;5,060;1,593;0,348;0,158;8,570;2,085;;;
Mazzin;04022113;Comune;120,666;;63,412;3,606;34,510;6,450;38,140;5,797;0,493;1,980;44,726;;;;
Mezzana;04022114;Comune;345,670;;135,644;7,141;56,520;28,136;69,057;14,124;3,276;3,680;168,335;13,200;;;
Mezzano;04022115;Comune;208,234;;139,337;12,980;74,036;24,158;94,016;13,384;3,927;5,320;65,980;23,805;69,190;;
Mezzocorona;04022116;Comune;614,790;;549,342;28,810;172,405;75,512;268,698;43,080;6,612;28,961;422,175;81,960;54,735;;
Mezzolombardo;04022117;Comune;1.033,085;;636,213;39,789;185,470;88,694;369,568;77,125;11,957;39,142;306,506;112,785;39,675;;
Moena;04022118;Comune;720,307;;279,382;17,110;188,540;59,857;141,845;29,705;6,797;10,310;263,068;;7,450;;
Molveno;04022120;Comune;469,222;;190,936;13,999;78,091;39,519;124,601;16,205;2,130;11,938;137,180;16,620;31,940;;
Mori;04022123;Comune;892,710;52,374;561,630;2,776;207,521;89,995;424,241;49,442;14,740;24,020;391,820;151,590;66,500;;
Nago-Torbole;04022124;Comune;884,364;;347,545;18,272;82,146;41,872;198,951;15,527;5,152;1,029;375,430;32,253;28,050;;
Nogaredo;04022127;Comune;184,038;8,701;136,647;1,560;29,223;20,130;95,638;5,771;2,204;3,125;80,500;31,185;;;
Nomi;04022128;Comune;135,608;3,757;63,721;0,720;12,951;9,771;48,896;3,111;1,441;1,393;57,650;18,388;;;
Novaledo;04022129;Comune;75,298;;60,586;3,884;30,574;15,239;32,430;10,386;3,286;0,514;45,692;13,925;22,952;;
Novella;04022253;Comune;387,422;;255,682;11,279;172,072;68,952;111,649;35,432;12,688;11,389;146,299;53,940;;;
Ospedaletto;04022130;Comune;53,823;;43,306;2,776;21,854;10,893;23,181;7,423;2,349;0,368;32,660;9,954;16,406;;
Ossana;04022131;Comune;172,460;;70,725;3,325;48,460;22,214;40,251;10,180;2,231;4,270;56,592;12,285;;;
Palu del Fersina;04022133;Comune;25,415;;11,072;0,669;3,131;1,749;4,121;1,035;0,394;0,584;7,376;2,430;4,993;;
Panchia ;04022134;Comune;164,769;;77,796;32,652;21,998;10,743;31,484;8,187;2,429;2,558;46,768;11,913;22,591;;
Peio;04022136;Comune;224,666;;161,439;10,175;77,240;47,752;88,479;19,374;2,776;7,110;146,700;11,960;;;
Pellizzano;04022137;Comune;126,384;;67,545;9,406;36,820;23,727;16,204;14,247;2,118;3,120;78,460;11,850;;;
Pelugo;04022138;Comune;46,841;;34,280;11,118;12,864;6,221;14,579;4,589;1,007;0,455;24,692;6,120;;;
Pergine Valsugana;04022139;Comune;3.374,040;63,816;1.469,929;88,830;417,336;232,574;546,950;138,869;56,807;77,788;979,199;323,580;662,859;;
Pieve Di Bono-Prezzo;04022234;Comune;165,761;;121,313;39,344;45,524;22,017;51,592;16,240;3,564;1,610;87,380;21,600;;;
Pieve Tesino;04022142;Comune;53,823;;43,306;2,776;21,854;10,893;23,181;7,423;2,349;0,368;32,660;9,954;16,406;;
Pinzolo;04022143;Comune;645,768;;472,603;153,304;177,348;85,776;200,992;63,258;15,841;6,273;340,410;45,630;;;
Pomarolo;04022144;Comune;196,822;11,033;111,217;22,976;37,343;33,543;78,612;8,193;3,336;3,999;83,570;36,615;;;
Porte Di Rendena;04022244;Comune;211,011;;154,427;50,097;57,951;28,028;65,676;20,671;4,536;2,050;111,233;26,745;;;
Predaia;04022230;Comune;751,070;;495,675;21,867;333,586;133,671;216,449;68,691;24,597;22,079;283,620;102,555;;;
Predazzo;04022147;Comune;953,347;;450,117;188,925;127,284;62,159;182,161;47,376;14,053;14,801;270,596;68,926;130,709;;
Primiero San Martino Di Castrozza;04022245;Comune;886,565;34,620;593,232;55,462;315,213;102,853;400,267;58,565;21,574;22,662;280,913;75,240;294,578;;
Rabbi;04022150;Comune;137,316;;76,008;5,211;41,260;34,370;47,398;13,300;3,227;5,800;74,315;20,250;;;
Riva del Garda;04022153;Comune;2.598,981;41,248;1.390,552;81,092;524,488;161,129;777,711;92,521;27,597;7,726;1.205,700;124,976;361,410;;
Romeno;04022155;Comune;158,849;;104,834;4,624;70,553;28,272;45,779;14,528;5,202;4,670;59,985;21,780;;;
