Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2020 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Ala;04022001;Comune;905,791;;502,073;9,902;184,369;99,508;427,548;65,500;16,730;40,160;319,910;131,055;;;
Albiano;04022002;Comune;181,371;;112,032;7,569;42,087;24,711;68,790;11,988;2,730;8,259;67,966;22,665;;;
Aldeno;04022003;Comune;384,609;;237,571;16,051;89,248;52,402;145,873;25,422;5,789;17,513;144,125;48,180;;;
Altavalle;04022235;Comune;207,657;;128,269;8,666;48,187;28,292;78,759;13,725;3,125;9,456;77,816;24,315;;;
Altopiano Della Vigolana;04022236;Comune;531,732;;339,331;15,702;99,539;75,418;123,283;42,856;14,876;18,180;210,614;77,055;;;
Amblar-Don;04022237;Comune;59,812;;42,976;3,942;23,993;10,053;18,042;5,437;1,714;1,799;23,043;8,220;;;
Andalo;04022005;Comune;419,139;;258,900;17,492;97,261;57,106;158,969;27,705;6,308;19,085;157,064;16,995;;;
Arco;04022006;Comune;2.047,564;;1.128,302;87,621;508,853;176,381;677,991;153,137;13,741;12,699;735,323;267,345;;;
Avio;04022007;Comune;500,804;;227,944;3,933;105,587;59,832;151,577;34,323;8,306;12,030;152,840;61,050;;;
Baselga di Pine;04022009;Comune;657,452;;415,245;35,490;121,500;88,785;145,862;46,653;17,160;17,439;252,463;76,200;;;
Bedollo;04022011;Comune;180,563;;113,894;6,009;33,045;24,388;40,372;12,786;4,798;4,791;69,326;22,125;;;
Besenello;04022013;Comune;253,666;;168,695;3,967;100,428;38,426;122,059;22,929;5,698;7,707;98,820;41,460;12,660;;
Bieno;04022015;Comune;32,024;6,094;26,312;1,737;11,615;7,110;13,668;4,260;1,525;0,184;19,228;6,737;;;
Bleggio Superiore;04022017;Comune;155,143;;123,971;38,518;44,390;22,924;50,772;16,424;4,477;2,485;86,717;22,890;;;
Bocenago;04022018;Comune;44,966;;35,931;11,163;12,866;6,645;14,716;4,760;1,297;0,720;25,134;5,955;;;
Bondone;04022021;Comune;60,642;;48,457;15,053;17,351;8,960;19,846;6,421;1,749;0,971;33,896;9,630;;;
Borgo Chiese;04022238;Comune;179,954;;143,798;44,682;51,490;26,591;58,892;19,052;5,192;2,882;100,586;29,715;;;
Borgo d\'Anaunia;04022252;Comune;277,417;;199,330;18,283;111,285;46,630;83,685;25,218;7,949;8,345;106,878;37,470;;;
Borgo Lares;04022239;Comune;67,181;;53,682;16,677;19,222;9,926;21,986;7,112;1,938;1,076;37,550;10,725;;;
Borgo Valsugana;04022022;Comune;466,353;88,746;383,179;25,294;169,149;103,552;199,053;62,027;22,202;2,677;280,010;98,111;199,601;;
Brentonico;04022025;Comune;451,451;;272,395;8,712;146,563;58,028;206,797;35,989;9,551;7,770;231,920;60,465;;;
Bresimo;04022026;Comune;24,705;;17,751;1,628;9,910;4,152;7,452;2,245;0,709;0,743;9,517;3,795;;;
Caderzone Terme;04022029;Comune;85,364;;68,213;21,191;24,425;12,613;27,936;9,037;2,463;1,367;47,714;10,260;;;
Calceranica al Lago;04022032;Comune;419,753;;143,034;12,147;44,786;31,520;57,856;16,119;5,310;8,303;91,395;20,805;;;
Caldes;04022033;Comune;94,295;10,662;40,035;3,484;16,379;16,352;25,353;7,717;2,323;3,148;41,287;17,019;;;
Caldonazzo;04022034;Comune;506,743;;313,212;13,777;96,117;57,880;113,570;30,767;10,551;15,847;174,512;55,038;;;
Calliano;04022035;Comune;232,254;;105,626;0,615;14,934;13,969;73,923;3,189;1,164;14,411;83,840;24,739;;;
Campitello di Fassa;04022036;Comune;205,576;;134,611;12,073;98,530;35,853;117,619;4,633;1,305;;42,360;;23,290;;
Campodenno;04022037;Comune;141,170;;101,434;9,305;56,630;23,728;42,585;12,832;4,045;4,247;54,387;22,605;;;
Canal San Bovo;04022038;Comune;175,937;;125,216;11,518;66,594;27,603;85,006;13,335;4,789;5,037;54,609;22,005;;;
Canazei;04022039;Comune;642,811;;296,683;29,579;135,400;96,442;340,899;28,523;7,664;5,620;79,070;;;;
Capriana;04022040;Comune;102,914;;48,033;30,593;12,877;7,053;16,877;5,095;1,860;1,687;27,487;8,065;;;
Carisolo;04022042;Comune;161,502;;129,053;40,098;46,210;23,864;52,853;17,097;4,660;2,586;90,273;14,295;;;
Carzano;04022043;Comune;34,928;6,647;28,699;1,894;12,669;7,756;14,909;4,646;1,662;0,200;20,972;7,348;;;
Castel Condino;04022045;Comune;21,497;;17,177;5,337;6,151;3,176;7,036;2,275;0,621;0,344;12,016;3,330;;;
Castel Ivano;04022240;Comune;219,740;;180,549;11,918;79,700;48,792;93,791;29,227;10,462;1,261;131,937;46,230;;;
Castello Tesino;04022048;Comune;94,551;17,993;77,688;5,128;34,294;20,994;40,358;12,576;4,500;0,543;56,771;17,730;;;
Castello-Molina di Fiemme;04022047;Comune;428,499;;199,993;127,377;53,615;29,370;70,269;21,218;7,747;7,025;114,444;33,579;;;
Castelnuovo;04022049;Comune;71,838;13,671;59,026;3,896;26,056;15,951;30,663;9,555;3,420;0,412;43,133;15,114;;;
Cavalese;04022050;Comune;876,490;55,383;409,085;260,545;109,669;60,075;143,735;43,401;15,848;14,369;234,095;61,860;124,736;;
Cavareno;04022051;Comune;126,588;;90,957;8,344;50,781;21,278;38,186;11,508;3,628;3,808;48,770;16,920;;;
Cavedago;04022052;Comune;77,662;;47,972;3,241;18,022;10,582;29,456;5,133;1,168;3,536;29,103;8,190;;;
Cavedine;04022053;Comune;366,208;;226,205;15,283;84,979;49,895;138,893;24,207;5,513;16,675;137,229;45,135;;;
Cavizzana;04022054;Comune;15,066;2,011;9,917;0,837;3,001;3,236;6,719;1,417;0,439;0,564;9,423;3,351;;;
Cembra Lisignago;04022241;Comune;279,346;;172,551;11,657;64,822;38,060;105,949;18,465;4,204;12,720;104,679;34,245;;;
Cimone;04022058;Comune;86,384;;53,359;3,605;20,046;11,769;32,763;5,711;1,300;3,933;32,371;10,650;;;
Cinte Tesino;04022059;Comune;26,412;5,026;21,701;1,432;9,579;5,864;11,274;3,512;1,257;0,152;15,858;5,280;;;
Cis;04022060;Comune;30,184;;21,688;1,989;12,108;5,074;9,105;2,744;0,865;0,908;11,629;4,605;;;
Civezzano;04022061;Comune;1.013,070;;266,353;19,855;60,359;35,142;95,989;23,878;10,564;12,722;167,378;61,122;;;
Cles;04022062;Comune;667,492;;479,609;43,996;267,763;112,194;201,357;60,683;19,119;20,080;257,162;107,055;;;
Comano Terme;04022228;Comune;309,389;;247,225;76,812;88,524;45,716;101,252;32,755;8,926;4,955;172,934;43,320;;;
Commezzadura;04022064;Comune;196,730;31,789;77,479;5,422;58,281;25,345;50,347;15,817;2,434;3,086;73,428;15,225;;;
Conta\';04022242;Comune;135,133;;97,096;8,906;54,208;22,714;40,764;12,284;3,872;4,065;52,062;20,970;;;
Croviana;04022068;Comune;87,712;11,873;39,451;2,760;18,640;14,160;23,107;8,001;3,479;2,020;31,825;10,290;;;
Dambel;04022071;Comune;40,865;;29,363;2,694;16,393;6,868;12,327;3,714;1,170;1,229;15,744;6,405;;;
Denno;04022074;Comune;113,586;;81,615;7,486;45,565;19,093;34,264;10,325;3,255;3,417;43,760;17,985;;;
Dimaro Folgarida;04022233;Comune;465,014;;195,492;12,697;96,989;48,922;119,202;31,345;3,841;4,934;170,741;31,065;;;
Drena;04022078;Comune;64,489;;35,536;2,760;16,026;5,555;21,354;4,823;0,433;0,400;23,159;8,640;;;
Dro;04022079;Comune;557,794;;307,370;23,869;138,621;48,050;184,698;41,718;3,743;3,459;200,315;76,515;;;
Fai della Paganella;04022081;Comune;175,995;;108,712;7,344;40,840;23,979;66,751;11,632;2,648;8,014;65,951;13,680;;;
Fiave;04022083;Comune;100,413;;80,238;24,926;28,731;14,837;32,861;10,630;2,896;1,608;56,126;15,930;;;
Fierozzo;04022085;Comune;334,509;;32,395;1,341;8,730;6,336;10,343;2,744;1,163;1,279;21,401;7,245;;;
Folgaria;04022087;Comune;544,902;;312,667;7,465;198,219;60,403;187,920;35,522;7,347;9,390;238,750;47,415;23,320;;
Fornace;04022089;Comune;133,952;;85,591;3,523;21,745;11,286;30,230;7,673;3,572;4,088;53,814;18,312;;;
Frassilongo;04022090;Comune;500,138;;25,753;1,942;6,890;4,999;8,182;2,163;0,928;1,009;17,016;5,220;;;
Garniga Terme;04022091;Comune;49,465;;30,554;2,064;11,478;6,740;18,760;3,268;0,743;2,252;18,536;5,940;;;
Giovo;04022092;Comune;309,695;;191,297;12,925;71,864;42,195;117,459;20,471;4,660;14,102;116,052;38,430;;;
Giustino;04022093;Comune;91,724;;73,295;22,769;26,245;13,554;30,018;9,711;2,645;1,469;51,270;11,190;;;
Grigno;04022095;Comune;139,054;26,461;114,253;7,542;50,435;30,876;59,353;18,495;6,621;0,798;83,492;29,255;;;
Imer;04022097;Comune;137,076;;97,558;8,974;51,885;21,506;66,231;10,390;3,730;3,925;42,547;17,670;;;
Isera;04022098;Comune;321,744;;189,592;14,800;56,088;35,274;211,909;18,712;6,848;3,208;;41,355;;;
Lavarone;04022102;Comune;171,311;;140,730;6,670;129,388;38,917;91,801;19,852;4,350;2,190;104,810;17,865;250,198;;
Lavis;04022103;Comune;1.094,327;;675,962;45,669;253,938;149,097;415,050;72,346;16,473;49,830;410,076;136,290;;;
Ledro;04022229;Comune;771,827;;425,312;33,029;191,811;66,486;255,567;57,725;5,179;4,787;277,179;79,455;;;
Levico Terme;04022104;Comune;1.523,352;;691,005;21,112;161,492;77,653;194,824;51,792;14,856;24,858;424,960;68,508;;;
Livo;04022106;Comune;75,043;;53,920;4,946;30,103;12,614;22,638;6,822;2,151;2,257;28,912;11,925;;;
Lona-Lases;04022108;Comune;105,143;;64,947;4,388;24,399;14,326;39,879;6,949;1,583;4,788;39,400;13,005;;;
Luserna;04022109;Comune;50,284;;25,127;0,121;21,875;5,098;18,171;0,551;1,041;1,060;21,680;3,975;;;
Madruzzo;04022243;Comune;353,663;;218,457;14,759;82,068;48,185;134,137;23,377;5,324;16,104;132,528;43,680;;;
Male;04022110;Comune;357,742;25,436;153,785;6,575;48,750;35,856;64,800;29,934;4,018;5,710;110,233;20,300;21,564;;
Massimeno;04022112;Comune;14,332;;11,452;3,558;4,101;2,118;4,691;1,518;0,414;0,230;8,011;2,205;;;
Mazzin;04022113;Comune;136,639;;56,036;8,186;30,460;6,795;66,142;3,767;0,912;1,930;;;;;
Mezzana;04022114;Comune;315,580;20,063;111,794;6,640;45,010;25,744;61,107;12,467;2,355;2,440;139,888;13,185;;;
Mezzano;04022115;Comune;192,735;;137,170;12,619;72,953;30,239;93,122;14,607;5,247;5,518;59,823;24,240;;;
Mezzocorona;04022116;Comune;669,331;;413,443;27,933;155,319;91,194;253,861;44,244;10,076;30,478;250,819;83,325;;;
Mezzolombardo;04022117;Comune;879,020;;542,967;36,683;203,977;119,764;333,391;58,105;13,231;40,026;329,396;110,220;;;
Moena;04022118;Comune;574,978;;279,695;28,001;173,820;81,404;307,652;5,350;5,084;9,690;;;7,590;;
Molveno;04022120;Comune;271,818;;167,902;11,344;63,075;37,035;103,094;17,967;4,091;12,377;101,859;16,695;;;
Mori;04022123;Comune;1.088,639;;601,210;11,123;197,675;96,360;419,993;72,514;16,362;17,140;341,190;150,450;;;
Nago-Torbole;04022124;Comune;416,176;;229,332;17,809;103,426;35,851;137,804;31,126;2,794;2,581;149,457;42,555;;;
Nogaredo;04022127;Comune;197,764;;118,148;1,118;28,402;17,233;78,132;8,855;2,859;2,754;79,470;31,395;;;
Nomi;04022128;Comune;157,890;;90,952;0,421;14,023;11,893;63,193;6,265;2,003;10,950;54,400;19,710;;;
Novaledo;04022129;Comune;73,620;14,010;60,490;3,993;26,702;16,347;31,424;9,792;3,506;0,423;44,204;15,489;;;
Novella;04022253;Comune;344,009;;247,177;22,673;137,998;57,823;103,774;31,271;9,857;10,348;132,534;54,075;;;
Ospedaletto;04022130;Comune;52,492;9,989;43,129;2,847;19,039;11,655;22,405;6,981;2,500;0,301;31,517;11,043;;;
Ossana;04022131;Comune;183,491;16,697;65,033;3,993;34,040;26,248;36,149;10,572;3,331;2,800;52,512;12,585;;;
Palu del Fersina;04022133;Comune;174,961;;11,327;0,770;6,068;5,622;3,623;1,687;0,759;0,449;7,490;2,565;;;
Panchia ;04022134;Comune;163,416;;76,271;48,578;20,447;11,200;26,798;8,092;2,953;2,679;43,645;12,806;;;
Peio;04022136;Comune;182,774;20,886;140,577;6,581;53,640;51,885;62,489;18,173;3,736;2,810;113,984;7,800;;;
Pellizzano;04022137;Comune;94,743;11,916;69,265;8,003;25,060;28,149;15,210;15,597;2,711;2,620;66,678;11,805;;;
Pelugo;04022138;Comune;37,979;;30,348;9,428;10,867;5,612;12,430;4,021;1,095;0,608;21,229;5,835;;;
Pergine Valsugana;04022139;Comune;3.057,377;;1.718,490;124,858;575,350;296,329;605,188;169,133;55,297;103,548;866,751;324,900;379,818;;
Pieve Di Bono-Prezzo;04022234;Comune;129,345;;103,358;32,109;37,009;19,112;42,329;13,694;3,731;2,071;72,298;21,420;;;
Pieve Tesino;04022142;Comune;53,945;10,266;44,323;2,926;19,566;11,978;23,026;7,175;2,570;0,310;32,390;9,705;;;
Pinzolo;04022143;Comune;611,796;;488,871;151,896;175,049;90,399;200,217;64,770;17,653;9,798;341,961;46,035;;;
Pomarolo;04022144;Comune;222,794;;136,267;22,756;37,116;33,774;78,891;15,695;4,395;3,520;86,270;36,480;;;
