Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2020 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Porte Di Rendena;04022244;Comune;163,204;;130,411;40,524;46,697;24,115;53,410;17,279;4,710;2,614;91,224;26,520;;;
Predaia;04022230;Comune;697,305;;501,029;45,958;279,722;117,206;210,350;63,388;19,980;20,976;268,647;102,405;;;
Predazzo;04022147;Comune;938,395;;437,977;278,945;117,415;64,317;153,885;46,467;16,971;15,384;250,629;67,650;;;
Primiero San Martino Di Castrozza;04022245;Comune;830,522;;591,087;54,373;314,359;130,304;401,276;62,945;22,616;23,781;257,788;78,660;;;
Rabbi;04022150;Comune;121,613;18,373;75,407;5,562;30,320;44,326;45,426;11,576;3,604;4,740;86,012;20,070;;;
Riva del Garda;04022153;Comune;2.187,039;;1.205,160;93,590;543,515;188,396;724,173;163,567;14,674;13,565;785,411;268,530;301,714;;
Romeno;04022155;Comune;147,579;;106,038;9,727;59,201;24,805;44,519;13,415;4,228;4,439;56,856;20,850;;;
Roncegno Terme;04022156;Comune;200,459;38,147;164,707;10,872;72,707;44,511;85,562;26,664;9,545;1,151;120,361;42,173;;;
Ronchi Valsugana;04022157;Comune;32,353;6,156;26,583;1,755;11,735;7,184;13,809;4,304;1,541;0,186;19,426;6,807;;;
Ronzo-Chienis;04022135;Comune;155,282;;70,602;0,373;4,015;7,253;47,805;6,100;1,983;5,590;68,640;;10,040;;
Ronzone;04022159;Comune;68,356;;49,116;4,505;27,421;11,490;20,621;6,214;1,960;2,056;26,336;6,585;;;
Rovere della Luna;04022160;Comune;197,263;;121,848;8,232;45,775;26,877;74,817;13,038;2,969;8,982;73,920;24,615;;;
Rovereto;04022161;Comune;5.371,706;;2.656,465;450,731;862,762;357,000;1.013,344;307,510;87,577;144,942;1.418,120;601,575;273,610;;
Ruffre-Mendola;04022162;Comune;54,889;;39,439;3,618;22,019;9,226;16,558;4,989;1,574;1,651;21,146;6,285;;;
Rumo;04022163;Comune;85,166;;61,193;5,613;34,164;14,315;25,691;7,741;2,441;2,562;32,812;12,165;;;
Sagron Mis;04022164;Comune;21,950;;15,620;1,437;8,309;3,444;10,605;1,664;0,597;0,628;6,813;2,670;;;
Samone;04022165;Comune;37,239;7,087;30,598;2,020;13,507;8,269;15,895;4,954;1,774;0,214;22,360;7,835;;;
San Lorenzo Dorsino;04022231;Comune;172,967;;138,215;42,946;49,490;25,558;56,607;18,312;4,991;2,770;96,681;23,655;;;
San Michele all\'Adige;04022167;Comune;477,087;;294,694;19,909;110,708;65,002;180,947;31,536;7,181;21,724;178,779;59,370;;;
Sant\'Orsola Terme;04022168;Comune;119,078;;71,826;5,443;19,341;14,038;22,985;6,075;2,512;2,833;47,461;16,635;;;
Sanzeno;04022169;Comune;87,024;;62,528;5,736;34,909;14,628;26,252;7,910;2,495;2,618;33,527;13,530;;;
Sarnonico;04022170;Comune;89,717;;64,464;5,913;35,990;15,080;27,065;8,154;2,571;2,699;34,565;11,925;;;
Scurelle;04022171;Comune;92,373;17,578;75,898;5,010;33,504;20,511;39,427;12,286;4,399;0,530;55,463;19,434;;;
Segonzano;04022172;Comune;179,818;;111,074;7,504;41,727;24,499;68,201;11,886;2,705;8,188;67,383;21,240;;;
Sella Giudicarie;04022246;Comune;282,606;;225,825;70,169;80,861;41,758;92,487;29,919;8,152;4,526;157,964;43,650;;;
Sen Jan di Fassa-San Giovanni di Fassa;04022250;Comune;673,398;;462,262;48,922;214,600;280,652;510,639;34,712;10,518;7,450;;;;;
Sfruz;04022173;Comune;45,230;;32,499;2,980;18,144;7,602;13,644;4,111;1,297;1,361;17,426;5,505;;;
Soraga;04022176;Comune;93,090;;83,351;11,037;41,240;20,880;131,982;1,140;2,245;0,700;;;;;
Sover;04022177;Comune;98,572;;60,887;4,114;22,874;13,430;37,386;6,517;1,485;4,488;36,938;11,850;;;
Spiazzo;04022179;Comune;153,888;;122,969;38,205;44,031;22,739;50,362;16,292;4,440;2,464;86,017;18,720;;;
Spormaggiore;04022180;Comune;160,343;;99,043;6,692;37,207;21,846;60,815;10,599;2,415;7,301;60,085;18,795;;;
Sporminore;04022181;Comune;66,591;;47,847;4,389;26,713;11,193;20,089;6,053;1,909;2,003;25,655;10,560;;;
Stenico;04022182;Comune;127,643;;101,996;31,687;36,522;18,861;41,772;13,514;3,684;2,044;71,347;17,655;;;
Storo;04022183;Comune;410,697;;328,179;101,971;117,511;60,686;134,406;43,480;11,849;6,577;229,561;68,340;;;
Strembo;04022184;Comune;57,238;;45,738;14,210;16,377;8,457;18,732;6,059;1,651;0,917;31,993;9,060;;;
Telve;04022188;Comune;129,348;24,614;106,279;7,016;46,915;28,720;55,209;17,205;6,158;0,742;77,664;27,213;;;
Telve di Sopra;04022189;Comune;39,683;7,552;32,605;2,153;14,393;8,811;16,938;5,278;1,888;0,228;23,826;8,349;;;
Tenna;04022190;Comune;116,004;;71,630;4,808;13,581;8,306;19,715;5,588;1,709;2,682;45,800;8,581;;;
Tenno;04022191;Comune;237,707;;130,988;10,171;59,074;20,477;78,710;17,778;1,595;1,474;85,366;30,120;;;
Terragnolo;04022193;Comune;44,592;;24,580;0,214;0,722;3,038;20,004;5,208;0,507;2,480;45,300;;;;
Terre d\'Adige;04022251;Comune;366,448;;226,353;15,293;85,034;49,928;138,984;24,222;5,514;16,686;137,319;45,900;;;
Terzolas;04022195;Comune;75,365;7,693;30,207;2,606;13,080;12,953;19,309;6,214;1,872;2,518;26,384;9,930;;;
Tesero;04022196;Comune;583,806;;272,480;173,543;73,048;40,014;95,738;28,909;10,555;9,571;155,924;43,935;;;
Tione di Trento;04022199;Comune;333,574;;266,551;82,823;95,444;49,290;109,168;35,315;9,623;5,342;186,452;54,915;49,479;;
Ton;04022200;Comune;124,452;;89,421;8,202;49,924;20,919;37,543;11,312;3,567;3,744;47,947;19,905;;;
Torcegno;04022202;Comune;46,748;8,896;38,410;2,535;16,955;10,380;19,953;6,218;2,225;0,268;28,068;9,835;;;
Trambileno;04022203;Comune;113,325;;72,367;0,122;1,042;9,249;65,089;7,639;1,087;7,000;51,290;;;;
Tre Ville;04022247;Comune;173,953;;139,001;43,194;49,772;25,703;56,928;18,416;5,018;2,786;97,232;20,940;;;
Trento;04022205;Comune;16.464,311;;8.398,661;1.673,940;2.335,800;1.005,680;3.076,820;842,956;235,553;461,330;4.886,880;1.807,365;598,280;;
Valdaone;04022232;Comune;110,803;;88,540;27,506;31,704;16,372;36,261;11,730;3,196;1,774;61,934;17,460;;;
Valfloriana;04022209;Comune;79,681;;37,189;23,685;9,970;5,462;13,067;3,946;1,440;1,306;21,281;6,244;;;
Vallarsa;04022210;Comune;54,057;;70,078;0,285;1,171;7,683;50,885;9,717;2,036;8,340;75,220;;;;
Vallelaghi;04022248;Comune;631,456;;390,049;26,352;146,530;86,033;239,495;41,740;9,504;28,753;236,626;77,595;;;
Vermiglio;04022213;Comune;254,735;27,357;127,867;8,715;69,960;56,938;74,891;17,654;2,894;4,370;110,955;27,240;;;
Vignola-Falesina;04022216;Comune;24,276;;16,402;0,894;5,315;3,228;6,512;1,918;0,612;1,173;11,189;2,745;;;
Villa d\'Anaunia;04022249;Comune;447,007;;321,184;29,461;179,316;75,135;134,844;40,634;12,807;13,447;172,215;71,310;;;
Villa Lagarina;04022222;Comune;410,040;;216,718;4,846;100,950;42,878;141,523;37,109;10,729;10,096;133,740;57,120;;;
Ville di Fiemme;04022254;Comune;602,207;;281,068;179,012;75,351;41,276;98,755;29,820;10,888;9,872;160,839;38,790;;;
Volano;04022224;Comune;450,978;;169,942;19,106;102,291;44,148;113,119;29,905;10,042;9,200;110,420;45,465;;;
Ziano di Fiemme;04022226;Comune;367,062;;171,319;109,112;45,928;25,159;60,195;18,176;6,636;6,017;98,036;26,610;;;


			



