Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Cimone;04022058;Comune;86,300;;53,174;3,687;18,584;9,805;31,880;4,998;0,894;2,823;29,928;10,410;;;
Cinte Tesino;04022059;Comune;28,927;;18,137;1,326;7,561;5,552;10,644;3,037;0,871;0,058;15,448;5,250;;;
Cis;04022060;Comune;32,366;;19,816;2,778;12,459;5,559;8,982;2,807;0,990;0,810;11,446;4,560;;;
Civezzano;04022061;Comune;816,199;;282,942;18,228;83,323;49,526;95,778;26,673;9,438;14,677;149,807;60,591;;;
Cles;04022062;Comune;721,621;;441,811;61,935;277,778;123,952;200,271;62,592;22,060;18,058;255,211;105,300;;;
Cloz;04022063;Comune;69,821;;42,748;5,993;26,877;11,993;19,377;6,055;2,135;1,747;24,694;9,855;;;
Comano Terme;04022228;Comune;343,538;;223,170;150,472;88,805;41,601;93,160;29,810;7,604;5,497;168,114;44,445;;;
Commezzadura;04022064;Comune;257,537;;77,218;5,351;51,305;22,320;41,526;11,258;1,758;1,721;71,412;14,700;;;
Conta\';04022242;Comune;152,263;;93,222;13,068;58,612;26,154;42,258;13,207;4,655;3,810;53,850;21,165;;;
Croviana;04022068;Comune;70,858;;34,769;2,566;18,610;15,704;18,257;5,756;1,991;1,236;28,009;10,125;;;
Daiano;04022070;Comune;142,229;;60,921;4,242;15,613;8,156;22,011;6,698;2,161;2,029;31,231;;;;
Dambel;04022071;Comune;44,783;;27,419;3,843;17,239;7,693;12,429;3,884;1,368;1,121;15,838;6,435;;;
Denno;04022074;Comune;125,801;;77,021;10,797;48,425;21,609;34,914;10,911;3,848;3,148;44,490;18,315;;;
Dimaro Folgarida;04022233;Comune;628,487;;222,195;13,191;108,895;47,330;114,264;30,977;3,425;2,781;199,253;32,100;;;
Drena;04022078;Comune;75,265;;36,989;2,508;15,004;5,557;24,228;3,543;0,506;0,172;21,123;8,745;;;
Dro;04022079;Comune;649,841;;319,362;21,649;129,542;47,979;209,186;30,592;4,364;1,485;182,379;75,975;;;
Faedo;04022080;Comune;85,687;;52,796;3,660;18,453;9,735;31,654;4,962;0,887;2,803;29,715;9,600;;;
Fai della Paganella;04022081;Comune;202,020;;124,476;8,629;43,506;22,952;74,629;11,700;2,092;6,609;70,058;13,665;;;
Fiave;04022083;Comune;105,428;;68,489;46,178;27,253;12,767;28,589;9,149;2,333;1,687;51,593;16,545;;;
Fierozzo;04022085;Comune;102,392;;34,608;2,230;10,192;6,057;11,715;3,263;1,155;1,795;18,324;7,080;;;
Folgaria;04022087;Comune;580,276;148,160;328,213;19,135;195,895;64,947;152,774;40,670;5,834;10,340;215,350;47,370;;;
Fondo;04022088;Comune;182,288;;111,605;15,647;70,169;31,311;50,591;15,811;5,573;4,562;64,468;21,690;;;
Fornace;04022089;Comune;234,068;;92,288;5,946;27,178;16,154;31,241;8,701;3,077;4,787;48,863;19,763;;;
Frassilongo;04022090;Comune;89,466;;29,289;1,886;8,625;5,126;9,914;2,761;0,976;1,520;15,507;5,160;;;
Garniga Terme;04022091;Comune;55,408;;34,140;2,367;11,932;6,295;20,468;3,209;0,573;1,813;19,215;6,240;;;
Giovo;04022092;Comune;315,166;;194,191;13,461;67,871;35,807;116,426;18,252;3,265;10,310;109,296;37,995;;;
Giustino;04022093;Comune;107,400;;69,770;47,042;27,763;13,006;29,125;9,319;2,377;1,719;52,558;11,175;;;
Grigno;04022095;Comune;45,677;;117,205;7,184;53,081;27,505;58,769;15,168;5,065;0,602;98,334;32,520;;;
Imer;04022097;Comune;139,175;;91,068;8,832;43,951;18,486;71,895;8,895;3,023;0,380;22,339;17,745;;;
Isera;04022098;Comune;559,840;;196,539;13,760;63,284;34,811;199,143;19,450;6,386;2,904;;41,625;;;
Lavarone;04022102;Comune;209,751;112,608;127,428;10,508;129,460;39,895;79,997;20,276;3,200;3,590;73,550;17,430;;;
Lavis;04022103;Comune;1.119,202;;689,600;47,802;241,022;127,154;413,448;64,816;11,590;36,613;388,126;135,480;;;
Ledro;04022229;Comune;943,894;;463,873;31,446;188,159;69,689;303,843;44,435;6,339;2,156;264,905;79,050;;;
Levico Terme;04022104;Comune;1.871,625;;752,464;48,479;221,590;131,709;254,713;70,935;25,099;39,032;398,400;121,410;;;
Livo;04022106;Comune;82,747;;50,662;7,103;31,852;14,213;22,964;7,179;2,530;2,071;29,264;12,060;;;
Lona-Lases;04022108;Comune;106,527;;65,636;4,550;22,941;12,103;39,351;6,169;1,104;3,485;36,942;12,930;;;
Luserna;04022109;Comune;43,236;11,653;25,046;1,435;15,102;4,483;13,350;3,346;0,581;1,650;28,860;3,915;;;
Madruzzo;04022243;Comune;363,955;;224,252;15,544;78,378;41,350;134,450;21,078;3,768;11,906;126,215;43,620;;;
Male;04022110;Comune;305,795;;161,763;6,794;42,870;29,119;53,849;20,848;2,984;6,354;100,051;20,680;;;
Malosco;04022111;Comune;66,971;;41,004;5,748;25,780;11,503;18,586;5,809;2,047;1,676;23,685;6,645;;;
Massimeno;04022112;Comune;13,806;;8,969;6,047;3,569;1,672;3,745;1,198;0,306;0,221;6,756;2,085;;;
Mazzin;04022113;Comune;114,892;;51,501;2,840;42,360;7,130;19,833;6,269;0,862;1,630;53,241;;;;
Mezzana;04022114;Comune;367,528;;118,739;6,545;63,050;27,835;58,448;13,821;2,100;1,495;144,405;13,200;;;
Mezzano;04022115;Comune;194,092;;127,003;12,317;61,293;25,781;100,264;12,403;4,214;0,529;31,154;23,955;;;
Mezzocorona;04022116;Comune;682,309;;420,407;29,142;146,936;77,518;252,053;39,515;7,065;22,321;236,617;82,515;;;
Mezzolombardo;04022117;Comune;881,877;;543,371;37,666;189,913;100,192;325,777;51,073;9,132;28,849;305,825;107,655;;;
Moena;04022118;Comune;714,128;;272,668;7,520;201,050;54,540;95,721;22,369;6,527;9,030;297,961;;;;
Molveno;04022120;Comune;319,825;;197,061;13,661;68,874;36,335;118,147;18,522;3,311;10,463;110,911;16,695;;;
Mori;04022123;Comune;1.057,564;263,316;583,319;45,243;202,652;82,390;376,253;78,339;16,444;10,709;311,250;149,130;;;
Nago-Torbole;04022124;Comune;616,021;;302,741;20,522;122,800;45,481;198,299;29,000;4,137;1,407;172,887;42,225;;;
Nave San Rocco;04022126;Comune;168,555;;103,855;7,199;36,299;19,150;62,266;9,761;1,746;5,514;58,453;21,015;;;
Nogaredo;04022127;Comune;208,258;25,469;126,241;8,872;30,956;17,926;67,952;9,005;2,274;2,414;61,500;31,380;;;
Nomi;04022128;Comune;144,648;18,671;86,150;6,573;14,661;11,435;53,579;5,846;1,577;7,909;40,102;20,250;;;
Novaledo;04022129;Comune;67,131;;52,824;2,885;27,955;13,076;22,640;8,719;2,694;0,358;46,658;16,395;;;
