Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Bresimo;04022026;Comune;24,779;;16,424;1,768;8,067;3,493;7,256;2,441;0,802;0,368;8,198;;;;
Brez;04022027;Comune;76,530;;50,721;5,461;24,914;10,791;22,408;7,539;2,479;1,138;25,320;;;;
Brione;04022028;Comune;13,511;;8,673;0,173;2,411;1,499;5,198;0,770;0,200;0,164;5,111;;;;
Caderzone Terme;04022029;Comune;117,029;;75,122;1,495;20,886;12,982;45,031;6,673;1,732;1,419;44,275;;;;
Cagno;04022030;Comune;33,547;;22,234;2,393;10,921;4,731;9,822;3,304;1,087;0,499;11,099;;;;
Calavino;04022031;Comune;172,558;;98,773;2,755;20,180;14,612;51,419;8,653;2,339;1,530;61,401;;;;
Calceranica al Lago;04022032;Comune;261,399;;147,930;5,047;43,459;32,968;67,116;12,324;5,172;1,503;74,532;;;;
Caldes;04022033;Comune;50,466;;36,887;1,246;9,977;15,251;17,857;4,529;2,091;2,628;30,551;;;;
Caldonazzo;04022034;Comune;548,826;;280,573;3,455;82,636;62,785;130,711;23,390;10,474;2,852;141,357;;;;
Calliano;04022035;Comune;180,937;;83,956;1,417;6,877;10,210;51,964;2,006;1,157;9,430;59,104;;;;
Campitello di Fassa;04022036;Comune;231,231;;98,305;3,290;52,670;29,516;104,709;8,817;1,157;;32,020;;;;
Campodenno;04022037;Comune;144,195;;95,568;10,288;46,943;20,331;42,220;14,204;4,669;2,144;47,707;;;;
Canal San Bovo;04022038;Comune;142,354;;123,791;2,947;72,438;25,457;120,707;10,165;4,137;1,514;0,297;;;;
Canazei;04022039;Comune;660,953;;280,300;5,200;71,700;75,024;288,864;26,779;6,034;4,150;70,970;;;;
Capriana;04022040;Comune;92,010;;49,603;1,147;8,326;9,291;45,263;3,910;1,492;1,377;;;;;
Carano;04022041;Comune;287,294;;154,884;3,582;25,999;29,013;141,330;12,208;4,657;4,300;;;;;
Carisolo;04022042;Comune;221,611;;142,253;2,831;39,551;24,582;85,271;12,636;3,280;2,687;83,840;;;;
Carzano;04022043;Comune;98,468;;26,664;0,742;7,324;7,449;10,127;3,704;1,585;0,576;25,766;;;;
Castel Condino;04022045;Comune;26,278;;16,868;0,336;4,690;2,915;10,112;1,499;0,388;0,319;9,942;;;;
Castelfondo;04022046;Comune;66,523;;44,089;4,747;21,656;9,379;19,478;6,553;2,154;0,989;22,009;;;;
Castello Tesino;04022048;Comune;77,066;;81,618;2,174;29,457;32,738;100,665;10,853;4,594;1,687;;;;;
Castello-Molina di Fiemme;04022047;Comune;387,039;;208,657;4,825;35,026;39,086;190,398;16,448;6,273;5,793;;;;;
Castelnuovo;04022049;Comune;106,905;;64,648;1,495;19,432;19,297;72,854;7,461;3,059;1,160;;;;;
Cavalese;04022050;Comune;813,025;;438,312;10,135;73,578;82,105;399,957;34,551;13,180;12,169;;;;;
Cavareno;04022051;Comune;130,757;;86,662;9,329;42,568;18,437;38,285;12,881;4,234;1,944;43,261;;;;
Cavedago;04022052;Comune;115,870;;44,126;0,730;17,850;13,435;24,878;5,940;0,523;0,920;29,797;;;;
Cavedine;04022053;Comune;341,656;;187,179;2,710;46,550;30,517;114,153;17,193;4,357;3,500;97,573;;;;
Cavizzana;04022054;Comune;13,816;;7,956;0,295;2,256;3,264;3,913;0,970;0,429;0,532;6,985;;;;
Cembra;04022055;Comune;149,510;;116,196;1,885;38,156;25,501;62,775;16,450;2,966;2,788;71,409;;;;
Centa San Nicolo;04022056;Comune;70,117;;47,493;0,669;10,975;9,035;20,292;4,702;1,787;0,578;22,399;;;;
Cimego;04022057;Comune;45,216;;29,025;0,578;8,070;5,016;17,398;2,578;0,670;0,548;17,106;;;;
Cimone;04022058;Comune;51,044;;38,361;0,409;9,359;11,361;28,334;5,735;1,635;1,622;18,670;;;;
Cinte Tesino;04022059;Comune;20,749;;19,943;0,600;8,135;8,527;23,968;2,994;1,247;0,465;;;;;
Cis;04022060;Comune;30,498;;20,213;2,176;9,928;4,300;8,929;3,003;0,989;0,453;10,090;;;;
Civezzano;04022061;Comune;427,656;;284,677;9,067;45,170;41,290;127,512;18,625;8,574;5,834;143,310;;;;
Cles;04022062;Comune;671,989;;445,375;47,946;218,765;94,747;196,757;66,199;21,760;9,990;222,332;;;;
Cloz;04022063;Comune;69,477;;46,048;4,958;22,618;9,795;20,342;6,845;2,250;1,033;22,987;;;;
Comano Terme;04022228;Comune;404,495;;259,648;5,168;72,191;44,868;155,641;23,064;5,986;4,905;153,029;;;;
Commezzadura;04022064;Comune;152,540;;73,795;1,827;39,066;19,831;32,385;9,368;1,789;3,455;56,704;;;;
Condino;04022066;Comune;160,968;;103,326;2,056;28,728;17,855;61,937;9,179;2,383;1,952;60,898;;;;
Croviana;04022068;Comune;71,548;;36,690;1,260;16,010;11,294;18,242;5,688;2,485;2,135;26,277;;;;
Cunevo;04022069;Comune;62,996;;41,752;4,494;20,508;8,882;18,444;6,206;2,039;0,937;20,842;;;;
Daiano;04022070;Comune;115,080;;62,040;1,435;10,414;11,622;56,612;4,892;1,867;1,722;;;;;
Dambel;04022071;Comune;42,410;;28,109;3,025;13,807;5,980;12,417;4,177;1,373;0,630;14,032;;;;
Dare;04022073;Comune;33,513;;21,512;0,428;5,981;3,717;12,896;1,911;0,496;0,406;12,678;;;;
Denno;04022074;Comune;124,753;;82,683;8,901;40,613;17,589;36,528;12,290;4,039;1,855;41,275;;;;
Dimaro;04022075;Comune;401,603;;157,434;2,073;45,764;28,822;77,799;10,953;2,029;4,080;133,248;;;;
Don;04022076;Comune;33,833;;22,423;2,413;11,014;4,770;9,906;3,332;1,095;0,503;11,194;;;;
Drena;04022078;Comune;64,207;;33,730;0,264;10,237;6,667;36,697;2,628;0,570;0,272;;;;;
Dro;04022079;Comune;555,048;;291,587;2,283;88,493;57,634;317,231;22,718;4,930;2,348;;;;;
Faedo;04022080;Comune;49,970;;50,019;0,671;;8,208;26,435;1,641;1,185;1,463;25,234;;;;
Fai della Paganella;04022081;Comune;310,792;;100,144;0,960;37,110;31,107;45,779;8,510;2,036;1,695;59,011;;;;
Faver;04022082;Comune;79,311;;48,667;0,894;18,129;11,382;24,331;7,816;1,326;4,003;12,896;;;;
Fiave;04022083;Comune;126,817;;81,404;1,620;22,633;14,067;48,798;7,231;1,877;1,538;47,977;;;;
Fiera di Primiero;04022084;Comune;55,904;;48,614;1,158;28,447;9,997;47,403;3,992;1,626;0,595;0,117;;;;
Fierozzo;04022085;Comune;54,011;;35,064;0,951;3,819;7,040;14,794;2,182;0,989;0,331;16,714;;;;
Flavon;04022086;Comune;54,419;;36,067;3,882;17,716;7,673;15,934;5,360;1,761;0,809;18,005;;;;
Folgaria;04022087;Comune;588,590;;288,413;5,469;117,166;47,777;135,071;29,485;10,330;9,006;223,950;;;;
Fondo;04022088;Comune;167,354;;110,918;11,940;54,482;23,596;49,001;16,487;5,420;2,488;55,370;;;;
Fornace;04022089;Comune;140,636;;94,765;0,920;14,997;13,711;42,456;6,212;2,919;1,946;45,312;;;;
Frassilongo;04022090;Comune;48,520;;27,970;1,307;4,549;8,021;11,802;2,393;0,940;0,264;13,333;;;;
Garniga Terme;04022091;Comune;37,705;;22,911;0,246;5,691;6,493;13,892;3,613;0,959;0,978;21,765;;;;
Giovo;04022092;Comune;159,673;;124,332;3,970;32,400;32,769;81,238;13,801;4,031;13,906;74,261;;;;
Giustino;04022093;Comune;125,966;;80,859;1,609;22,481;13,972;48,469;7,182;1,865;1,527;47,656;;;;
Grauno;04022094;Comune;12,280;;8,761;0,190;;3,240;4,478;1,476;0,663;0,163;4,834;;;;
Grigno;04022095;Comune;83,108;;117,523;3,206;40,032;35,463;172,479;16,003;6,870;2,487;;;;;
Grumes;04022096;Comune;24,555;;19,815;0,336;8,770;5,347;13,281;3,390;0,842;0,402;18,646;;;;
Imer;04022097;Comune;103,523;;90,023;2,144;52,678;18,512;87,781;7,391;3,009;1,101;0,216;;;;
Isera;04022098;Comune;293,904;;189,292;9,422;49,556;28,507;182,116;16,767;5,909;2,368;;;;;
Ivano-Fracena;04022099;Comune;28,182;;17,815;0,476;4,303;4,800;16,230;2,374;1,007;0,369;;;;;
Lardaro;04022100;Comune;27,342;;17,551;0,349;4,880;3,033;10,520;1,559;0,405;0,332;10,344;;;;
Lasino;04022101;Comune;209,380;29,210;69,311;0,400;44,960;19,439;64,674;12,205;2,020;0,730;;;;;
Lavarone;04022102;Comune;188,727;;136,312;2,085;75,216;27,700;66,805;15,146;5,886;3,490;91,080;;;;
Lavis;04022103;Comune;1.157,231;;845,118;5,680;427,810;106,434;435,694;90,479;28,126;12,678;349,886;;;;
Ledro;04022229;Comune;843,273;;443,002;3,468;134,446;87,562;481,963;34,514;7,489;3,567;;;;;
Levico Terme;04022104;Comune;1.022,994;;702,868;7,362;129,324;88,584;299,768;44,445;13,866;4,802;348,424;;;;
Lisignago;04022105;Comune;40,332;;34,938;0,560;11,364;9,279;31,285;4,900;1,151;0,829;15,119;;;;
Livo;04022106;Comune;83,391;;55,269;5,950;27,148;11,757;24,416;8,215;2,700;1,240;27,590;;;;
Lona-Lases;04022108;Comune;73,974;;48,658;0,650;14,690;10,225;36,258;4,913;2,157;2,725;22,917;;;;
Luserna;04022109;Comune;34,822;;24,005;0,286;12,259;5,227;13,527;1,198;1,927;1,410;41,390;;;;
Male;04022110;Comune;235,880;;169,759;1,370;35,700;34,491;50,173;16,551;2,549;6,684;96,156;;;;
Malosco;04022111;Comune;64,997;;43,078;4,638;21,160;9,165;19,031;6,403;2,105;0,966;21,505;;;;
Massimeno;04022112;Comune;14,788;;9,493;0,189;2,639;1,640;5,690;0,844;0,220;0,179;5,595;;;;
Mazzin;04022113;Comune;104,349;;49,000;0,730;38,520;13,907;54,171;5,501;1,380;2,422;;;;;
Mezzana;04022114;Comune;324,084;;111,501;1,110;42,670;24,882;47,055;9,081;2,752;1,515;114,762;;;;
Mezzano;04022115;Comune;146,706;;127,575;3,038;74,652;26,235;124,398;10,474;4,265;1,560;0,306;;;;
Mezzocorona;04022116;Comune;615,225;;451,790;4,170;180,240;60,554;146,412;32,607;10,937;12,420;390,373;;;;
Mezzolombardo;04022117;Comune;1.038,672;;639,589;6,550;176,460;84,521;340,327;50,523;11,577;14,231;263,515;;;;
Moena;04022118;Comune;610,031;;261,117;4,820;148,750;77,138;279,054;4,620;5,537;7,723;;;;;
Molveno;04022120;Comune;460,521;;151,045;0,820;60,395;34,237;100,049;11,435;2,485;1,872;116,683;;;;
Monclassico;04022121;Comune;99,861;;50,859;1,330;31,750;16,829;21,000;14,612;2,321;1,942;32,530;;;;
Montagne;04022122;Comune;27,023;;17,346;0,345;4,823;2,998;10,398;1,540;0,400;0,328;10,223;;;;
Mori;04022123;Comune;1.044,131;;585,605;7,873;163,710;83,552;337,603;59,984;19,890;8,719;317,910;;;;
Nago-Torbole;04022124;Comune;536,797;;281,998;2,208;85,584;55,738;306,800;21,970;4,768;2,270;;;;;
Nanno;04022125;Comune;56,992;;37,773;4,066;18,554;8,036;16,687;5,615;1,845;0,847;18,856;;;;
Nave San Rocco;04022126;Comune;151,218;;73,392;0,780;24,020;14,507;44,733;11,300;1,842;6,390;45,730;;;;
Nogaredo;04022127;Comune;242,058;;110,535;1,647;37,096;20,226;63,433;11,952;3,512;2,614;63,280;;;;
Nomi;04022128;Comune;148,188;;100,181;1,099;21,225;12,780;48,545;6,796;2,858;8,288;47,270;;;;
Novaledo;04022129;Comune;33,287;;53,382;1,534;13,554;7,938;18,509;7,655;3,169;1,190;30,942;;;;
Ospedaletto;04022130;Comune;31,453;;38,306;1,173;21,086;11,193;56,538;5,858;2,496;0,910;;;;;
Ossana;04022131;Comune;123,756;;60,418;2,840;32,440;25,666;27,781;7,689;3,814;4,141;50,630;;;;
Padergnone;04022132;Comune;85,223;;53,641;1,445;10,580;9,215;38,566;4,538;1,161;2,190;38,600;;;;
Palu del Fersina;04022133;Comune;21,016;;13,776;0,099;6,101;2,797;5,812;1,353;0,526;0,130;6,567;;;;
Panchia ;04022134;Comune;147,378;;79,454;1,837;13,338;14,884;72,501;6,264;2,388;2,206;;;;;
Peio;04022136;Comune;200,996;;152,765;1,200;44,370;46,624;56,059;14,792;4,195;3,517;105,988;;;;
Pellizzano;04022137;Comune;118,119;;57,203;1,310;16,610;17,107;23,728;13,320;2,420;2,946;43,371;;;;
Pelugo;04022138;Comune;45,216;;29,025;0,578;8,070;5,016;17,398;2,578;0,670;0,548;17,106;;;;
Pergine Valsugana;04022139;Comune;3.961,396;;1.507,909;54,840;442,362;261,528;751,814;133,680;53,111;33,004;764,307;;;;
Pieve di Bono;04022140;Comune;138,839;;89,121;1,774;24,779;15,401;53,421;7,916;2,055;1,684;52,525;;;;
Pieve Tesino;04022142;Comune;41,717;;42,436;1,253;17,049;19,183;60,026;6,254;2,555;0,972;;;;;
Pinzolo;04022143;Comune;857,928;;550,709;10,960;153,116;95,166;330,113;48,921;12,697;10,403;324,572;;;;
Pomarolo;04022144;Comune;214,453;;139,745;2,007;42,724;25,054;80,435;15,402;4,747;2,330;67,570;;;;
Pozza di Fassa;04022145;Comune;423,923;;259,912;5,652;68,592;118,170;339,143;9,426;5,625;3,252;;;;;
Predaia;04022230;Comune;712,873;;472,474;50,863;232,076;100,512;208,728;70,226;23,083;10,598;235,859;;;;
Predazzo;04022147;Comune;856,723;;461,869;10,680;77,532;86,518;421,453;36,410;13,888;12,823;;;;;
Preore;04022148;Comune;44,577;;28,615;0,569;7,956;4,945;17,152;2,542;0,660;0,541;16,864;;;;
Prezzo;04022149;Comune;20,427;;13,112;0,261;3,646;2,266;7,859;1,165;0,302;0,248;7,728;;;;
Rabbi;04022150;Comune;123,814;;62,154;2,410;26,770;39,449;37,340;12,570;3,051;4,371;62,285;;;;
Ragoli;04022151;Comune;163,947;;105,239;2,095;29,260;18,186;63,083;9,349;2,426;1,988;62,025;;;;
Revo;04022152;Comune;119,607;;79,272;8,535;38,938;16,864;35,020;11,782;3,873;1,778;39,572;;;;
Riva del Garda;04022153;Comune;2.324,704;;1.221,250;9,561;370,637;241,386;1.328,660;95,150;20,647;9,832;;;;;
Romallo;04022154;Comune;60,327;;39,984;4,304;19,640;8,506;17,663;5,943;1,953;0,897;19,960;;;;
Romeno;04022155;Comune;155,726;;103,212;11,111;50,697;21,957;45,596;15,340;5,042;2,315;51,523;;;;
Roncegno Terme;04022156;Comune;154,452;;147,280;4,511;39,804;24,503;64,990;22,518;9,407;3,500;66,789;;;;
Ronchi Valsugana;04022157;Comune;22,664;;24,039;0,623;17,226;8,365;9,808;3,108;1,357;0,483;19,005;;;;
Roncone;04022158;Comune;180,544;;115,891;2,307;32,222;20,027;69,469;10,295;2,672;2,189;68,303;;;;
Ronzo-Chienis;04022135;Comune;140,816;;64,576;0,914;1,333;7,016;39,963;4,493;2,327;3,910;39,500;;;;
Ronzone;04022159;Comune;78,054;;51,732;5,570;25,410;11,006;22,854;7,689;2,528;1,160;25,824;;;;
Rovere della Luna;04022160;Comune;158,028;;102,551;2,210;36,930;23,606;67,748;13,803;3,641;5,320;58,370;;;;
Rovereto;04022161;Comune;4.898,288;;2.781,827;29,811;661,350;279,494;1.105,254;249,374;71,410;38,676;1.203,490;;;;
Ruffre-Mendola;04022162;Comune;59,851;;39,668;4,270;19,484;8,439;17,524;5,897;1,940;0,890;19,802;;;;
Rumo;04022163;Comune;90,443;;59,944;6,453;29,444;12,752;26,482;8,910;2,929;1,345;29,924;;;;
Sagron Mis;04022164;Comune;19,834;;17,247;0,412;10,093;3,547;16,818;1,417;0,577;0,211;0,041;;;;
Samone;04022165;Comune;35,719;;25,177;0,788;6,644;6,781;22,488;3,934;1,617;0,612;;;;;
San Lorenzo Dorsino;04022231;Comune;209,589;;134,536;2,678;37,406;23,249;80,644;11,951;3,101;2,541;79,292;;;;
San Michele all\'Adige;04022167;Comune;405,182;;348,545;3,522;91,790;38,606;138,822;18,945;4,320;11,390;135,970;;;;
Sant\'Orsola Terme;04022168;Comune;115,251;;78,075;2,261;9,032;15,721;32,951;4,877;2,197;0,740;37,220;;;;
Sanzeno;04022169;Comune;91,777;;60,828;6,548;29,878;12,941;26,872;9,042;2,973;1,364;30,365;;;;
Sarnonico;04022170;Comune;91,968;;60,954;6,562;29,940;12,968;26,928;9,060;2,978;1,367;30,428;;;;
Scurelle;04022171;Comune;315,857;;81,351;2,066;22,373;30,946;91,858;10,312;4,717;1,603;;;;;
Segonzano;04022172;Comune;101,334;;67,085;1,111;19,700;21,258;44,557;11,681;3,243;3,923;45,732;;;;
Sfruz;04022173;Comune;45,365;;30,067;3,237;14,768;6,396;13,283;4,469;1,469;0,674;15,009;;;;
Siror;04022174;Comune;232,571;;202,244;4,815;118,345;41,590;197,206;16,606;6,758;2,473;0,485;;;;
Soraga;04022176;Comune;95,692;;83,505;0,130;26,400;26,239;120,847;1,410;1,443;;;;;;
Sover;04022177;Comune;61,604;;48,647;0,627;11,130;13,547;36,437;6,601;1,898;2,007;29,483;;;;
Spera;04022178;Comune;55,279;;29,023;0,840;9,005;9,748;30,625;4,194;1,734;0,652;;;;;
Spiazzo;04022179;Comune;194,161;;124,633;2,481;34,652;21,537;74,709;11,071;2,876;2,354;73,455;;;;
Spormaggiore;04022180;Comune;147,887;;82,834;1,190;43,740;23,706;52,895;9,230;2,175;0,980;41,670;;;;
Sporminore;04022181;Comune;67,570;;44,784;4,821;21,998;9,527;19,785;6,657;2,187;1,005;22,356;;;;
Stenico;04022182;Comune;160,968;;103,326;2,056;28,728;17,855;61,937;9,179;2,383;1,952;60,898;;;;
Storo;04022183;Comune;501,842;;322,135;6,411;89,565;55,667;193,097;28,616;7,427;6,085;189,857;;;;
Strembo;04022184;Comune;91,921;;59,005;1,174;16,405;10,197;35,369;5,241;1,362;1,115;34,775;;;;
Strigno;04022185;Comune;111,415;;67,808;2,078;17,672;19,030;67,333;10,371;4,266;1,612;;;;;
Tassullo;04022187;Comune;179,458;;118,940;12,804;58,422;25,303;52,544;17,679;5,811;2,668;59,374;;;;
Telve;04022188;Comune;174,355;;98,933;2,924;31,787;24,660;43,564;14,595;5,991;2,268;49,103;;;;
Telve di Sopra;04022189;Comune;28,072;;28,917;0,840;13,402;6,349;14,017;4,193;1,808;0,652;9,770;;;;
Tenna;04022190;Comune;126,780;;74,939;2,804;16,431;14,521;31,189;5,137;1,637;0,518;37,243;;;;
Tenno;04022191;Comune;247,484;;130,013;1,018;39,457;25,698;141,448;10,129;2,198;1,047;;;;;
Terlago;04022192;Comune;227,127;;112,432;1,150;36,327;28,458;76,273;13,481;4,557;4,367;67,917;;;;
Terragnolo;04022193;Comune;37,557;;25,741;0,573;0,268;2,322;15,904;1,061;0,929;1,656;25,020;;;;
Terres;04022194;Comune;31,640;;20,971;2,258;10,301;4,461;9,263;3,117;1,025;0,470;10,469;;;;
Terzolas;04022195;Comune;65,969;;28,921;0,959;7,867;11,800;13,968;3,585;1,592;2,023;23,554;;;;
Tesero;04022196;Comune;542,152;;292,281;6,758;49,064;54,751;266,704;23,040;8,789;8,115;;;;;
Tione di Trento;04022199;Comune;393,111;;252,340;5,022;70,159;43,606;151,261;22,416;5,819;4,767;148,722;;;;
Ton;04022200;Comune;128,469;;85,146;9,167;41,823;18,114;37,615;12,655;4,161;1,910;42,505;;;;
Tonadico;04022201;Comune;178,926;;155,593;3,705;91,048;31,997;151,718;12,776;5,199;1,903;0,373;;;;
Torcegno;04022202;Comune;38,807;;31,809;1,012;15,689;6,427;10,298;5,051;2,075;0,785;24,985;;;;
Trambileno;04022203;Comune;119,514;;70,091;1,114;0,726;7,711;51,016;3,564;1,577;6,140;42,200;;;;
Transacqua;04022204;Comune;227,131;;197,513;4,703;115,577;40,618;192,592;16,219;6,599;2,415;0,474;;;;
Trento;04022205;Comune;15.972,080;;9.545,014;93,676;2.213,599;1.010,542;3.850,512;771,427;199,760;291,375;4.365,500;;;;
Tuenno;04022207;Comune;234,543;;155,449;16,734;76,355;33,069;68,674;23,105;7,597;3,487;77,600;;;;
Valda;04022208;Comune;10,813;;8,834;0,950;1,150;3,811;6,037;1,022;0,430;0,146;4,834;;;;
Valdaone;04022232;Comune;139,370;;89,462;1,781;24,874;15,460;53,627;7,947;2,062;1,690;52,727;;;;
Valfloriana;04022209;Comune;76,132;;41,044;0,949;6,890;7,689;37,452;3,236;1,234;1,139;;;;;
Vallarsa;04022210;Comune;42,939;;66,314;1,100;1,393;7,606;42,027;5,799;1,540;6,240;63,580;;;;
Varena;04022211;Comune;165,835;;89,403;2,067;15,008;16,748;81,580;7,048;2,687;2,482;;;;;
Vattaro;04022212;Comune;130,734;;88,248;1,241;20,350;16,765;37,699;8,718;3,306;1,072;43,872;;;;
Vermiglio;04022213;Comune;253,268;;125,885;3,660;42,020;43,549;66,321;18,118;3,387;5,694;120,709;;;;
Vezzano;04022215;Comune;193,102;;139,727;1,221;38,573;30,201;80,866;14,314;5,272;3,933;76,975;;;;
Vignola-Falesina;04022216;Comune;21,492;;15,141;0,228;4,579;3,606;6,260;1,362;0,522;0,337;7,311;;;;
Vigo di Fassa;04022217;Comune;218,761;;148,738;3,768;45,728;71,351;134,367;5,537;3,667;2,168;;;;;
Vigo Rendena;04022220;Comune;62,771;;40,293;0,802;11,203;6,962;24,153;3,579;0,928;0,761;23,748;;;;
Vigolo Vattaro;04022219;Comune;236,295;;162,189;2,278;38,537;30,772;69,275;15,995;6,244;1,967;80,615;;;;
Villa Agnedo;04022221;Comune;61,740;;49,302;1,392;12,248;13,819;48,271;6,952;2,898;1,080;;;;;
Villa Lagarina;04022222;Comune;370,401;;246,656;3,103;76,898;42,392;128,082;27,689;8,115;7,767;120,690;;;;
Villa Rendena;04022223;Comune;113,518;;72,868;1,450;20,260;12,592;43,679;6,474;1,681;1,377;42,946;;;;
Volano;04022224;Comune;396,149;;189,585;2,716;78,632;43,998;109,348;22,721;7,806;4,280;99,440;;;;
Zambana;04022225;Comune;208,586;;120,037;0,845;22,260;19,977;64,540;15,269;2,693;6,115;46,443;;;;
Ziano di Fiemme;04022226;Comune;330,992;;178,441;4,126;29,954;33,426;162,827;14,067;5,364;4,954;;;;;
Zuclo;04022227;Comune;40,641;;26,087;0,519;7,253;4,508;15,638;2,317;0,602;0,493;15,375;;;;


			



