Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Ala;04022001;Comune;919,995;;486,672;7,087;8,006;88,343;325,844;11,566;9,771;43,740;280,460;;;;
Albiano;04022002;Comune;129,601;;76,909;1,110;25,011;15,322;41,279;8,362;3,789;3,015;37,101;;;;
Aldeno;04022003;Comune;349,376;;155,864;2,430;71,940;40,062;112,600;25,735;5,041;9,320;108,189;;;;
Amblar;04022004;Comune;28,210;;18,697;2,013;9,184;3,978;8,260;2,780;0,913;0,419;9,333;;;;
Andalo;04022005;Comune;681,730;;257,591;1,278;94,065;49,440;126,709;17,816;3,206;2,638;185,836;;;;
Arco;04022006;Comune;2.112,637;;1.109,844;8,689;336,826;219,366;1.207,454;86,469;18,764;8,935;;;;;
Avio;04022007;Comune;409,363;;231,749;3,430;71,807;49,109;152,383;29,330;12,437;16,690;138,780;;;;
Baselga di Pine;04022009;Comune;690,766;;430,198;14,734;107,299;95,597;184,527;33,618;13,082;7,182;212,186;;;;
Bedollo;04022011;Comune;195,719;;118,391;1,977;35,004;34,618;50,785;12,107;4,023;1,978;58,396;;;;
Besenello;04022013;Comune;256,281;;127,324;2,253;56,180;28,665;79,174;16,444;5,023;6,390;76,296;;;;
Bieno;04022015;Comune;31,390;;25,291;0,676;5,027;6,811;30,884;3,373;1,422;0,524;;;;;
Bleggio Superiore;04022017;Comune;190,119;;122,038;2,429;33,931;21,089;73,154;10,841;2,813;2,305;71,926;;;;
Bocenago;04022018;Comune;55,536;;35,648;0,709;9,912;6,160;21,369;3,167;0,823;0,673;21,010;;;;
Bolbeno;04022019;Comune;37,768;;24,244;0,483;6,741;4,189;14,532;2,154;0,558;0,458;14,289;;;;
Bondo;04022020;Comune;78,941;;50,673;1,009;14,089;8,757;30,374;4,501;1,168;0,957;29,865;;;;
Bondone;04022021;Comune;75,856;;48,693;0,969;13,538;8,414;29,188;4,325;1,122;0,920;28,698;;;;
Borgo Valsugana;04022022;Comune;870,773;;414,607;10,019;76,711;99,512;420,630;50,014;20,570;7,773;;;;;
Bosentino;04022023;Comune;86,592;;60,076;0,842;13,796;11,377;25,655;5,910;2,249;0,727;28,332;;;;
Breguzzo;04022024;Comune;75,644;;48,555;0,966;13,500;8,391;29,107;4,313;1,119;0,917;28,617;;;;
Brentonico;04022025;Comune;447,330;;273,026;3,719;107,687;53,319;154,377;30,950;10,562;19,140;183,120;;;;
