Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Borgo Valsugana;04022022;Comune;474,196;121,939;375,232;24,391;170,048;99,592;193,518;60,957;19,679;1,580;262,308;195,058;233,865;;
Brentonico;04022025;Comune;490,602;136,624;282,890;22,832;148,952;59,494;189,455;32,899;9,542;8,140;214,750;129,740;;;
Bresimo;04022026;Comune;26,989;;18,419;2,308;11,170;4,509;7,610;2,385;0,889;0,932;9,432;3,810;;;
Brez;04022027;Comune;80,469;;54,918;6,883;33,305;13,442;22,690;7,112;2,643;2,780;28,121;;;;
Caderzone Terme;04022029;Comune;92,442;;61,578;18,689;25,310;11,863;24,360;8,250;2,333;1,450;45,730;10,260;;;
Cagno;04022030;Comune;33,637;;22,956;2,877;13,922;5,618;9,485;2,973;1,109;1,162;11,755;;;;
Calceranica al Lago;04022032;Comune;366,150;;158,529;14,560;44,620;29,306;60,485;14,280;4,500;9,190;89,190;89,365;33,530;;
Caldes;04022033;Comune;51,785;;39,131;3,561;21,135;17,797;19,959;6,458;2,474;2,122;38,468;12,244;;;
Caldonazzo;04022034;Comune;697,540;;301,533;15,141;95,210;55,914;116,123;27,180;9,080;17,480;175,610;83,093;40,430;;
Calliano;04022035;Comune;220,377;53,966;97,170;8,830;11,314;14,396;80,791;2,721;1,679;13,052;67,470;44,828;;;
Campitello di Fassa;04022036;Comune;254,365;103,750;132,911;11,187;102,400;34,469;134,660;10,808;1,434;;50,600;;71,750;;
Campodenno;04022037;Comune;152,406;;104,013;13,036;63,079;25,457;42,975;13,469;5,027;5,265;53,260;22,785;;;
Canal San Bovo;04022038;Comune;178,366;;124,881;11,259;60,244;28,345;82,771;12,034;4,562;3,379;47,287;22,155;;;
Canazei;04022039;Comune;790,412;;322,714;32,828;160,700;103,761;330,744;27,175;7,051;4,920;92,420;;153,214;;
Capriana;04022040;Comune;103,392;;46,977;36,462;12,097;6,419;16,465;4,722;1,913;1,655;25,394;16,058;;;
Carano;04022041;Comune;319,394;;145,121;112,635;37,368;19,830;50,863;14,586;5,910;5,114;78,445;16,005;;;
Carisolo;04022042;Comune;188,074;;125,283;38,027;51,493;24,136;49,560;16,783;4,746;2,951;93,039;14,385;;;
Carzano;04022043;Comune;35,542;;28,124;1,828;12,745;7,463;14,504;4,569;1,475;0,118;19,660;7,317;;;
Castel Condino;04022045;Comune;22,069;;14,700;4,462;6,042;2,832;5,816;1,969;0,557;0,346;10,918;3,315;;;
Castel Ivano;04022240;Comune;223,613;;176,945;11,502;80,188;46,955;91,256;28,746;9,280;0,745;123,694;91,982;;;
Castelfondo;04022046;Comune;67,372;;45,979;5,763;27,885;11,254;18,997;5,954;2,224;2,328;23,543;;;;
Castello Tesino;04022048;Comune;99,650;;78,852;5,126;35,734;20,925;40,667;12,810;4,137;0,332;55,122;17,730;;;
Castello-Molina di Fiemme;04022047;Comune;445,063;;202,220;156,953;52,070;27,632;70,876;20,325;8,235;7,126;109,309;69,128;;;
Castelnuovo;04022049;Comune;71,084;;56,248;3,656;25,490;14,926;29,009;9,138;2,951;0,237;39,320;14,635;;;
Cavalese;04022050;Comune;935,446;;425,030;329,888;109,443;58,078;148,968;42,718;17,315;14,978;229,749;61,680;141,716;;
Cavareno;04022051;Comune;141,491;;96,564;12,103;58,562;23,635;39,898;12,505;4,666;4,888;49,446;16,605;;;
Cavedago;04022052;Comune;82,577;;49,343;3,507;18,611;10,264;31,068;4,940;1,239;3,828;29,211;8,130;;;
Cavedine;04022053;Comune;378,753;;226,320;16,086;85,365;47,078;142,494;22,657;5,681;17,556;133,981;45,240;;;
Cavizzana;04022054;Comune;11,611;;8,775;0,790;4,689;3,979;4,399;1,448;0,576;0,472;7,529;2,778;;;
Cembra Lisignago;04022241;Comune;296,176;;176,978;12,580;66,754;36,813;111,427;17,718;4,443;13,728;104,770;91,385;;;
Cimone;04022058;Comune;86,737;;51,829;3,684;19,549;10,781;32,632;5,187;1,301;4,020;30,682;10,410;;;
Cinte Tesino;04022059;Comune;27,968;;22,131;1,439;10,029;5,873;11,414;3,595;1,161;0,093;15,471;5,280;;;
Cis;04022060;Comune;32,446;;22,144;2,776;13,429;5,420;9,149;2,868;1,071;1,121;11,338;4,575;;;
Civezzano;04022061;Comune;614,500;;286,432;23,978;52,160;32,386;93,744;22,270;9,720;12,980;161,080;69,279;98,010;;
Cles;04022062;Comune;704,281;;480,653;60,244;291,494;117,643;198,591;62,244;23,230;24,332;246,119;105,465;;;
Cloz;04022063;Comune;68,166;;46,522;5,831;28,213;11,386;19,221;6,024;2,249;2,355;23,821;;;;
Comano Terme;04022228;Comune;335,556;;223,524;67,844;91,872;43,062;88,424;29,945;8,470;5,265;165,997;44,010;;;
Commezzadura;04022064;Comune;144,632;;86,955;6,697;68,826;31,052;49,920;12,111;2,099;1,975;79,539;14,940;;;
Conta\';04022242;Comune;146,056;;99,679;12,494;60,451;24,397;41,185;12,908;4,816;5,046;51,041;20,820;;;
Croviana;04022068;Comune;67,902;;45,858;2,980;26,881;15,671;23,390;6,944;2,305;1,905;23,949;27,427;;;
Daiano;04022070;Comune;135,501;;61,566;47,784;15,853;8,412;21,578;6,187;2,507;2,170;33,279;9,900;;;
Dambel;04022071;Comune;43,856;;29,931;3,751;18,152;7,326;12,366;3,876;1,446;1,515;15,326;9,700;;;
Denno;04022074;Comune;125,517;;85,662;10,737;51,950;20,967;35,393;11,094;4,140;4,336;43,863;18,600;;;
Dimaro Folgarida;04022233;Comune;508,912;;224,565;14,503;141,264;52,630;122,603;29,274;4,632;3,640;199,404;31,650;;;
Drena;04022078;Comune;81,908;;37,801;2,470;17,420;5,638;23,231;3,591;0,870;0,130;24,748;8,775;;;
Dro;04022079;Comune;703,596;;324,713;21,218;149,637;48,432;199,560;30,851;7,475;1,115;212,584;76,755;;;
Faedo;04022080;Comune;86,124;;51,463;3,658;19,411;10,705;32,401;5,151;1,292;3,992;30,466;10,860;;;
Fai della Paganella;04022081;Comune;195,494;;116,815;8,304;44,061;24,299;73,548;11,695;2,933;9,062;69,154;13,680;;;
Fiave;04022083;Comune;101,748;;67,779;20,569;27,858;13,057;26,812;9,080;2,568;1,596;50,334;16,125;;;
Fierozzo;04022085;Comune;74,450;;34,284;1,722;7,870;15,338;9,566;2,760;1,480;1,340;20,000;9,029;22,520;;
Folgaria;04022087;Comune;562,370;167,372;321,145;19,915;159,709;71,727;163,097;36,854;6,497;11,720;246,980;128,849;;;
Fondo;04022088;Comune;178,104;;121,551;15,235;73,715;29,750;50,222;15,741;5,292;6,153;62,241;;;;
Fornace;04022089;Comune;199,950;;93,161;4,286;16,970;10,539;30,504;7,250;3,280;4,230;52,380;21,952;17,230;;
Frassilongo;04022090;Comune;62,550;;28,791;3,101;3,740;8,987;8,050;2,560;1,150;1,130;16,810;7,818;13,090;;
Garniga Terme;04022091;Comune;53,216;;31,798;2,260;11,994;6,614;20,022;3,183;0,799;2,467;18,825;6,000;;;
Giovo;04022092;Comune;313,670;;187,430;13,322;70,696;38,987;118,009;18,764;4,706;14,539;110,958;37,785;;;
Giustino;04022093;Comune;105,826;;70,493;21,393;28,974;13,581;27,887;9,444;2,671;1,660;52,351;11,130;;;
Grigno;04022095;Comune;143,031;;113,178;7,358;51,291;30,034;58,369;18,387;5,937;0,477;79,119;58,834;;;
Imer;04022097;Comune;135,588;;94,932;8,560;45,795;21,547;62,919;9,149;3,467;2,568;35,946;17,595;;;
Isera;04022098;Comune;335,036;47,476;198,691;14,226;62,452;34,413;203,195;17,232;5,057;3,120;;41,475;;;
Lavarone;04022102;Comune;197,508;112,265;130,991;16,982;124,763;35,796;89,190;22,076;3,799;3,130;85,260;72,866;126,640;;
Lavis;04022103;Comune;1.127,210;;673,552;47,876;254,053;140,108;424,071;67,434;16,899;52,249;398,740;136,695;;;
Ledro;04022229;Comune;1.011,739;;466,923;30,510;215,172;69,642;286,960;44,363;10,750;1,603;305,687;79,110;;;
Levico Terme;04022104;Comune;1.598,000;;719,718;23,028;162,210;77,922;192,322;48,250;13,070;21,540;404,520;233,036;150,560;;
Livo;04022106;Comune;80,965;;55,257;6,926;33,511;13,525;22,831;7,156;2,670;2,797;28,294;29,923;;;
Lona-Lases;04022108;Comune;109,002;;65,133;4,629;24,567;13,548;41,008;6,520;1,635;5,052;38,558;33,882;;;
Luserna;04022109;Comune;49,605;;30,215;1,350;12,534;5,390;12,794;3,512;0,453;1,540;35,220;30,667;;;
Madruzzo;04022243;Comune;362,605;;216,671;15,401;81,726;45,070;136,418;21,691;5,438;16,808;128,268;43,530;;;
Male;04022110;Comune;295,200;38,578;155,545;6,360;54,089;38,817;56,908;22,313;3,310;4,532;102,417;56,068;;;
Malosco;04022111;Comune;65,388;;44,626;5,593;27,063;10,923;18,437;5,779;2,156;2,259;22,850;6,825;;;
Massimeno;04022112;Comune;14,358;;9,565;2,903;3,931;1,842;3,784;1,281;0,360;0,225;7,103;2,115;;;
Mazzin;04022113;Comune;109,950;;53,125;5,501;32,279;13,816;53,559;5,186;2,117;1,860;;;2,016;;
Mezzana;04022114;Comune;347,862;;138,569;7,393;53,380;33,070;66,924;11,162;2,254;1,772;154,907;70,172;;;
Mezzano;04022115;Comune;189,628;;132,768;11,971;64,048;30,135;87,997;12,795;4,850;3,592;50,273;81,673;;;
Mezzocorona;04022116;Comune;685,083;;409,365;29,097;154,406;85,153;257,741;40,982;10,274;31,755;242,342;108,775;;;
Mezzolombardo;04022117;Comune;896,358;;535,610;38,070;202,025;111,413;337,226;53,622;13,444;41,548;317,079;109,665;;;
Moena;04022118;Comune;649,749;;305,761;29,004;184,370;91,868;315,361;17,961;6,780;10,060;;;66,730;;
Molveno;04022120;Comune;322,846;;192,913;13,712;72,764;40,128;121,460;19,313;4,843;14,965;114,204;16,665;;;
Mori;04022123;Comune;1.045,896;249,082;597,828;43,877;236,633;89,788;376,031;72,245;18,279;23,550;297,430;149,895;;;
Nago-Torbole;04022124;Comune;660,797;;304,962;19,927;140,535;45,485;187,422;28,975;7,022;1,047;199,653;151,989;;;
Nogaredo;04022127;Comune;194,574;32,067;121,913;8,547;32,873;17,314;74,496;8,635;2,627;3,365;67,730;31,020;;;
Nomi;04022128;Comune;141,331;17,506;93,412;6,173;14,645;10,903;55,922;4,873;1,697;8,546;48,760;38,006;;;
Novaledo;04022129;Comune;74,140;;58,667;3,814;26,586;15,568;30,256;9,530;3,078;0,247;41,011;96,413;;;
Ospedaletto;04022130;Comune;52,947;;41,897;2,723;18,987;11,117;21,607;6,807;2,199;0,176;29,288;5,191;;;
Ossana;04022131;Comune;194,360;;56,610;3,936;40,400;25,182;33,249;9,514;3,317;3,774;55,522;1,585;;;
Palu del Fersina;04022133;Comune;27,570;;12,694;0,570;12,360;7,515;3,540;0,910;0,510;0,500;7,410;5,813;14,900;;
Panchia ;04022134;Comune;171,450;;77,900;60,464;20,059;10,645;27,303;7,830;3,172;2,745;42,109;12,405;;;
Peio;04022136;Comune;197,144;;143,515;7,146;65,120;41,547;63,699;17,917;4,671;2,784;115,255;18,689;;;
Pellizzano;04022137;Comune;90,828;;65,537;7,010;24,670;26,033;12,817;13,197;2,645;2,809;53,149;33,957;;;
Pelugo;04022138;Comune;39,263;;26,155;7,938;10,750;5,038;10,345;3,504;0,991;0,616;19,424;6,030;;;
Pergine Valsugana;04022139;Comune;3.284,790;;1.581,931;152,729;668,890;274,556;625,587;162,210;68,333;118,990;827,260;766,142;394,600;;
Pieve Di Bono-Prezzo;04022234;Comune;130,376;;86,848;26,357;35,696;16,731;34,356;11,634;3,289;2,046;64,496;21,645;;;
Pieve Tesino;04022142;Comune;57,864;;45,787;2,976;20,750;12,151;23,613;7,439;2,403;0,193;32,008;9,555;;;
Pinzolo;04022143;Comune;757,617;;504,675;153,185;207,425;97,226;199,644;67,608;19,128;11,887;374,781;45,615;;;
Pomarolo;04022144;Comune;196,329;43,674;139,089;10,829;38,902;21,686;95,164;12,346;3,843;4,076;76,350;37,020;;;
Porte Di Rendena;04022244;Comune;166,980;;111,232;33,764;45,718;21,428;44,001;14,902;4,216;2,620;82,604;26,880;;;
Predaia;04022230;Comune;746,550;;509,496;63,859;308,989;124,701;210,508;65,983;24,629;25,795;260,891;100,020;;;
Predazzo;04022147;Comune;996,743;;452,882;351,506;116,612;61,884;158,730;45,517;18,450;15,960;244,804;67,920;;;
Primiero San Martino Di Castrozza;04022245;Comune;917,494;;642,380;57,918;309,888;145,805;425,765;61,909;23,492;17,380;243,241;80,445;;;
Rabbi;04022150;Comune;112,778;;67,441;6,547;26,400;39,908;38,794;12,433;4,030;3,752;65,891;78,944;;;
Revo;04022152;Comune;128,195;;87,489;10,965;53,059;21,414;36,149;11,329;4,209;4,429;44,800;;;;
Riva del Garda;04022153;Comune;2.958,840;392,383;1.365,522;89,227;629,272;203,669;839,214;129,738;31,438;4,686;893,985;264,030;344,450;;
Romallo;04022154;Comune;62,709;;42,797;5,365;25,954;10,475;17,682;5,543;2,069;2,167;21,914;;;;
Romeno;04022155;Comune;164,808;;112,478;14,097;68,212;27,530;46,473;14,565;5,437;5,694;57,594;21,120;;;
Roncegno Terme;04022156;Comune;211,988;;167,746;10,904;76,019;44,513;86,512;27,251;8,798;0,707;117,263;87,244;;;
Ronchi Valsugana;04022157;Comune;31,356;;24,811;1,613;11,244;6,585;12,796;4,031;1,301;0,105;17,345;12,898;;;
Ronzo-Chienis;04022135;Comune;172,089;49,422;67,970;5,268;1,984;7,124;49,141;5,936;2,187;6,540;67,310;;;;
Ronzone;04022159;Comune;81,065;;55,325;6,935;33,552;13,541;22,859;7,164;2,674;2,801;28,329;6,570;;;
Rovere della Luna;04022160;Comune;202,466;;120,981;8,599;45,633;25,165;76,172;12,112;3,036;9,385;71,621;24,675;;;
Rovereto;04022161;Comune;5.482,274;;2.749,051;1.452,214;937,518;1.324,269;200,580;305,617;74,572;132,470;1.436,080;604,275;0,562;;
Ruffre-Mendola;04022162;Comune;62,213;;42,459;5,321;25,749;10,392;17,543;5,499;2,052;2,149;21,741;6,105;;;
Rumo;04022163;Comune;94,063;;64,195;8,046;38,932;15,712;26,523;8,314;3,103;3,250;32,871;12,150;;;
Sagron Mis;04022164;Comune;23,284;;16,300;1,470;7,865;3,700;10,804;1,572;0,595;0,441;6,173;2,700;;;
Samone;04022165;Comune;37,535;;29,701;1,931;13,460;7,881;15,317;4,825;1,559;0,125;20,763;15,448;;;
San Lorenzo Dorsino;04022231;Comune;175,755;;117,076;35,537;48,120;22,554;46,313;15,684;4,436;2,758;86,944;23,520;;;
San Michele all\'Adige;04022167;Comune;400,529;;239,332;17,011;90,273;49,784;150,686;23,959;6,004;18,566;141,684;47,700;;;
Sant\'Orsola Terme;04022168;Comune;170,080;;78,325;7,324;10,160;15,179;21,781;5,620;3,040;3,070;45,700;37,921;24,440;;
Sanzeno;04022169;Comune;95,353;;65,076;8,157;39,466;15,927;26,887;8,428;3,145;3,294;33,322;13,680;;;
Sarnonico;04022170;Comune;100,314;;68,461;8,581;41,519;16,756;28,286;8,865;3,308;3,466;35,055;11,940;;;
Scurelle;04022171;Comune;94,667;;74,910;4,870;33,948;19,878;38,633;12,170;3,930;0,316;52,366;38,959;;;
Segonzano;04022172;Comune;189,132;;113,014;8,034;42,627;23,508;71,155;11,315;2,837;8,767;66,904;21,330;;;
Sella Giudicarie;04022246;Comune;298,243;;198,669;60,305;81,656;38,273;78,592;26,614;7,526;4,679;147,538;64,214;;;
Sen Jan di Fassa-San Giovanni di Fassa;04022250;Comune;831,859;;487,016;45,450;204,511;210,477;527,253;38,829;11,253;7,790;;;;;
Sfruz;04022173;Comune;51,695;;35,280;4,422;21,396;8,635;14,577;4,569;1,705;1,786;18,065;5,580;;;
Soraga;04022176;Comune;115,085;35,990;87,278;11,392;29,600;22,118;137,878;7,420;1,505;0,930;;;;;
Sover;04022177;Comune;105,699;;63,158;4,489;23,823;13,137;39,766;6,323;1,585;4,899;37,390;12,030;;;
Spiazzo;04022179;Comune;160,512;;106,921;32,452;43,946;20,599;42,296;14,323;4,052;2,518;79,403;18,780;;;
Spormaggiore;04022180;Comune;167,478;;100,075;7,113;37,747;20,817;63,009;10,019;2,513;7,763;59,244;19,140;;;
Sporminore;04022181;Comune;71,242;;48,621;6,094;29,486;11,900;20,089;6,296;2,349;2,461;24,896;10,500;;;
Stenico;04022182;Comune;138,175;;92,043;27,933;37,831;17,732;36,411;12,330;3,489;2,168;68,354;47,825;;;
Storo;04022183;Comune;410,095;;273,177;82,919;112,280;52,628;108,065;36,596;10,351;6,434;202,870;68,685;;;
Strembo;04022184;Comune;55,838;;37,195;11,288;15,288;7,166;14,713;4,984;1,410;0,876;27,623;20,902;;;
Telve;04022188;Comune;131,339;;103,926;6,756;47,098;27,579;53,598;16,883;5,452;0,438;72,651;54,026;;;
Telve di Sopra;04022189;Comune;39,926;;31,593;2,054;14,318;8,384;16,293;5,133;1,658;0,133;22,086;16,424;;;
Tenna;04022190;Comune;166,160;;74,839;5,696;11,740;8,114;20,012;5,030;1,460;2,240;42,060;25,313;24,990;;
Tenno;04022191;Comune;300,374;;138,624;9,058;63,882;20,676;85,195;13,170;3,191;0,476;90,755;30,180;;;
Terragnolo;04022193;Comune;42,479;14,849;22,395;2,198;0,114;2,880;20,120;3,886;0,525;2,120;39,240;;16,200;;
Terre d\'Adige;04022251;Comune;374,961;;224,054;15,925;84,510;46,606;141,068;22,430;5,625;17,380;132,639;45,825;;;
Terzolas;04022195;Comune;66,729;;30,148;2,628;16,516;13,949;15,478;4,970;1,999;1,596;25,831;10,658;;;
Tesero;04022196;Comune;638,328;;290,032;225,108;74,681;39,632;101,653;29,150;11,814;10,221;156,776;44,985;;;
Tione di Trento;04022199;Comune;331,036;;220,514;66,934;90,634;42,482;87,232;29,540;8,355;5,194;163,761;54,900;38,469;;
Ton;04022200;Comune;131,172;;89,522;11,220;54,291;21,911;36,988;11,594;4,328;4,532;45,839;19,650;;;
Torcegno;04022202;Comune;46,370;;36,692;2,385;16,628;9,737;18,924;5,960;1,926;0,155;25,650;19,074;;;
Trambileno;04022203;Comune;109,815;29,964;68,542;5,657;0,177;7,525;52,791;5,921;1,174;8,670;55,230;;71,820;;
Tre Ville;04022247;Comune;202,699;;135,024;40,988;55,497;26,012;53,413;18,089;5,116;3,180;100,273;20,925;;;
Trento;04022205;Comune;17.694,832;;9.336,368;499,941;2.419,263;1.204,929;4.051,776;793,299;201,817;447,920;4.743,500;4.290,605;1.100,790;;
Valdaone;04022232;Comune;112,029;;74,627;22,647;30,673;14,376;29,520;9,997;2,827;1,758;55,420;17,250;;;
Valfloriana;04022209;Comune;81,577;;37,066;28,767;9,544;5,064;12,991;3,725;1,510;1,306;20,036;12,670;;;
Vallarsa;04022210;Comune;51,066;48,938;62,591;4,618;0,251;6,301;41,965;10,069;1,375;8,630;80,160;;;;
Vallelaghi;04022248;Comune;641,409;;383,268;27,242;144,563;79,725;241,310;38,370;9,620;29,731;226,893;76,545;;;
Varena;04022211;Comune;186,506;;84,741;65,770;21,821;11,579;29,700;8,518;3,452;2,986;45,806;12,630;;;
Vermiglio;04022213;Comune;306,297;;138,471;11,790;68,070;48,592;87,214;16,908;3,627;4,317;131,949;93,066;;;
Vignola-Falesina;04022216;Comune;37,900;;18,253;1,025;6,020;3,148;6,834;1,880;0,770;1,380;9,540;7,615;13,330;;
Villa d\'Anaunia;04022249;Comune;483,313;;329,848;41,342;200,038;80,732;136,284;42,715;15,942;16,698;168,899;72,015;;;
Villa Lagarina;04022222;Comune;432,296;118,786;211,046;16,116;115,467;43,503;128,300;35,157;9,624;13,303;129,740;57,015;;;
Volano;04022224;Comune;401,843;105,882;190,141;17,041;94,771;50,375;141,666;33,302;9,152;10,630;105,570;205,175;;;
Ziano di Fiemme;04022226;Comune;386,530;;175,624;136,311;45,222;23,999;61,554;17,651;7,156;6,189;94,933;26,550;;;


			



