Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Ala;04022001;Comune;927,454;187,177;478,616;49,206;175,911;99,875;380,137;54,689;15,826;26,490;306,390;132,120;;;
Albiano;04022002;Comune;182,526;;109,066;7,753;41,139;22,687;68,669;10,919;2,737;8,461;64,567;22,275;;;
Aldeno;04022003;Comune;385,971;;230,633;16,393;86,991;47,975;145,209;23,090;5,789;17,891;136,534;53,023;;;
Altavalle;04022235;Comune;214,211;;127,999;9,098;48,280;26,625;80,590;12,815;3,214;9,929;75,775;24,150;;;
Altopiano Della Vigolana;04022236;Comune;791,770;;369,207;17,166;93,740;67,767;126,059;40,370;15,200;17,120;204,060;177,196;;;
Amblar-Don;04022237;Comune;65,685;;44,829;5,619;27,186;10,972;18,522;5,805;2,165;2,269;22,954;8,115;;;
Andalo;04022005;Comune;512,467;;306,219;21,765;115,502;63,697;192,799;30,656;7,687;23,754;181,281;16,860;;;
Arco;04022006;Comune;2.653,066;;1.224,405;80,005;564,242;182,621;752,489;116,332;28,189;4,203;801,598;268,905;;;
Avio;04022007;Comune;498,450;130,609;208,181;16,808;114,272;59,317;124,093;38,502;8,491;13,490;137,680;125,495;33,600;;
Baselga di Pine;04022009;Comune;993,140;;440,069;40,714;135,180;96,381;147,626;41,280;16,310;19,280;243,840;97,958;29,770;;
Bedollo;04022011;Comune;273,780;;121,409;6,994;45,530;33,916;40,761;13,500;4,620;5,310;67,220;26,186;79,570;;
Besenello;04022013;Comune;243,511;78,651;162,326;12,343;86,897;37,906;99,516;23,399;5,652;9,398;97,740;40,635;;;
Bieno;04022015;Comune;34,014;;26,915;1,749;12,197;7,142;13,881;4,373;1,411;0,113;18,815;6,465;;;
Bleggio Superiore;04022017;Comune;155,901;;103,851;31,521;42,684;20,007;41,082;13,912;3,935;2,446;77,123;23,025;;;
Bocenago;04022018;Comune;47,417;;31,586;9,586;12,982;6,086;12,494;4,232;1,196;0,744;23,457;5,790;;;
Bondone;04022021;Comune;63,105;;42,036;12,757;17,278;8,098;16,629;5,632;1,593;0,990;31,218;9,855;;;
Borgo Chiese;04022238;Comune;180,629;;120,323;36,524;49,455;23,180;47,599;16,119;4,559;2,834;89,356;29,910;;;
Borgo Lares;04022239;Comune;66,207;;44,103;13,385;18,127;8,497;17,447;5,908;1,670;1,039;32,753;10,680;;;
