Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2017 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;199,000;53,780;66,380;6,860;50,300;22,480;39,610;10,482;7,288;5,305;88,280;24,840;;;
Andriano;04021002;Comune;56,770;67,930;65,650;;91,610;38,460;34,630;2,056;2,969;0,351;31,410;15,360;;;
Anterivo;04021003;Comune;23,640;11,550;14,370;0,480;;7,680;8,660;1,776;0,973;1,803;21,250;5,925;;;
Appiano sulla strada del vino;04021004;Comune;2.375,790;119,930;974,303;11,970;320,220;227,670;264,680;111,425;27,567;69,880;578,600;224,115;339,760;;
Avelengo;04021005;Comune;227,310;25,840;79,956;0,800;22,600;17,940;7,261;11,511;9,005;2,741;97,763;11,550;7,640;;
Badia;04021006;Comune;939,800;19,760;383,325;16,973;42,703;86,809;63,260;29,811;24,926;18,894;485,092;60,645;;;
Barbiano;04021007;Comune;70,670;7,810;68,290;1,500;;14,230;5,710;3,156;6,499;0,925;94,590;;;;
Bolzano;04021008;Comune;13.223,260;30,100;9.398,335;68,110;2.529,370;930,500;2.118,060;571,295;229,842;485,160;4.695,830;927,440;570,884;;
Braies;04021009;Comune;108,960;1,200;57,636;2,930;0,300;13,965;19,139;4,192;5,495;1,814;43,559;10,700;;;
Brennero;04021010;Comune;120,490;37,140;242,210;0,470;32,540;19,330;46,210;5,813;7,279;20,170;150,490;;;;
Bressanone;04021011;Comune;2.572,606;;2.276,255;20,201;612,040;260,145;182,734;189,444;87,408;227,980;932,237;295,136;494,200;;
Bronzolo;04021012;Comune;234,090;17,920;95,058;2,367;68,380;21,729;66,332;14,855;6,209;25,961;69,334;41,970;37,060;;
Brunico;04021013;Comune;2.738,565;290,675;1.577,539;15,272;409,410;173,249;210,505;105,113;81,328;186,340;708,926;269,300;518,980;;
Caines;04021014;Comune;28,623;11,568;17,794;0,288;11,803;7,233;1,786;2,074;1,624;0,127;14,170;5,925;;;
Caldaro sulla strada del vino;04021015;Comune;713,837;220,240;553,260;27,730;202,695;140,020;176,980;57,129;50,133;43,870;478,140;120,690;70,410;;
Campo di Trens;04021016;Comune;241,270;;159,080;0,850;;28,930;32,650;10,224;9,305;18,294;78,140;28,740;;;
Campo Tures;04021017;Comune;610,180;50,240;487,099;18,669;103,330;77,571;168,431;54,509;28,012;48,065;263,370;56,550;42,760;;
Castelbello-Ciardes;04021018;Comune;389,760;29,400;265,502;1,714;42,490;44,935;9,435;9,775;5,646;13,360;112,335;0,020;;;
Castelrotto;04021019;Comune;1.074,734;118,235;546,625;4,883;89,401;123,269;154,041;54,174;12,783;16,037;436,801;55,180;;;
Cermes;04021020;Comune;179,673;23,699;82,649;;29,436;17,193;6,020;7,749;5,856;2,652;71,993;13,147;41,790;;
Chienes;04021021;Comune;370,910;140,120;199,617;4,321;0,320;31,442;23,782;5,691;9,821;13,440;113,444;4,720;;;
