Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Ala;04022001;Comune;913,850;52,000;509,947;10,980;197,220;98,974;453,679;56,342;15,832;29,900;342,340;131,625;;;
Albiano;04022002;Comune;177,644;10,989;112,355;8,009;52,033;24,739;72,540;12,730;2,767;8,175;69,851;22,440;14,853;;
Aldeno;04022003;Comune;376,705;23,304;238,254;16,984;110,339;52,459;153,818;26,997;5,863;17,336;148,122;47,835;31,497;;
Altavalle;04022235;Comune;203,390;12,583;128,638;9,170;59,575;28,324;83,054;14,577;3,166;9,360;79,974;24,390;17,005;;
Altopiano Della Vigolana;04022236;Comune;839,961;28,188;372,284;26,011;119,533;67,901;138,617;38,860;14,076;20,191;232,147;76,950;176,242;;
Amblar-Don;04022237;Comune;65,282;;45,875;2,159;30,965;13,446;19,256;6,590;2,644;2,200;25,668;8,220;;;
Andalo;04022005;Comune;410,526;25,397;259,645;18,509;120,246;57,170;167,632;29,422;6,393;18,892;161,421;19,020;34,324;;
Arco;04022006;Comune;2.397,027;;1.311,939;97,757;608,579;192,124;737,078;241,938;27,711;15,582;893,334;265,095;316,847;;
Avio;04022007;Comune;507,480;97,920;224,151;6,420;117,900;56,780;158,018;31,143;7,393;11,370;166,340;61,560;;;
Baselga di Pine;04022009;Comune;970,554;32,571;430,165;30,054;138,116;78,458;160,168;44,902;16,263;23,329;268,241;76,740;203,643;;
Bedollo;04022011;Comune;261,818;8,786;116,041;8,108;37,258;21,165;43,207;12,113;4,387;6,294;72,361;22,005;54,935;;
Besenello;04022013;Comune;245,585;;185,248;1,616;106,367;42,039;127,859;22,011;6,932;7,274;98,680;41,235;;;
Bieno;04022015;Comune;33,514;1,704;26,566;1,810;14,793;7,267;14,106;4,945;1,569;0,187;19,766;6,735;16,073;;
Bleggio Superiore;04022017;Comune;150,508;;123,770;40,475;55,545;26,739;53,154;18,461;3,893;2,116;82,500;22,920;42,151;;
Bocenago;04022018;Comune;43,623;;35,873;11,730;16,099;7,750;15,406;5,352;1,129;0,613;23,912;5,985;12,217;;
Bondone;04022021;Comune;58,830;;48,379;15,818;21,711;10,451;20,777;7,216;1,522;0,827;32,247;9,630;16,476;;
Borgo Chiese;04022238;Comune;174,578;;143,566;46,952;64,428;31,015;61,655;21,413;4,517;2,455;95,694;29,265;48,893;;
Borgo d\'Anaunia;04022252;Comune;302,793;;212,781;10,011;143,622;62,367;89,309;30,563;12,268;10,206;119,054;37,605;;;
Borgo Lares;04022239;Comune;65,173;;53,595;17,524;24,052;11,578;23,018;7,994;1,685;0,916;35,724;10,800;18,253;;
Borgo Valsugana;04022022;Comune;488,056;24,808;386,872;26,356;215,441;105,830;205,421;72,015;22,837;2,729;287,845;104,715;234,066;;
Brentonico;04022025;Comune;425,450;112,090;263,632;7,960;152,600;67,707;205,247;33,185;8,086;7,010;220,810;60,690;;;
Bresimo;04022026;Comune;26,965;;18,949;0,891;12,790;5,554;7,953;2,721;1,093;0,909;10,603;3,750;;;
Caderzone Terme;04022029;Comune;82,813;;68,102;22,268;30,562;14,712;29,247;10,158;2,142;1,165;45,394;10,485;23,193;;
Calceranica al Lago;04022032;Comune;320,735;10,764;142,155;9,932;45,643;25,928;52,931;14,839;5,376;7,709;88,644;20,850;67,297;;
Caldes;04022033;Comune;110,011;4,541;53,056;3,126;39,220;19,873;29,860;9,067;1,859;2,795;46,605;16,335;;;
Caldonazzo;04022034;Comune;664,470;22,299;294,504;20,576;94,559;53,715;109,656;30,741;11,134;15,972;183,645;58,500;139,420;;
Calliano;04022035;Comune;229,835;52,603;115,924;0,264;17,173;14,585;77,707;3,561;1,459;6,936;89,290;26,410;;;
Campitello di Fassa;04022036;Comune;241,591;;125,259;8,851;111,650;38,823;71,033;13,650;1,228;;58,460;;74,990;;
Campodenno;04022037;Comune;154,083;;108,277;5,094;73,085;31,737;45,448;15,552;6,243;5,193;60,583;22,770;;;
Canal San Bovo;04022038;Comune;164,716;2,316;123,746;10,592;71,579;29,538;80,668;14,395;4,688;5,541;57,229;22,035;81,888;;
Canazei;04022039;Comune;501,222;;248,197;14,678;144,040;76,155;127,043;26,176;6,448;5,760;195,247;;;;
Capriana;04022040;Comune;102,080;4,097;47,618;29,439;14,632;7,216;16,373;5,155;1,769;1,820;26,385;8,790;23,858;;
Carisolo;04022042;Comune;156,677;;128,844;42,136;57,822;27,834;55,334;19,218;4,054;2,203;85,882;14,220;43,879;;
Carzano;04022043;Comune;36,554;1,858;28,976;1,974;16,135;7,927;15,385;5,393;1,710;0,204;21,559;7,770;;;
Castel Condino;04022045;Comune;20,856;;17,151;5,609;7,697;3,705;7,367;2,558;0,538;0,293;11,432;3,360;5,841;;
Castel Ivano;04022240;Comune;229,967;11,689;182,289;12,419;101,512;49,866;96,790;33,933;10,761;1,285;135,628;49,020;110,290;;
Castello Tesino;04022048;Comune;98,952;5,030;78,436;5,344;43,680;21,457;41,647;14,601;4,629;0,553;58,359;17,295;47,456;;
Castello-Molina di Fiemme;04022047;Comune;425,021;17,059;198,265;122,575;60,920;30,044;68,174;21,468;7,359;7,577;109,858;34,845;99,336;;
Castelnuovo;04022049;Comune;75,181;3,821;59,594;4,060;33,187;16,302;31,644;11,094;3,517;0,420;44,340;16,185;36,056;;
Cavalese;04022050;Comune;869,374;34,895;405,547;250,726;124,611;61,455;139,449;43,913;15,052;15,499;224,713;60,570;203,190;;
Cavareno;04022051;Comune;138,168;;97,094;4,568;65,536;28,459;40,752;13,946;5,598;4,657;54,326;16,620;;;
Cavedago;04022052;Comune;76,067;4,706;48,110;3,430;22,280;10,593;31,060;5,452;1,185;3,501;29,910;8,415;6,360;;
Cavedine;04022053;Comune;358,683;22,190;226,856;16,171;105,061;49,950;146,462;25,706;5,585;16,507;141,036;45,345;29,990;;
Cavizzana;04022054;Comune;23,920;0,987;11,536;0,680;8,527;4,320;6,493;1,971;0,404;0,608;10,133;3,690;;;
Cembra Lisignago;04022241;Comune;273,606;16,926;173,047;12,336;80,141;38,102;111,723;19,608;4,261;12,591;107,583;34,395;22,877;;
Cimone;04022058;Comune;84,610;5,235;53,512;3,815;24,782;11,783;34,546;6,063;1,317;3,894;33,269;10,815;7,075;;
Cinte Tesino;04022059;Comune;27,640;1,405;21,909;1,493;12,201;5,993;11,633;4,080;1,293;0,154;16,301;5,070;13,256;;
Cis;04022060;Comune;32,945;;23,152;1,089;15,627;6,786;9,718;3,325;1,335;1,110;12,953;4,560;;;
Civezzano;04022061;Comune;640,998;21,511;284,100;19,850;91,218;51,817;105,782;29,656;10,741;15,408;177,158;61,425;134,495;;
Cles;04022062;Comune;728,544;;511,970;24,091;345,565;150,060;214,884;73,537;29,515;24,557;286,453;107,430;;;
Comano Terme;04022228;Comune;300,145;;246,826;80,716;110,769;53,322;106,002;36,815;7,763;4,221;164,523;43,620;84,059;;
Commezzadura;04022064;Comune;143,610;5,928;69,266;3,946;51,198;25,953;39,091;11,836;2,427;3,649;60,839;15,210;;;
Conta\';04022242;Comune;147,493;;103,648;4,878;69,960;30,380;43,503;14,887;5,975;4,971;57,993;20,970;;;
Croviana;04022068;Comune;69,618;2,874;33,574;1,997;24,819;12,573;18,885;5,738;1,175;1,769;29,493;10,365;;;
Dambel;04022071;Comune;44,603;;31,344;1,475;21,156;9,187;13,156;4,502;1,807;1,503;17,537;6,225;;;
Denno;04022074;Comune;123,976;;87,121;4,100;58,805;25,536;36,567;12,513;5,023;4,179;48,745;18,195;;;
Dimaro Folgarida;04022233;Comune;400,302;16,523;193,069;11,155;142,712;72,328;108,842;32,998;6,764;10,173;169,582;31,485;;;
Drena;04022078;Comune;75,495;;41,320;3,079;19,167;6,051;23,215;7,620;0,873;0,491;28,136;8,820;9,979;;
Dro;04022079;Comune;652,994;;357,397;26,631;165,788;52,338;200,794;65,908;7,549;4,245;243,360;75,360;86,315;;
Fai della Paganella;04022081;Comune;172,378;10,664;109,024;7,771;50,491;24,005;70,384;12,353;2,684;7,933;67,780;13,575;14,413;;
Fiave;04022083;Comune;97,412;;80,108;26,193;35,950;17,306;34,403;11,948;2,521;1,370;53,396;15,945;27,282;;
