Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Fierozzo;04022085;Comune;79,868;2,680;35,399;2,473;11,366;6,457;13,180;3,695;1,338;1,920;22,074;7,050;16,758;;
Folgaria;04022087;Comune;500,440;128,000;304,694;2,860;249,500;95,507;160,607;47,565;9,833;11,530;248,180;47,505;;;
Fornace;04022089;Comune;210,463;7,063;93,281;6,517;29,951;17,013;34,733;9,736;3,526;5,059;58,167;19,620;44,160;;
Frassilongo;04022090;Comune;64,273;2,157;28,487;1,990;9,146;5,196;10,607;2,974;1,077;1,545;17,764;5,055;13,486;;
Garniga Terme;04022091;Comune;48,449;2,997;30,643;2,184;14,191;6,746;19,781;3,472;0,756;2,230;19,050;5,880;4,051;;
Giovo;04022092;Comune;303,330;18,765;191,847;13,676;88,847;42,241;123,857;21,738;4,723;13,959;119,271;37,650;25,362;;
Giustino;04022093;Comune;88,983;;73,177;23,927;32,839;15,809;31,426;10,914;2,301;1,251;48,776;11,115;24,921;;
Grigno;04022095;Comune;145,526;7,397;115,355;7,859;64,239;31,556;61,250;21,474;6,809;0,813;85,827;30,450;69,793;;
Imer;04022097;Comune;128,335;1,804;96,414;8,252;55,768;23,014;62,854;11,216;3,652;4,317;44,588;17,565;63,801;;
Isera;04022098;Comune;364,587;67,341;189,262;10,078;121,752;30,012;87,926;27,316;8,230;14,023;150,100;41,565;;;
Lavarone;04022102;Comune;165,230;70,320;130,280;8,000;133,580;33,230;99,520;21,581;3,519;2,930;75,410;17,880;;;
Lavis;04022103;Comune;1.071,840;66,308;677,943;48,399;313,946;149,362;438,382;76,819;16,691;49,328;421,451;137,415;89,618;;
Ledro;04022229;Comune;903,556;;494,534;36,850;229,403;72,421;277,840;91,199;10,445;5,874;336,741;78,930;119,435;;
Levico Terme;04022104;Comune;1.551,690;52,073;687,734;48,051;220,815;125,436;256,073;71,789;26,004;37,298;428,854;122,130;325,578;;
Livo;04022106;Comune;81,907;;57,558;2,708;38,850;16,871;24,158;8,267;3,319;2,761;32,205;11,700;;;
Lona-Lases;04022108;Comune;102,982;6,371;65,133;4,643;30,164;14,341;42,050;7,380;1,603;4,739;40,493;13,080;8,610;;
Luserna;04022109;Comune;40,590;9,750;23,148;1,820;21,320;9,003;19,224;4,725;1,112;1,460;17,230;4,095;;;
Madruzzo;04022243;Comune;346,395;21,429;219,084;15,618;101,461;48,239;141,447;24,825;5,392;15,941;136,204;44,925;28,962;;
Male;04022110;Comune;239,474;9,885;115,510;6,461;85,374;43,292;65,285;19,737;4,045;6,085;101,451;33,945;;;
Massimeno;04022112;Comune;13,904;;11,434;3,739;5,131;2,470;4,911;1,705;0,360;0,196;7,621;2,160;3,894;;
Mazzin;04022113;Comune;119,674;;45,720;2,950;31,720;6,577;41,238;5,860;1,408;1,760;28,583;;14,220;;
Mezzana;04022114;Comune;279,123;11,522;134,606;8,098;99,510;50,396;75,620;23,005;4,716;7,093;118,247;13,260;;;
Mezzano;04022115;Comune;180,444;2,537;135,562;11,602;78,413;32,359;88,373;15,772;5,135;6,069;62,693;23,820;89,707;;
Mezzocorona;04022116;Comune;655,578;40,557;414,631;29,557;192,023;91,295;267,687;46,983;10,204;30,170;257,776;82,650;54,814;;
Mezzolombardo;04022117;Comune;860,958;53,262;544,528;38,816;252,180;119,897;351,552;61,703;13,403;39,621;338,532;111,795;71,986;;
Moena;04022118;Comune;474,687;;261,546;19,022;259,170;76,243;152,205;27,620;6,955;9,920;132,718;;4,150;;
Molveno;04022120;Comune;266,233;16,470;168,385;12,003;77,982;37,076;108,714;19,080;4,144;12,252;104,684;16,590;22,260;;
Mori;04022123;Comune;1.055,398;225,510;598,032;9,321;247,420;93,739;430,297;64,199;16,754;18,859;391,100;150,675;;;
Nago-Torbole;04022124;Comune;487,206;;266,658;19,869;123,696;39,050;149,815;49,175;5,633;3,167;181,574;42,315;64,400;;
Nogaredo;04022127;Comune;199,906;22,513;134,090;1,135;40,648;21,776;98,355;8,877;2,461;3,877;80,500;30,735;;;
Nomi;04022128;Comune;146,376;15,015;71,136;0,437;15,452;9,269;45,442;3,995;1,443;9,263;57,380;19,352;;;
Novaledo;04022129;Comune;77,047;3,916;61,074;4,161;34,011;16,707;32,429;11,368;3,605;0,431;45,440;16,365;36,951;;
Novella;04022253;Comune;375,474;;263,856;12,414;178,097;77,337;110,746;37,899;15,212;12,655;147,631;53,760;;;
Ospedaletto;04022130;Comune;54,934;2,792;43,546;2,967;24,250;11,913;23,122;8,106;2,571;0,307;32,399;11,775;26,346;;
Ossana;04022131;Comune;114,292;4,717;55,121;3,250;40,746;20,643;31,016;9,420;1,930;2,904;48,419;12,345;;;
Palu del Fersina;04022133;Comune;28,986;0,973;12,847;0,897;4,124;2,343;4,783;1,341;0,485;0,696;8,011;2,505;6,082;;
Panchia ;04022134;Comune;162,090;6,506;75,612;46,746;23,233;11,458;26,000;8,187;2,805;2,890;41,896;12,120;37,884;;
Peio;04022136;Comune;280,239;11,567;135,153;7,970;99,908;50,616;76,066;23,098;4,735;7,121;118,720;27,480;;;
Pellizzano;04022137;Comune;100,239;4,138;50,846;7,111;35,736;23,590;14,961;8,261;1,694;2,547;42,465;11,580;;;
Pelugo;04022138;Comune;36,845;;30,299;9,907;13,598;6,545;13,013;4,520;0,954;0,518;20,196;5,910;10,319;;
Pergine Valsugana;04022139;Comune;3.460,348;116,125;1.533,683;107,155;492,431;279,730;571,056;160,097;57,992;83,180;956,367;322,020;726,057;;
Pieve Di Bono-Prezzo;04022234;Comune;125,481;;103,190;33,740;46,309;22,292;44,315;15,390;3,247;1,764;68,781;21,375;35,142;;
Pieve Tesino;04022142;Comune;56,455;2,870;44,750;3,049;24,921;12,242;23,761;8,330;2,641;0,316;33,296;9,750;27,075;;
Pinzolo;04022143;Comune;593,511;;488,080;159,620;219,035;105,443;209,607;72,801;15,346;8,347;325,333;47,385;166,218;;
Pomarolo;04022144;Comune;223,776;39,758;121,783;22,969;42,900;33,986;79,988;11,233;3,177;4,081;84,160;36,720;;;
Porte Di Rendena;04022244;Comune;158,328;;130,201;42,583;58,431;28,128;55,916;19,419;4,095;2,226;86,787;26,835;44,342;;
Predaia;04022230;Comune;761,087;;534,836;25,166;361,001;156,762;224,482;76,821;30,835;25,652;299,248;102,285;;;
Predazzo;04022147;Comune;930,774;37,360;434,192;268,435;133,413;65,795;149,300;47,013;16,114;16,592;240,585;67,815;217,542;;
Primiero San Martino Di Castrozza;04022245;Comune;777,554;10,933;584,153;49,999;337,890;139,439;380,801;67,962;22,125;26,156;270,150;76,155;386,558;;
Rabbi;04022150;Comune;158,687;6,550;76,537;4,403;56,573;28,674;43,164;13,079;2,682;4,032;67,226;20,205;;;
Riva del Garda;04022153;Comune;2.560,304;;1.401,306;104,416;650,035;205,211;787,284;258,418;31,599;16,642;954,185;266,505;338,430;;
Romeno;04022155;Comune;161,077;;113,192;5,326;76,403;33,178;47,510;16,259;6,526;5,429;63,333;20,940;;;
Roncegno Terme;04022156;Comune;209,789;10,664;166,295;11,329;92,606;45,491;88,298;30,956;9,818;1,172;123,728;43,605;100,613;;
Ronchi Valsugana;04022157;Comune;33,859;1,721;26,839;1,829;14,946;7,342;14,251;4,997;1,584;0,189;19,969;6,810;16,239;;
Ronzo-Chienis;04022135;Comune;150,670;43,220;66,820;;;6,496;46,631;6,382;1,748;5,350;58,680;;;;
Ronzone;04022159;Comune;74,609;;52,429;2,466;35,389;15,367;22,005;7,530;3,023;2,515;29,335;6,960;;;
Rovere della Luna;04022160;Comune;193,209;11,953;122,199;8,711;56,593;26,906;78,893;13,847;3,007;8,892;75,971;24,465;16,154;;
Rovereto;04022161;Comune;5.421,970;642,580;2.709,520;444,969;1.056,574;314,877;1.003,279;305,089;68,537;179,734;1.549,780;597,285;282,200;;
Ruffre-Mendola;04022162;Comune;59,910;;42,100;1,982;28,417;12,340;17,670;6,048;2,426;2,019;23,556;6,390;;;
Rumo;04022163;Comune;92,956;;65,322;3,073;44,091;19,146;27,417;9,383;3,766;3,133;36,549;11,985;;;
Sagron Mis;04022164;Comune;20,551;0,289;15,438;1,322;8,930;3,685;10,068;1,796;0,585;0,691;7,140;2,670;10,216;;
Samone;04022165;Comune;38,973;1,981;30,892;2,104;17,203;8,451;16,403;5,750;1,824;0,218;22,985;8,145;18,691;;
San Lorenzo Dorsino;04022231;Comune;167,800;;137,991;45,128;61,927;29,810;59,261;20,581;4,342;2,360;91,979;23,400;46,994;;
San Michele all\'Adige;04022167;Comune;467,283;28,908;295,541;21,067;136,870;65,074;190,801;33,489;7,275;21,504;183,738;60,180;39,070;;
Sant\'Orsola Terme;04022168;Comune;178,011;5,974;78,897;5,512;25,332;14,391;29,377;8,235;2,981;4,278;49,199;17,010;37,351;;
Sanzeno;04022169;Comune;94,984;;66,749;3,141;45,053;19,565;28,015;9,588;3,849;3,201;37,347;13,740;;;
Sarnonico;04022170;Comune;97,924;;68,814;3,237;46,447;20,169;28,882;9,885;3,969;3,301;38,502;11,955;;;
Scurelle;04022171;Comune;96,672;4,914;76,629;5,221;42,673;20,963;40,689;14,264;4,523;0,540;57,014;19,980;46,363;;
Segonzano;04022172;Comune;176,123;10,896;111,392;7,940;51,588;24,527;71,916;12,622;2,742;8,105;69,253;20,760;14,726;;
Sella Giudicarie;04022246;Comune;274,163;;225,459;73,735;101,180;48,706;96,826;33,629;7,090;3,855;150,281;43,245;76,783;;
Sen Jan di Fassa-San Giovanni di Fassa;04022250;Comune;757,310;;402,659;32,530;258,380;66,051;246,080;33,053;12,333;8,300;234,217;;28,140;;
Sfruz;04022173;Comune;49,367;;34,692;1,632;23,416;10,168;14,561;4,983;2,001;1,664;19,410;5,550;;;
Soraga;04022176;Comune;84,836;;87,217;4,755;47,450;6,122;60,668;0,980;0,751;0,760;61,675;;;;
Sover;04022177;Comune;96,546;5,973;61,063;4,353;28,279;13,444;39,420;6,920;1,502;4,443;37,962;11,595;8,072;;
Spiazzo;04022179;Comune;149,290;;122,770;40,148;55,096;26,523;52,725;18,312;3,863;2,099;81,833;18,645;41,811;;
Spormaggiore;04022180;Comune;157,048;9,715;99,327;7,080;46,001;21,871;64,128;11,255;2,444;7,227;61,752;19,095;13,131;;
Sporminore;04022181;Comune;72,683;;51,076;2,402;34,475;14,970;21,438;7,337;2,944;2,450;28,577;10,560;;;
Stenico;04022182;Comune;123,830;;101,832;33,297;45,699;21,999;43,732;15,188;3,204;1,741;67,877;17,280;34,680;;
Storo;04022183;Comune;398,426;;327,648;107,153;147,040;70,782;140,711;48,869;10,307;5,603;218,396;67,665;111,584;;
Strembo;04022184;Comune;55,528;;45,663;14,932;20,493;9,865;19,610;6,811;1,437;0,781;30,437;9,045;15,551;;
Telve;04022188;Comune;135,368;6,881;107,303;7,311;59,754;29,353;56,975;19,975;6,334;0,757;79,837;28,215;64,921;;
Telve di Sopra;04022189;Comune;41,530;2,111;32,919;2,243;18,332;9,005;17,480;6,129;1,945;0,232;24,493;8,970;19,917;;
Tenna;04022190;Comune;182,738;6,132;80,992;5,659;26,004;14,773;30,157;8,454;3,062;4,393;50,505;15,720;38,342;;
Tenno;04022191;Comune;278,278;;152,307;11,349;70,652;22,305;85,570;28,087;3,218;1,809;103,710;29,730;36,784;;
Terragnolo;04022193;Comune;44,670;14,280;22,932;;;2,958;21,010;3,024;0,490;1,840;36,280;;;;
Terre d\'Adige;04022251;Comune;358,917;22,204;227,003;16,182;105,130;49,983;146,557;25,723;5,588;16,517;141,128;45,585;30,010;;
Terzolas;04022195;Comune;67,384;2,782;32,502;1,836;24,023;12,180;18,362;5,553;1,138;1,712;28,546;9,510;;;
Tesero;04022196;Comune;579,067;23,242;270,125;167,002;83,001;40,933;92,884;29,248;10,025;10,323;149,675;44,220;135,340;;
Tione di Trento;04022199;Comune;323,608;;266,120;87,032;119,428;57,491;114,288;39,694;8,371;4,550;177,384;54,570;90,630;;
Ton;04022200;Comune;135,836;;95,456;4,491;64,430;27,978;40,065;13,711;5,504;4,578;53,409;19,755;;;
Torcegno;04022202;Comune;48,923;2,487;38,781;2,642;21,596;10,609;20,591;7,219;2,290;0,273;28,854;10,245;23,463;;
Trambileno;04022203;Comune;118,810;25,010;76,069;;;7,846;56,582;4,010;0,691;7,100;63,300;;;;
Tre Ville;04022247;Comune;168,755;;138,776;45,389;62,279;29,980;59,599;20,699;4,365;2,373;92,503;20,775;47,262;;
Trento;04022205;Comune;16.656,930;1.373,840;8.696,340;1.650,727;2.535,780;1.012,739;3.034,022;874,198;237,248;533,040;5.053,740;1.777,635;1.135,390;;
Valdaone;04022232;Comune;107,493;;88,397;28,903;39,670;19,097;37,962;13,185;2,781;1,512;58,922;17,190;30,105;;
Valfloriana;04022209;Comune;79,034;3,172;36,867;22,793;11,328;5,587;12,678;3,992;1,367;1,409;20,428;7,095;18,472;;
Vallarsa;04022210;Comune;59,260;35,990;68,318;;4,680;7,005;49,519;7,534;1,779;6,840;75,500;;;;
Vallelaghi;04022248;Comune;618,480;38,261;391,168;27,885;181,157;86,129;252,544;44,325;9,627;28,463;243,189;78,330;51,712;;
Vermiglio;04022213;Comune;276,331;11,406;133,276;7,695;98,514;49,928;75,142;22,775;4,669;7,022;117,064;27,525;;;
Vignola-Falesina;04022216;Comune;35,287;1,185;15,640;1,092;5,022;2,853;5,823;1,632;0,591;0,848;9,753;2,715;7,404;;
Villa d\'Anaunia;04022249;Comune;487,894;;342,856;16,132;231,420;100,493;143,904;49,245;19,766;16,444;191,833;71,040;;;
Villa Lagarina;04022222;Comune;420,273;97,321;212,766;3,732;128,140;45,945;147,891;32,505;8,724;12,330;160,780;58,095;;;
Ville di Fiemme;04022254;Comune;597,318;23,975;278,637;172,265;85,616;42,223;95,811;39,523;15,448;10,649;154,393;39,765;139,605;;
Volano;04022224;Comune;440,070;66,680;173,679;15,773;113,080;46,117;119,602;25,068;8,874;10,930;114,240;45,915;;;
Ziano di Fiemme;04022226;Comune;364,082;14,613;169,838;105,001;52,186;25,736;58,399;18,389;6,303;6,491;94,107;26,235;85,093;;


			



