Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Cis;04022060;Comune;29,745;;20,921;2,799;9,616;4,390;8,811;2,550;;0,308;9,488;;;;
Civezzano;04022061;Comune;546,530;;278,972;16,739;59,829;31,203;78,037;21,330;;4,555;188,184;;;;
Cles;04022062;Comune;652,984;;459,276;73,413;211,109;96,379;193,441;59,587;;6,761;208,288;;;;
Cloz;04022063;Comune;69,249;;48,706;6,519;22,388;10,221;20,514;5,940;;0,717;22,089;;;;
Comano Terme;04022228;Comune;231,319;;159,593;7,049;42,683;25,412;64,343;15,283;;7,950;128,160;;;;
Commezzadura;04022064;Comune;159,564;;72,596;3,802;32,913;21,927;23,104;7,253;;3,491;64,871;;;;
Condino;04022066;Comune;161,756;;111,600;5,447;29,847;17,770;44,994;10,560;;5,559;89,620;;;;
Coredo;04022067;Comune;194,548;;136,835;18,308;62,897;28,714;57,633;16,688;;2,014;62,057;;;;
Croviana;04022068;Comune;71,498;;37,898;4,502;15,300;15,250;14,205;4,590;;2,343;33,469;;;;
Cunevo;04022069;Comune;58,095;;40,860;5,466;18,782;8,574;17,210;4,983;;0,601;18,530;;;;
Daiano;04022070;Comune;135,093;;69,916;3,480;11,943;11,895;39,985;5,690;;1,606;25,354;;;;
Dambel;04022071;Comune;40,713;;28,635;3,831;13,162;6,009;12,060;3,493;;0,422;12,986;;;;
Daone;04022072;Comune;23,203;;16,008;1,512;4,281;2,549;6,454;1,595;;0,797;12,856;;;;
Dare;04022073;Comune;25,947;;17,902;0,706;4,788;2,850;7,216;1,773;;0,892;14,376;;;;
Denno;04022074;Comune;121,115;;85,187;11,398;39,157;17,876;35,879;10,389;;1,254;38,634;;;;
Dimaro;04022075;Comune;392,422;;153,169;4,621;37,347;29,229;48,210;8,084;;3,957;160,318;;;;
Don;04022076;Comune;32,162;;22,621;3,027;10,398;4,747;9,528;2,758;;0,333;10,259;;;;
Dorsino;04022077;Comune;22,984;;15,857;1,691;4,241;2,525;6,392;1,571;;0,790;12,734;;;;
Drena;04022078;Comune;46,106;;46,529;0,795;3,496;5,635;21,440;1,104;;;13,319;;;;
Dro;04022079;Comune;448,454;;298,660;19,695;85,624;48,220;186,330;19,054;;0,270;103,006;;;;
Faedo;04022080;Comune;45,663;;48,373;1,328;0,430;8,622;20,937;2,375;;1,625;35,129;;;;
Fai della Paganella;04022081;Comune;280,024;;100,894;1,870;41,460;29,335;44,365;9,150;;0,520;67,216;;;;
Faver;04022082;Comune;83,945;;47,151;2,315;16,200;11,964;19,122;6,219;;1,157;18,883;;;;
Fiave;04022083;Comune;58,418;;40,305;2,721;10,779;6,417;16,250;3,789;;2,008;32,367;;;;
Fiera di Primiero;04022084;Comune;53,589;;49,694;2,474;29,176;9,453;30,109;3,661;;0,380;18,133;;;;
Fierozzo;04022085;Comune;70,546;;35,525;1,204;6,143;7,295;9,224;3,216;;0,318;23,566;;;;
Flavon;04022086;Comune;52,610;;37,004;4,951;17,009;7,766;15,586;4,512;;0,545;16,782;;;;
Folgaria;04022087;Comune;621,113;;313,360;12,022;139,825;51,230;90,081;30,556;;8,354;258,506;;;;
Fondo;04022088;Comune;160,620;;112,972;15,115;51,928;23,708;47,582;13,778;;1,663;51,235;;;;
Fornace;04022089;Comune;182,447;;93,123;4,052;16,120;10,409;26,046;7,115;;1,519;60,647;;;;
Frassilongo;04022090;Comune;53,517;;26,960;1,985;4,349;8,230;7,006;2,921;;0,243;17,890;;;;
Garniga Terme;04022091;Comune;36,713;;24,683;1,241;6,581;10,333;13,329;3,534;;1,024;11,894;;;;
Giovo;04022092;Comune;137,454;;138,173;8,447;30,960;36,424;65,532;14,616;;9,208;83,448;;;;
Giustino;04022093;Comune;125,559;;86,626;3,413;23,168;13,794;34,925;8,143;;4,315;69,565;;;;
Grauno;04022094;Comune;13,667;;7,053;0,768;2,480;1,902;3,923;0,855;;0,122;5,352;;;;
Grigno;04022095;Comune;84,076;;119,918;12,174;29,150;30,305;108,532;17,496;;0,840;71,009;;;;
Grumes;04022096;Comune;28,403;;21,000;1,262;3,860;9,046;12,844;3,192;;0,214;19,595;;;;
Imer;04022097;Comune;102,476;;95,031;14,615;55,794;18,237;57,578;8,581;;0,937;34,705;;;;
Isera;04022098;Comune;290,752;;184,609;5,543;42,596;24,289;137,446;12,769;;2,672;39,852;;;;
Ivano-Fracena;04022099;Comune;26,383;;15,923;1,821;5,542;2,868;9,574;2,608;;0,125;6,229;;;;
Lardaro;04022100;Comune;11,869;;8,189;0,324;2,190;1,303;3,301;0,770;;0,408;6,576;;;;
Lasino;04022101;Comune;209,680;26,640;75,572;3,132;26,882;15,279;46,926;8,610;;0,480;29,692;;;;
Lavarone;04022102;Comune;235,323;;108,755;5,667;85,868;27,654;38,839;17,777;;4,000;116,214;;;;
Lavis;04022103;Comune;1.301,280;;863,875;29,781;358,980;109,781;386,888;81,495;;15,915;366,482;;;;
Ledro;04022229;Comune;459,980;;378,468;27,271;155,460;81,770;246,314;26,939;;5,750;131,980;;;;
Levico Terme;04022104;Comune;1.397,950;;693,563;19,345;113,575;66,515;178,252;38,973;;4,712;460,014;;;;
Lisignago;04022105;Comune;37,812;;34,122;1,401;10,155;8,614;18,066;3,898;;0,725;18,078;;;;
Livo;04022106;Comune;81,798;;57,532;7,698;26,445;12,073;24,232;7,017;;0,847;26,091;;;;
Lona-Lases;04022108;Comune;77,483;;44,743;2,195;14,893;8,941;25,562;6,042;;0,940;25,679;;;;
Luserna;04022109;Comune;33,198;;25,678;0,643;10,548;5,923;7,854;5,009;;0,874;16,997;;;;
Male;04022110;Comune;226,774;;182,908;4,141;37,660;38,997;36,776;15,727;;7,126;109,495;;;;
Malosco;04022111;Comune;63,114;;44,391;5,939;20,405;9,315;18,696;5,414;;0,653;20,132;;;;
Massimeno;04022112;Comune;11,416;;7,877;0,311;2,106;1,255;3,176;0,741;;0,392;6,324;;;;
Mazzin;04022113;Comune;138,994;;53,706;2,496;36,558;12,063;30,964;6,298;;0,873;12,554;;;;
Mezzana;04022114;Comune;325,581;;114,081;4,683;37,740;27,985;30,236;11,375;;1,883;119,855;;;;
Mezzano;04022115;Comune;143,979;;133,515;6,647;78,389;25,397;80,896;9,836;;1,020;48,718;;;;
Mezzocorona;04022116;Comune;552,516;;285,410;13,870;188,293;60,970;145,737;36,742;;8,259;209,166;;;;
Mezzolombardo;04022117;Comune;1.130,447;;664,339;14,901;138,950;80,233;263,381;46,919;;7,935;280,636;;;;
Moena;04022118;Comune;616,693;;290,063;10,522;186,830;77,764;192,457;4,412;;6,855;77,706;;;;
Molveno;04022120;Comune;444,720;;154,785;2,476;57,620;32,308;69,628;9,976;;1,087;108,157;;;;
Monclassico;04022121;Comune;104,891;;47,468;4,693;27,920;16,837;17,515;14,256;;2,592;58,951;;;;
Montagne;04022122;Comune;14,713;;10,151;0,400;2,715;1,616;4,093;0,954;;0,506;8,152;;;;
Mori;04022123;Comune;1.066,795;;599,331;27,784;200,795;77,294;217,265;73,654;;12,393;471,712;;;;
Nago-Torbole;04022124;Comune;648,200;;336,276;3,693;73,730;60,459;286,957;8,623;;1,140;179,329;;;;
Nanno;04022125;Comune;56,980;;40,077;5,362;18,421;8,410;16,879;4,888;;0,590;18,175;;;;
Nave San Rocco;04022126;Comune;145,096;;74,473;2,658;25,940;18,354;42,499;8,135;;3,507;45,874;;;;
Nogaredo;04022127;Comune;262,673;;123,895;5,047;28,367;17,168;38,872;10,304;;2,650;102,455;;;;
Nomi;04022128;Comune;138,662;;101,885;3,318;14,290;10,448;29,526;5,379;;7,433;60,789;;;;
Novaledo;04022129;Comune;29,229;;66,269;5,393;13,333;6,711;13,443;8,108;;0,389;36,941;;;;
