Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2014 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Santa Cristina Valgardena;04021085;Comune;237,631;;186,247;5,241;13,157;32,821;54,027;11,045;;3,327;304,342;;;;
Sarentino;04021086;Comune;356,630;;167,900;39,895;4,500;84,077;58,944;23,350;;24,030;70,400;;;;
Scena;04021087;Comune;362,340;;228,820;30,237;20,020;47,360;16,780;12,801;;4,081;222,880;;;;
Selva dei Molini;04021088;Comune;123,100;;51,900;114,353;;22,840;23,100;3,804;;9,926;30,149;;;;
Selva di Val Gardena;04021089;Comune;745,697;;483,984;19,303;23,516;82,124;111,491;15,835;;11,243;447,361;;;;
Senales;04021091;Comune;150,100;;80,630;4,792;33,640;28,260;5,540;2,997;;12,400;83,150;;;;
Senale-San Felice;04021118;Comune;;;31,660;3,929;;13,060;2,400;6,395;;1,912;21,260;;;;
Sesto;04021092;Comune;415,750;;223,990;41,641;3,146;47,040;98,077;7,971;;6,006;193,616;;;;
Silandro;04021093;Comune;876,760;;560,740;26,500;33,400;67,600;245,300;30,830;;15,900;237,560;;;;
Sluderno;04021094;Comune;19,480;;127,038;7,036;6,120;21,208;5,310;14,406;;7,417;73,811;;;;
Stelvio;04021095;Comune;0,460;;114,720;11,441;8,440;14,899;4,800;4,104;;3,756;136,168;;;;
Terento;04021096;Comune;274,540;;98,095;30,778;18,830;33,817;26,460;9,205;;10,284;56,825;;;;
Terlano;04021097;Comune;280,070;;257,830;239,796;;54,000;58,340;29,140;;10,930;189,980;;;;
Termeno sulla strada del vino;04021098;Comune;579,590;;194,140;55,109;65,550;42,650;50,670;18,642;;21,530;143,640;;;;
Tesimo;04021099;Comune;94,550;;92,940;7,207;9,800;21,260;5,920;8,853;;4,648;68,260;;;;
Tires;04021100;Comune;62,610;;50,110;12,221;;13,410;5,340;5,422;;2,145;32,210;;;;
Tirolo;04021101;Comune;604,450;;204,600;20,897;23,540;41,340;14,120;15,370;;;199,380;;;;
Trodena nel parco naturale;04021102;Comune;;;48,420;4,682;;22,270;21,370;5,545;;1,138;34,660;;;;
Tubre;04021103;Comune;;;48,300;13,958;32,960;10,700;2,910;7,572;;4,966;55,400;;;;
Ultimo;04021104;Comune;96,640;;159,980;14,707;;46,460;8,860;22,593;;6,334;108,860;;;;
Vadena;04021105;Comune;236,990;;65,000;13,625;28,950;7,140;30,480;3,900;;1,408;42,050;;;;
Val di Vizze;04021107;Comune;270,830;;196,100;14,809;;37,660;35,140;0,008;;8,885;62,760;;;;
Valdaora;04021106;Comune;525,370;;223,523;35,181;6,220;33,039;73,860;19,120;;6,809;155,953;;;;
Valle Aurina;04021108;Comune;697,240;;373,936;42,855;53,530;131,426;138,900;20,942;;33,571;245,438;;;;
Valle di Casies;04021109;Comune;299,950;;145,880;31,966;32,750;42,500;64,470;11,578;;9,969;89,500;;;;
Vandoies;04021110;Comune;294,340;;195,698;58,768;2,600;39,164;27,160;15,425;;29,759;88,727;;;;
Varna;04021111;Comune;545,360;;440,970;83,746;1,240;6,930;8,550;3,367;;11,446;195,650;;;;
Velturno;04021116;Comune;176,330;;107,590;10,251;;12,770;28,680;5,382;;10,741;78,110;;;;
Verano;04021112;Comune;24,880;;32,560;37,204;4,080;6,360;2,820;0,021;;8,590;24,020;;;;
Villabassa;04021113;Comune;127,960;;103,436;169,727;3,622;9,306;39,057;6,920;;10,189;63,624;;;;
Villandro;04021114;Comune;73,330;;76,840;61,542;4,100;11,490;29,480;4,693;;4,909;64,410;;;;
Vipiteno;04021115;Comune;544,200;;672,560;68,593;;39,860;116,610;108,882;;56,824;347,880;;;;


			



