Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2014 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;161,460;;77,540;9,056;;22,320;11,430;15,797;;1,811;90,890;;;;
Andriano;04021002;Comune;43,010;;70,990;5,273;43,920;17,760;28,890;2,040;;0,484;30,000;;;;
Anterivo;04021003;Comune;;;16,350;8,853;;1,840;6,510;1,586;;1,064;16,950;;;;
Appiano sulla strada del vino;04021004;Comune;1.805,510;;631,860;214,626;265,805;175,410;211,675;111,428;;57,831;496,500;;;;
Avelengo;04021005;Comune;156,140;;68,580;13,491;10,640;9,880;4,460;9,648;;2,354;74,880;;;;
Badia;04021006;Comune;872,270;;404,249;85,255;38,013;78,913;56,753;30,154;;19,598;404,063;;;;
Barbiano;04021007;Comune;63,000;;76,260;32,804;;12,370;6,750;2,720;;1,637;90,990;;;;
Bolzano;04021008;Comune;13.629,210;;10.356,860;5.147,076;2.106,660;327,048;2.045,580;543,315;;471,285;114,000;;;;
Braies;04021009;Comune;73,380;;59,423;8,537;;13,735;16,412;4,044;;1,983;42,612;;;;
Brennero;04021010;Comune;84,570;;225,100;10,293;52,720;17,210;30,050;7,185;;16,242;114,350;;;;
Bressanone;04021011;Comune;2.450,166;;2.147,118;662,312;545,332;264,454;123,886;165,822;;272,154;881,842;;;;
Bronzolo;04021012;Comune;227,500;;111,820;22,744;61,840;21,606;25,470;14,397;;17,031;69,240;;;;
Brunico;04021013;Comune;2.482,985;;1.600,655;121,649;386,013;195,813;192,078;113,305;;137,236;676,423;;;;
Caines;04021014;Comune;37,762;;18,418;1,185;6,350;6,058;1,795;2,223;;0,215;12,250;;;;
Caldaro sulla strada del vino;04021015;Comune;760,950;;564,190;208,870;297,820;146,820;175,150;58,994;;32,940;421,580;;;;
Campo di Trens;04021016;Comune;183,830;;153,410;17,342;0,440;25,690;27,700;8,542;;18,911;78,330;;;;
Campo Tures;04021017;Comune;817,090;;435,435;197,964;48,540;68,420;145,860;56,267;;44,564;240,187;;;;
Castelbello-Ciardes;04021018;Comune;328,360;;186,130;11,150;36,960;53,270;9,420;9,781;;15,500;105,890;;;;
Castelrotto;04021019;Comune;973,307;;538,009;21,888;72,901;100,389;146,044;40,938;;14,834;378,859;;;;
Cermes;04021020;Comune;196,339;;80,479;6,856;27,778;20,786;5,537;8,227;;;58,119;;;;
Chienes;04021021;Comune;331,940;;212,261;111,026;;29,427;;10,051;;14,859;105,613;;;;
Chiusa;04021022;Comune;446,730;;351,650;65,757;116,250;87,130;136,280;28,055;;22,686;194,790;;;;
Cornedo all\'Isarco;04021023;Comune;254,120;;106,780;13,124;43,840;37,610;41,880;13,921;;3,999;53,910;;;;
Cortaccia sulla strada del vino;04021024;Comune;189,770;;100,907;29,651;2,868;27,740;51,777;9,447;;11,270;70,418;;;;
Cortina sulla strada del vino;04021025;Comune;100,520;;6,680;41,304;;2,700;2,300;0,674;;3,426;5,360;;;;
Corvara in Badia;04021026;Comune;722,800;;339,581;57,200;35,447;80,187;52,387;27,807;;11,302;285,707;;;;
Curon Venosta;04021027;Comune;47,090;;155,280;23,254;85,610;48,060;14,940;18,831;;24,360;148,680;;;;
Dobbiaco;04021028;Comune;275,380;;277,190;31,257;14,926;45,653;103,999;9,824;;19,742;143,840;;;;
Egna;04021029;Comune;442,110;;211,220;63,097;39,872;32,640;81,030;27,325;;3,230;125,620;;;;
Falzes;04021030;Comune;255,000;;143,368;19,941;;33,435;41,820;8,950;;11,913;84,883;;;;
Fie allo Sciliar;04021031;Comune;220,230;;216,807;14,190;3,600;55,720;82,790;23,907;;10,981;164,620;;;;
Fortezza;04021032;Comune;17,120;;42,270;4,873;;2,150;8,540;0,858;;6,544;22,170;;;;
Funes;04021033;Comune;186,990;;107,850;80,451;;39,250;19,110;12,986;;7,035;80,310;;;;
Gais;04021034;Comune;365,020;;193,824;14,118;71,170;53,772;46,280;13,397;;7,053;93,466;;;;
Gargazzone;04021035;Comune;241,632;;96,486;4,223;9,225;16,973;15,197;9,421;;0,899;66,172;;;;
Glorenza;04021036;Comune;59,940;;87,562;12,486;0,840;8,087;0,620;6,621;;3,703;59,198;;;;
La Valle;04021117;Comune;55,740;;85,448;6,388;2,020;5,020;;0,003;;4,928;44,136;;;;
Laces;04021037;Comune;645,810;;442,110;19,118;54,080;70,600;26,080;36,070;;13,300;201,850;;;;
Lagundo;04021038;Comune;795,720;;266,020;38,228;70,120;52,620;20,980;33,425;;9,017;204,920;;;;
Laion;04021039;Comune;145,539;;111,445;174,873;0,021;18,530;28,225;9,487;;11,686;61,755;;;;
Laives;04021040;Comune;1.390,610;;1.121,550;701,254;265,640;91,300;298,910;104,109;;47,960;53,040;;;;
Lana;04021041;Comune;1.024,231;;825,840;48,903;54,289;107,015;101,324;85,507;;64,542;413,098;;;;
Lasa;04021042;Comune;128,160;;388,630;16,319;46,900;38,416;13,570;48,186;;27,580;151,868;;;;
Lauregno;04021043;Comune;;;8,860;0,894;;1,840;0,320;0,011;;0,181;5,680;;;;
Luson;04021044;Comune;65,360;;79,040;104,843;21,440;6,040;24,930;5,351;;3,184;48,600;;;;
Magre sulla strada del vino;04021045;Comune;82,960;;60,123;5,858;1,642;14,160;29,633;5,408;;1,245;41,602;;;;
Malles Venosta;04021046;Comune;29,470;;176,264;19,468;37,920;25,568;9,140;25,449;;22,044;124,364;;;;
Marebbe;04021047;Comune;446,400;;214,026;19,714;;45,340;21,240;9,761;;11,038;191,634;;;;
Marlengo;04021048;Comune;310,921;;156,621;27,252;49,382;36,954;9,843;14,628;;13,476;128,861;;;;
Martello;04021049;Comune;4,230;;43,300;7,028;7,220;19,840;4,510;6,156;;5,490;37,560;;;;
Meltina;04021050;Comune;12,570;;53,640;6,989;;11,050;9,090;7,070;;8,440;35,390;;;;
Merano;04021051;Comune;4.021,150;;3.639,650;146,360;764,290;431,260;69,740;236,967;;313,461;1.960,900;;;;
Monguelfo-Tesido;04021052;Comune;457,410;;203,880;27,122;;44,637;65,648;16,174;;17,390;106,228;;;;
Montagna;04021053;Comune;202,270;;98,170;13,145;;28,160;27,380;11,892;;8,666;74,460;;;;
Moso in Passiria;04021054;Comune;90,934;;110,328;9,958;17,550;20,497;7,953;11,746;;1,134;69,106;;;;
Nalles;04021055;Comune;302,600;;103,840;13,290;84,480;28,300;14,230;10,324;;0,998;63,960;;;;
Naturno;04021056;Comune;1.211,010;;451,220;59,855;23,700;79,660;39,080;53,414;;24,790;267,300;;;;
Naz-Sciaves;04021057;Comune;325,406;;113,340;91,219;0,480;23,260;18,410;11,782;;9,338;99,790;;;;
Nova Levante;04021058;Comune;344,930;;141,200;23,460;;10,720;76,650;17,995;;0,898;109,500;;;;
Nova Ponente;04021059;Comune;224,320;;292,050;25,429;53,560;65,420;74,700;21,900;;16,760;90,060;;;;
Ora;04021060;Comune;691,440;;185,464;45,626;61,660;47,221;54,220;26,902;;17,921;122,720;;;;
Ortisei;04021061;Comune;517,406;;581,262;10,094;33,532;74,799;115,714;27,345;;28,640;351,041;;;;
Parcines;04021062;Comune;471,040;;225,940;41,364;57,680;60,820;17,500;28,742;;13,127;141,780;;;;
Perca;04021063;Comune;163,121;;134,575;8,412;34,311;18,258;17,918;8,920;;1,949;69,901;;;;
Plaus;04021064;Comune;84,060;;31,320;44,773;3,860;6,460;2,520;0,010;;0,380;21,420;;;;
Ponte Gardena;04021065;Comune;2,790;;26,040;11,459;;2,860;7,340;1,662;;3,803;10,760;;;;
Postal;04021066;Comune;124,706;;66,914;5,526;8,246;15,511;14,929;12,562;;0,980;45,670;;;;
Prato allo Stelvio;04021067;Comune;202,640;;326,025;12,268;19,200;36,148;13,840;11,694;;21,584;147,571;;;;
Predoi;04021068;Comune;33,900;;35,810;4,050;;2,614;1,780;0,880;;9,642;15,451;;;;
Proves;04021069;Comune;;;10,420;0,818;;8,980;;3,233;;0,142;6,600;;;;
Racines;04021070;Comune;329,410;;334,260;45,079;;23,070;67,830;0,046;;18,138;289,910;;;;
Rasun-Anterselva;04021071;Comune;407,680;;228,080;30,115;3,180;34,438;73,860;19,125;;22,470;177,936;;;;
Renon;04021072;Comune;380,280;;317,690;24,078;152,130;58,110;76,770;50,125;;12,274;269,650;;;;
Rifiano;04021073;Comune;119,558;;58,322;5,443;20,110;19,182;5,685;7,044;;12,374;38,790;;;;
Rio di Pusteria;04021074;Comune;289,100;;224,330;97,349;1,500;57,350;46,430;12,108;;11,284;151,740;;;;
Rodengo;04021075;Comune;79,370;;56,100;56,208;;14,530;10,540;2,857;;1,169;37,660;;;;
Salorno;04021076;Comune;145,440;;174,660;53,277;87,130;52,090;96,810;13,480;;13,742;111,540;;;;
San Candido;04021077;Comune;618,740;;381,504;138,426;10,716;62,321;114,299;16,324;;21,760;207,133;;;;
San Genesio Atesino;04021079;Comune;149,530;;105,820;19,217;;34,420;16,750;17,853;;5,848;79,370;;;;
San Leonardo in Passiria;04021080;Comune;321,143;;175,136;32,083;52,681;41,772;12,233;22,777;;12,960;104,767;;;;
San Lorenzo di Sebato;04021081;Comune;371,834;;308,185;33,797;95,887;47,382;48,775;23,989;;9,778;183,654;;;;
San Martino in Badia;04021082;Comune;131,130;;217,780;327,388;;33,430;36,880;15,589;;10,016;222,920;;;;
San Martino in Passiria;04021083;Comune;282,763;;279,872;45,442;53,409;47,876;21,066;22,376;;11,040;179,734;;;;
San Pancrazio;04021084;Comune;29,780;;42,540;1,737;3,040;8,340;2,440;0,005;;0,833;28,180;;;;
