id,amenity,recycling:PET,recycling:aluminium,recycling:batteries,recycling:beverage_cartons,recycling:books,recycling:bottles,recycling:cans,recycling:cardboard,recycling:cartons,recycling:clothes,recycling:drugs,recycling:electrical_appliances,recycling:electrical_items,recycling:food_waste,recycling:garden_pots,recycling:garden_waste,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:lamps,recycling:magazines,recycling:newspaper,recycling:organic,recycling:organic_waste,recycling:paper,recycling:paper_packaging,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling:scrap_metal,recycling:shoes,recycling:small_appliances,recycling:tetrapak,recycling:waste,recycling:wood,recycling_type,geometry
node/303825079,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5994189 46.30939)
node/303827895,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5983826 46.3082568)
node/303828166,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6052746 46.3101443)
node/303832104,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5979216 46.3061959)
node/303832106,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5974179 46.3059053)
node/303832129,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,container,POINT (11.6036892 46.3094436)
node/303846253,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1069372 46.141766)
node/304051814,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6003589 46.302835)
node/305506277,recycling,,yes,,yes,,,yes,yes,yes,,,,,,,,yes,yes,yes,,yes,yes,,,yes,yes,yes,,yes,,,,,yes,,centre,POINT (11.6764612 46.4214214)
node/305510178,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6658685 46.3778378)
node/307451882,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7015459 46.4582297)
node/307660122,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7150291 46.4621462)
node/307660328,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7140176 46.4640282)
node/307661696,recycling,,,,,,,yes,,,,,,,yes,,,,yes,yes,,,,,,yes,,yes,,,,,,,,,container,POINT (11.7274881 46.4694655)
node/307661698,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7248891 46.4684066)
node/318604028,recycling,,,yes,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,centre,POINT (10.9925562 45.8448658)
node/319980632,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2148435 46.085752)
node/319980634,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2132706 46.0854126)
node/353182845,recycling,,,yes,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,yes,,,,,,container,POINT (10.8363745 45.8977208)
node/367891492,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,container,POINT (11.2561724 45.939243)
node/387520123,recycling,,,,yes,yes,,yes,yes,,,,,,,,,,yes,yes,,yes,yes,,,yes,yes,,yes,yes,,,,,yes,,container,POINT (11.1102968 46.166018)
node/387881374,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1276384 46.1980174)
node/387882015,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1236448 46.213014)
node/387882216,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1272663 46.2173878)
node/388393170,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1259021 46.2070317)
node/388393379,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1159994 46.2169732)
node/388416093,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0930448 46.2152356)
node/388416094,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0926627 46.2139554)
node/388416126,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0948889 46.2124545)
node/388416136,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0978409 46.2111328)
node/389537176,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0980325 46.1925465)
node/389537177,recycling,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1004977 46.1925456)
node/389537187,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1011168 46.193837)
node/389537213,recycling,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,container,POINT (11.101153 46.2007498)
node/392856705,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0961156 46.2062939)
node/412775285,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1370109 46.1789364)
node/413736734,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.134887 46.1973142)
node/413736746,recycling,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1280562 46.2071335)
node/415496892,recycling,,,,,,,yes,,,,,,,,,,,yes,yes,,,,,,yes,,yes,,,,,,,,,container,POINT (10.7348829 46.3084658)
node/415504560,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (10.8266038 46.3195741)
node/416856002,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,no,yes,no,,,,,,,container,POINT (10.8756611 45.8729562)
node/417675340,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2343793 46.0595575)
node/417675343,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.23373 46.0578252)
node/417675376,recycling,,,,,,,yes,,,yes,,,,,,,yes,,,,,,,,no,,,,,,,,,,,container,POINT (11.2336981 46.0473742)
node/417675386,recycling,,,,,,,yes,,,no,,,,,,,no,yes,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.2322696 46.0443352)
node/417675959,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,container,POINT (11.2274718 46.0284879)
node/417680265,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2290859 46.0662448)
node/417707398,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2205225 46.0351227)
node/417707627,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2226133 46.0499165)
node/417707628,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2228876 46.0504789)
node/417707847,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,container,POINT (11.2142896 46.0578296)
node/417709114,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2220178 46.0643342)
node/417969052,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2155389 46.0581367)
node/417969163,recycling,,,,,,,,,,,,,,yes,,,,yes,yes,,,,,,yes,,,,,,,,,,,container,POINT (11.2278638 46.0642561)
node/417969164,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2301418 46.0646264)
node/417969166,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2286148 46.0657882)
node/426311713,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (10.9655188 46.1413279)
node/428313971,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.121263 46.050144)
node/434132754,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.0528489 46.176065)
node/434209691,recycling,,,yes,,,,yes,,,yes,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1459495 46.0484302)
node/442296343,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,no,,yes,,,,,,,container,POINT (10.7503186 46.1167551)
node/447880434,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1403422 46.1994628)
node/447894738,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2056412 46.1970529)
node/449656396,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1377081 45.9177177)
