Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2015 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;150,420;;74,420;3,137;;11,900;18,490;10,386;4,725;2,291;89,580;;;;
Andriano;04021002;Comune;36,920;;71,370;1,406;49,710;17,180;21,040;2,035;4,010;0,405;35,000;;;;
Anterivo;04021003;Comune;;;18,580;0,513;;3,560;7,200;1,120;1,021;0,980;20,140;;;;
Appiano sulla strada del vino;04021004;Comune;1.941,405;;909,660;70,292;268,470;175,660;226,985;110,700;42,617;63,242;506,205;;;;
Avelengo;04021005;Comune;161,750;;62,500;4,590;19,200;15,180;4,880;6,400;9,355;1,622;81,460;;;;
Badia;04021006;Comune;915,170;;404,789;54,424;42,303;83,081;52,212;24,909;29,942;22,585;430,783;;;;
Barbiano;04021007;Comune;63,670;;68,800;75,385;;14,160;6,040;4,835;4,062;1,251;82,450;;;;
Bolzano;04021008;Comune;13.461,940;;9.682,820;1.003,572;2.223,320;331,910;1.992,540;549,068;223,569;540,930;136,590;;;;
Braies;04021009;Comune;115,620;;58,966;3,001;;14,508;17,706;3,218;4,242;1,856;44,474;;;;
Brennero;04021010;Comune;89,830;;231,020;4,593;3,040;21,850;35,810;8,766;9,295;16,989;120,130;;;;
Bressanone;04021011;Comune;2.342,596;;2.180,758;514,973;510,296;247,689;134,838;178,637;74,835;231,973;873,116;;;;
Bronzolo;04021012;Comune;228,580;;99,400;12,722;65,100;22,830;25,660;18,480;5,780;20,414;76,260;;;;
Brunico;04021013;Comune;2.600,400;;1.587,705;49,296;462,998;188,655;191,073;112,657;79,552;145,775;678,960;;;;
Caines;04021014;Comune;32,207;;17,453;0,922;7,949;6,029;1,752;2,514;0,993;3,486;13,781;;;;
Caldaro sulla strada del vino;04021015;Comune;712,160;;534,550;488,879;212,260;134,730;167,160;57,824;50,599;38,380;403,530;;;;
Campo di Trens;04021016;Comune;189,860;;155,260;8,976;;18,610;27,860;15,250;11,601;19,873;86,920;;;;
Campo Tures;04021017;Comune;604,320;;444,664;173,494;57,280;64,849;149,140;61,782;23,442;42,578;236,618;;;;
Castelbello-Ciardes;04021018;Comune;386,320;;279,650;4,703;40,220;52,820;9,610;13,540;6,719;11,560;112,700;;;;
Castelrotto;04021019;Comune;1.016,461;;518,850;12,959;65,956;108,311;148,601;43,765;13,062;17,010;373,325;;;;
Cermes;04021020;Comune;192,140;;81,151;2,194;29,484;19,455;5,947;8,779;6,959;0,635;60,064;;;;
Chienes;04021021;Comune;395,890;;185,079;32,137;1,780;24,405;;10,159;10,077;14,141;106,657;;;;
Chiusa;04021022;Comune;468,720;;344,400;130,581;20,320;84,500;127,900;28,008;19,963;19,958;203,158;;;;
Cornedo all\'Isarco;04021023;Comune;216,490;;85,540;6,158;43,400;33,800;34,800;12,095;4,440;3,471;63,010;;;;
Cortaccia sulla strada del vino;04021024;Comune;687,340;;101,880;47,387;1,770;25,105;42,923;7,816;6,065;14,430;107,752;;;;
Cortina sulla strada del vino;04021025;Comune;77,040;;35,990;3,920;;11,190;11,170;4,633;1,564;3,483;26,490;;;;
Corvara in Badia;04021026;Comune;720,140;;340,611;21,644;25,057;71,899;48,048;22,993;21,203;12,885;309,267;;;;
Curon Venosta;04021027;Comune;67,530;;149,760;61,607;99,300;51,600;15,650;21,180;9,219;21,820;140,000;;;;
Dobbiaco;04021028;Comune;309,720;;247,540;15,583;28,491;40,261;104,173;12,057;10,049;23,896;141,286;;;;
Egna;04021029;Comune;523,040;;188,030;88,369;66,368;35,610;77,950;14,810;19,182;8,052;123,620;;;;
Falzes;04021030;Comune;482,920;;126,020;11,118;;29,910;46,480;10,260;11,395;10,961;85,280;;;;
Fie allo Sciliar;04021031;Comune;228,800;;191,230;6,611;;52,970;69,660;19,141;8,200;13,953;172,970;;;;
Fortezza;04021032;Comune;18,450;;45,350;0,647;;2,270;10,900;1,101;2,937;6,511;18,600;;;;
Funes;04021033;Comune;177,340;;108,230;87,767;;32,880;20,710;16,518;5,041;6,460;79,960;;;;
Gais;04021034;Comune;375,740;;189,209;12,770;101,950;60,083;55,280;14,347;9,694;5,620;67,038;;;;
Gargazzone;04021035;Comune;351,951;;95,093;1,519;7,109;15,900;14,404;10,284;3,341;0,718;73,260;;;;
Glorenza;04021036;Comune;50,670;;63,374;1,888;2,800;8,354;0,360;5,792;3,114;3,335;70,011;;;;
La Valle;04021117;Comune;58,210;;74,721;4,729;1,410;8,645;0,120;0,020;2,732;3,410;44,484;;;;
Laces;04021037;Comune;641,750;;412,300;10,463;83,000;64,750;25,620;38,559;14,688;14,610;204,760;;;;
Lagundo;04021038;Comune;707,160;;263,900;3,499;83,340;57,300;22,180;28,431;41,458;10,017;200,860;;;;
Laion;04021039;Comune;141,300;;101,030;113,346;;20,260;31,200;7,526;4,817;10,571;60,270;;;;
Laives;04021040;Comune;976,840;;1.080,950;657,417;275,400;90,060;279,500;104,747;38,896;56,780;54,200;;;;
Lana;04021041;Comune;1.196,530;;792,477;13,689;57,836;112,848;93,567;92,191;45,922;72,333;413,192;;;;
Lasa;04021042;Comune;144,810;;399,265;5,175;65,120;38,468;14,280;48,547;7,741;24,580;162,219;;;;
Lauregno;04021043;Comune;;;16,660;1,541;;6,840;1,100;1,181;0,318;0,143;4,800;;;;
Luson;04021044;Comune;65,690;;74,140;54,591;3,140;16,920;16,280;5,410;4,881;2,797;57,370;;;;
Magre sulla strada del vino;04021045;Comune;146,620;;1,600;1,940;;;;0,020;0,856;1,383;1,830;;;;
Malles Venosta;04021046;Comune;62,170;;204,457;6,390;53,490;27,854;10,630;26,436;11,475;30,928;139,428;;;;
Marebbe;04021047;Comune;300,580;;227,079;2,202;;35,868;19,500;8,907;16,012;7,550;191,598;;;;
Marlengo;04021048;Comune;309,890;;145,009;23,803;52,416;34,585;10,573;15,606;18,109;15,948;120,916;;;;
Martello;04021049;Comune;5,090;;43,390;0,074;10,980;17,000;4,810;6,412;3,538;5,620;41,740;;;;
Meltina;04021050;Comune;14,860;;51,010;3,951;;10,420;7,460;6,340;2,811;9,560;35,880;;;;
Merano;04021051;Comune;3.579,880;;3.635,460;23,615;765,930;430,600;87,310;262,663;110,357;357,295;2.056,170;;;;
Monguelfo-Tesido;04021052;Comune;514,290;;202,450;127,755;0,720;45,369;70,824;12,872;10,967;17,885;113,320;;;;
Montagna;04021053;Comune;192,480;;87,860;10,738;;25,040;28,160;10,335;5,948;9,204;83,770;;;;
Moso in Passiria;04021054;Comune;80,863;;114,158;2,284;20,290;17,238;8,194;10,766;9,171;0,898;75,305;;;;
Nalles;04021055;Comune;396,120;;89,401;3,259;45,217;23,965;13,566;12,193;6,670;0,809;67,245;;;;
Naturno;04021056;Comune;1.284,700;;443,720;107,928;23,880;75,360;28,990;49,276;27,261;28,520;269,680;;;;
