Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2015 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Naz-Sciaves;04021057;Comune;313,392;;100,910;70,981;0,060;7,610;19,170;9,830;4,333;11,265;148,810;;;;
Nova Levante;04021058;Comune;353,330;;142,890;16,022;;9,920;79,810;13,058;9,222;0,764;105,690;;;;
Nova Ponente;04021059;Comune;238,030;;286,770;19,727;61,200;67,130;82,940;25,083;7,198;17,220;185,400;;;;
Ora;04021060;Comune;527,870;;201,060;7,525;46,880;27,600;59,580;27,620;21,688;17,810;128,856;;;;
Ortisei;04021061;Comune;538,944;;619,040;5,594;43,693;86,131;100,738;24,664;5,166;29,830;295,962;;;;
Parcines;04021062;Comune;457,390;;229,680;14,742;71,640;62,080;15,760;28,239;15,572;17,046;142,660;;;;
Perca;04021063;Comune;178,726;;135,152;3,630;46,206;17,711;17,799;8,866;4,433;1,479;76,595;;;;
Plaus;04021064;Comune;96,110;;25,500;6,187;3,420;8,280;2,920;0,020;2,411;0,290;20,440;;;;
Ponte Gardena;04021065;Comune;;;23,880;4,003;;3,530;9,740;2,364;0,227;4,848;9,480;;;;
Postal;04021066;Comune;108,320;;96,231;2,022;8,785;16,373;13,739;13,734;4,004;0,773;52,987;;;;
Prato allo Stelvio;04021067;Comune;238,050;;344,544;10,340;26,940;37,904;14,610;10,581;7,914;22,457;141,150;;;;
Predoi;04021068;Comune;26,340;;28,590;0,125;5,600;7,966;2,200;1,066;1,325;9,260;16,128;;;;
Proves;04021069;Comune;;;7,008;0,978;;8,160;;1,180;0,572;0,113;11,340;;;;
Racines;04021070;Comune;340,450;;317,420;14,627;;26,180;85,460;0,092;21,605;20,541;284,320;;;;
Rasun-Anterselva;04021071;Comune;437,530;;228,051;12,215;2,490;34,039;73,485;16,570;12,436;24,039;174,665;;;;
Renon;04021072;Comune;371,910;;315,300;67,101;133,330;56,460;73,290;47,612;7,929;19,589;290,130;;;;
Rifiano;04021073;Comune;102,423;;55,267;2,920;25,171;19,091;5,548;7,958;2,997;11,059;43,639;;;;
Rio di Pusteria;04021074;Comune;343,190;;209,280;131,628;;50,320;49,140;13,228;7,240;9,191;164,280;;;;
Rodengo;04021075;Comune;83,440;;51,900;160,278;;15,120;12,600;3,637;0,942;0,887;38,940;;;;
Salorno;04021076;Comune;119,320;;178,310;45,025;75,950;51,530;78,390;15,124;10,162;15,082;112,940;;;;
San Candido;04021077;Comune;574,870;;406,317;223,226;21,831;60,023;131,523;15,436;16,963;26,452;198,504;;;;
San Genesio Atesino;04021079;Comune;125,220;;104,260;14,130;;36,940;34,170;16,864;5,515;5,598;67,300;;;;
San Leonardo in Passiria;04021080;Comune;309,948;;168,091;16,468;40,546;39,060;11,513;18,634;13,249;14,760;108,847;;;;
San Lorenzo di Sebato;04021081;Comune;410,094;;292,582;8,875;105,907;46,547;47,409;22,745;21,574;8,887;188,598;;;;
San Martino in Badia;04021082;Comune;144,790;;214,420;279,718;0,770;37,800;63,690;8,296;8,271;7,443;231,640;;;;
San Martino in Passiria;04021083;Comune;266,019;;147,911;5,168;37,704;37,261;11,073;18,570;13,902;14,620;112,828;;;;
San Pancrazio;04021084;Comune;33,350;;39,740;0,638;6,100;9,360;2,740;2,870;2,398;0,663;28,460;;;;
Santa Cristina Valgardena;04021085;Comune;248,936;;189,594;2,141;18,006;35,026;48,462;9,963;3,660;657,780;176,538;;;;
Sarentino;04021086;Comune;339,690;;197,580;77,222;;95,960;68,745;23,972;8,963;27,870;70,400;;;;
Scena;04021087;Comune;543,270;;227,660;17,206;21,320;47,280;19,140;14,371;18,620;3,675;244,800;;;;
Selva dei Molini;04021088;Comune;116,830;;58,740;60,912;;17,160;26,350;3,110;3,612;12,097;30,050;;;;
Selva di Val Gardena;04021089;Comune;678,109;;498,726;14,751;31,215;86,372;100,421;13,880;3,877;11,076;404,765;;;;
Senales;04021091;Comune;145,090;;78,410;1,041;25,760;26,650;5,060;3,472;3,011;13,130;76,870;;;;
Senale-San Felice;04021118;Comune;;;27,820;0,769;;9,380;2,340;1,414;1,362;0,777;21,000;;;;
Sesto;04021092;Comune;504,180;;226,710;31,566;13,415;48,412;101,886;9,258;10,086;10,042;195,083;;;;
Silandro;04021093;Comune;886,290;;522,950;23,991;0,060;60,950;276,450;35,953;14,759;15,200;227,320;;;;
Sluderno;04021094;Comune;15,410;;139,324;2,386;20,120;25,464;6,130;13,542;5,697;6,725;96,190;;;;
Stelvio;04021095;Comune;;;109,207;3,927;6,320;8,607;1,740;4,684;10,715;;49,903;;;;
Terento;04021096;Comune;248,940;;92,297;100,594;36,420;33,665;28,990;13,250;6,179;7,477;61,753;;;;
Terlano;04021097;Comune;274,630;;253,580;245,955;;59,360;66,648;30,759;7,316;13,233;183,600;;;;
Termeno sulla strada del vino;04021098;Comune;534,880;;188,640;15,614;78,640;43,530;44,740;19,906;9,153;23,730;132,840;;;;
Tesimo;04021099;Comune;88,580;;64,739;2,684;32,743;17,355;9,824;8,825;6,390;3,300;48,695;;;;
Tires;04021100;Comune;53,890;;44,770;2,624;;15,110;6,510;6,140;1,753;2,457;47,280;;;;
Tirolo;04021101;Comune;598,250;;203,700;2,655;19,260;42,940;15,980;13,662;18,658;6,985;203,740;;;;
Trodena nel parco naturale;04021102;Comune;24,520;;45,190;47,636;;20,480;19,580;4,627;0,637;1,424;32,140;;;;
Tubre;04021103;Comune;;;43,420;2,231;47,180;14,240;2,790;10,391;2,010;6,822;44,380;;;;
Ultimo;04021104;Comune;95,090;;164,460;12,750;;46,960;10,240;22,110;12,820;8,398;102,420;;;;
Vadena;04021105;Comune;229,700;;68,880;14,077;22,620;4,940;23,480;6,141;11,591;1,212;33,740;;;;
Val di Vizze;04021107;Comune;298,490;;163,110;4,442;;28,640;37,840;0,053;7,662;8,227;64,060;;;;
Valdaora;04021106;Comune;587,650;;225,019;215,850;3,330;31,872;73,485;16,570;16,527;6,834;157,777;;;;
Valle Aurina;04021108;Comune;741,560;;407,207;14,525;54,590;118,106;151,450;22,403;22,736;42,005;261,357;;;;
Valle di Casies;04021109;Comune;305,260;;149,150;99,378;35,100;38,060;67,340;10,820;9,041;18,411;88,120;;;;
Vandoies;04021110;Comune;327,730;;206,369;112,912;;32,633;25,150;21,046;10,894;23,304;96,177;;;;
Varna;04021111;Comune;672,398;;414,000;144,453;;6,620;8,880;1,639;8,958;16,533;210,280;;;;
Velturno;04021116;Comune;183,760;;105,080;136,102;;13,700;30,190;5,612;3,184;9,509;84,600;;;;
Verano;04021112;Comune;32,130;;37,540;43,294;4,700;6,060;3,020;0,030;3,352;9,510;25,540;;;;
Villabassa;04021113;Comune;162,680;;102,349;201,768;3,112;10,162;34,278;5,932;3,756;10,667;56,134;;;;
Villandro;04021114;Comune;82,020;;76,060;135,349;;12,220;31,250;4,307;2,215;5,132;60,960;;;;
Vipiteno;04021115;Comune;626,480;;656,530;23,798;;83,300;117,930;109,149;30,942;56,881;338,260;;;;


			



