Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2017 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Cimone;04022058;Comune;86,900;;53,130;3,551;18,416;10,141;31,597;5,356;1,169;1,374;28,339;10,500;;;
Cinte Tesino;04022059;Comune;27,377;;17,819;2,223;6,680;6,600;16,811;3,202;0,902;0,173;6,708;5,310;;;
Cis;04022060;Comune;31,825;;19,817;2,726;11,448;5,022;8,880;2,651;0,875;0,706;10,626;4,530;;;
Civezzano;04022061;Comune;408,725;;280,571;17,674;50,696;36,452;86,663;18,696;9,618;11,472;146,515;60,375;;;
Cles;04022062;Comune;716,879;;446,388;61,401;257,877;113,132;200,012;59,728;19,714;15,897;239,365;105,135;;;
Cloz;04022063;Comune;73,646;;45,858;6,307;26,492;11,623;20,547;6,136;2,026;1,633;24,591;10,140;;;
Comano Terme;04022228;Comune;337,256;;249,132;22,354;74,725;47,221;155,894;27,949;5,589;8,113;155,431;44,460;;;
Commezzadura;04022064;Comune;120,912;;80,492;5,131;54,559;27,849;39,494;13,145;2,088;2,981;65,409;15,150;;;
Conta\';04022242;Comune;153,923;;95,845;13,183;55,369;24,291;42,945;12,824;4,233;3,413;51,395;21,270;;;
Croviana;04022068;Comune;60,228;;38,499;3,020;22,160;13,379;20,392;6,010;2,846;2,298;20,875;10,260;;;
Daiano;04022070;Comune;117,766;;62,797;6,343;10,873;11,712;52,714;5,468;2,015;1,756;5,541;;;;
Dambel;04022071;Comune;45,187;;28,138;3,870;16,255;7,131;12,607;3,765;1,243;1,002;15,088;6,450;;;
Denno;04022074;Comune;132,502;;82,507;11,349;47,664;20,911;36,969;11,040;3,643;2,938;44,242;18,960;;;
Dimaro Folgarida;04022233;Comune;572,033;;202,238;12,934;92,441;50,832;111,066;29,713;4,626;5,547;176,572;32,340;;;
Drena;04022078;Comune;54,699;;55,438;3,254;15,638;10,542;38,164;2,624;0,785;;7,350;8,610;;;
Dro;04022079;Comune;515,601;;301,331;30,652;117,092;64,570;293,290;24,453;8,146;0,160;40,000;74,790;;;
Faedo;04022080;Comune;81,817;;50,022;3,342;17,339;9,547;29,749;5,042;1,101;1,294;26,682;9,720;;;
Fai della Paganella;04022081;Comune;184,573;;112,844;7,540;39,115;21,538;67,112;11,376;2,483;2,919;60,192;13,575;;;
Fiave;04022083;Comune;104,477;;77,178;6,925;23,149;14,628;48,294;8,658;1,732;2,513;48,151;16,320;;;
Fierozzo;04022085;Comune;47,850;;34,982;1,665;7,857;11,502;9,205;2,694;1,245;1,052;18,468;3,312;;;
Folgaria;04022087;Comune;571,734;;318,294;20,926;153,955;56,559;157,480;40,025;6,842;10,575;217,070;47,415;;;
Fondo;04022088;Comune;175,650;;109,374;15,045;63,185;27,719;49,007;14,635;4,830;3,895;58,650;21,705;;;
Fornace;04022089;Comune;126,399;;94,671;4,033;17,064;12,272;29,155;6,295;3,358;3,863;49,423;20,145;;;
Frassilongo;04022090;Comune;45,058;;28,260;1,731;3,137;7,858;7,462;2,594;1,022;0,856;14,918;3,205;;;
Garniga Terme;04022091;Comune;52,286;;31,966;2,137;11,081;6,101;19,011;3,223;0,703;0,827;17,051;5,625;;;
Giovo;04022092;Comune;310,446;;189,800;12,683;65,789;36,225;112,880;19,134;4,175;4,909;101,240;37,815;;;
Giustino;04022093;Comune;103,418;;76,396;6,855;22,914;14,480;47,805;8,571;1,715;2,488;47,663;10,875;;;
Grigno;04022095;Comune;41,731;;108,306;14,512;39,057;35,295;112,623;16,954;4,763;0,947;42,973;32,895;;;
Imer;04022097;Comune;96,906;;65,084;7,855;25,649;16,084;65,486;6,526;2,604;0,511;;17,925;;;
Isera;04022098;Comune;320,682;;192,905;13,246;60,344;33,355;196,898;18,978;6,502;2,856;;41,850;;;
Lavarone;04022102;Comune;192,975;;127,952;9,106;83,487;34,436;74,087;20,242;4,428;3,000;110,430;17,355;;;
Lavis;04022103;Comune;1.089,528;;666,119;44,510;230,886;127,133;396,153;67,151;14,654;17,233;355,306;134,535;;;
Ledro;04022229;Comune;436,050;;387,679;43,345;169,190;99,802;396,644;38,387;9,589;4,272;51,360;79,380;;;
Levico Terme;04022104;Comune;1.014,961;;697,012;20,934;136,280;72,985;176,112;45,818;14,514;16,994;373,094;71,179;;;
Livo;04022106;Comune;86,804;;54,051;7,435;31,226;13,698;24,219;7,232;2,386;1,925;28,984;12,390;;;
Lona-Lases;04022108;Comune;107,718;;65,856;4,400;22,827;12,570;39,167;6,638;1,449;1,703;35,128;13,215;;;
Luserna;04022109;Comune;37,303;;16,784;1,399;14,420;6,193;11,657;3,052;0,940;1,525;24,200;3,945;;;
Madruzzo;04022243;Comune;354,380;;216,661;14,477;75,100;41,352;128,853;21,842;4,768;5,604;115,568;43,290;;;
Male;04022110;Comune;321,328;;165,466;6,588;41,570;37,849;55,087;27,055;3,272;4,413;97,083;29,060;;;
Malosco;04022111;Comune;66,302;;41,285;5,678;23,850;10,463;18,499;5,524;1,823;1,470;22,138;6,495;;;
Massimeno;04022112;Comune;12,266;;9,060;0,813;2,718;1,717;5,670;1,016;0,203;0,295;5,653;2,010;;;
Mazzin;04022113;Comune;106,066;;53,190;4,957;35,750;12,208;46,410;3,942;2,040;1,899;;;;;
Mezzana;04022114;Comune;420,104;;126,102;6,889;54,360;30,887;59,378;14,220;2,161;1,864;139,120;13,425;;;
Mezzano;04022115;Comune;130,617;;87,725;10,588;34,571;21,679;88,265;8,797;3,509;0,689;;24,045;;;
Mezzocorona;04022116;Comune;672,208;;410,975;27,462;142,454;78,439;244,418;41,430;9,042;10,631;219,216;82,155;;;
Mezzolombardo;04022117;Comune;860,896;;526,334;35,170;182,440;100,457;313,025;53,061;11,579;13,614;280,750;107,340;;;
Moena;04022118;Comune;634,403;;282,934;25,322;198,530;80,782;284,609;8,560;5,303;8,420;;;;;
Molveno;04022120;Comune;302,579;;184,990;12,361;64,122;35,307;110,018;18,649;4,069;4,785;98,675;16,845;;;
Mori;04022123;Comune;1.018,656;;576,867;43,320;192,553;93,522;363,942;77,983;17,290;7,755;342,790;147,690;;;
Nago-Torbole;04022124;Comune;730,050;;354,511;45,083;91,810;72,288;441,898;16,600;2,845;1,960;45,400;36,420;;;
Nave San Rocco;04022126;Comune;168,597;;103,077;6,888;35,729;19,674;61,302;10,391;2,267;2,666;54,982;21,090;;;
Nogaredo;04022127;Comune;206,320;;127,970;9,047;31,189;17,283;75,779;9,242;2,835;2,139;78,180;30,990;;;
Nomi;04022128;Comune;148,636;;98,237;5,982;13,536;9,975;48,979;6,178;1,523;7,951;42,860;17,539;;;
Novaledo;04022129;Comune;38,632;;51,621;3,430;18,861;11,975;19,864;7,013;2,351;0,470;29,242;16,215;;;
Ospedaletto;04022130;Comune;13,795;;36,449;4,403;12,260;11,394;32,740;5,146;1,706;0,349;14,183;12,045;;;
Ossana;04022131;Comune;116,310;;63,735;3,403;30,250;22,367;26,888;9,988;3,003;3,318;45,492;12,555;;;
Palu del Fersina;04022133;Comune;18,243;;13,072;0,473;5,557;5,795;3,448;1,531;0,564;0,395;6,901;1,244;;;
Panchia ;04022134;Comune;149,153;;79,533;8,034;13,769;14,834;66,763;6,926;2,551;2,224;7,018;;;;
Peio;04022136;Comune;244,288;;135,168;5,490;56,370;42,626;57,429;20,141;3,566;2,419;112,302;7,400;;;
Pellizzano;04022137;Comune;85,241;;61,642;3,576;24,400;21,500;25,049;14,540;2,100;2,778;45,392;11,685;;;
Pelugo;04022138;Comune;38,296;;28,290;2,538;8,485;5,362;17,702;3,173;0,633;0,921;17,649;5,865;;;
Pergine Valsugana;04022139;Comune;4.673,207;;1.544,660;109,025;519,949;274,366;572,020;164,573;66,087;100,682;778,031;320,760;;;
Pieve Di Bono-Prezzo;04022234;Comune;130,949;;96,732;8,680;29,014;18,335;60,531;10,852;2,171;3,150;60,351;21,630;;;
Pieve Tesino;04022142;Comune;51,109;;37,658;5,072;14,322;14,577;39,327;6,776;1,897;0,359;23,307;9,840;;;
Pinzolo;04022143;Comune;716,250;;529,100;47,474;158,700;100,290;331,085;59,362;11,871;17,228;330,101;45,675;;;
Pomarolo;04022144;Comune;196,990;;137,021;10,180;39,659;21,197;84,649;14,811;3,883;2,637;68,650;37,305;;;
Porte Di Rendena;04022244;Comune;167,305;;123,588;11,089;37,069;23,425;77,336;13,866;2,772;4,025;77,106;27,105;;;
Pozza di Fassa;04022145;Comune;462,113;;285,019;25,628;75,954;123,410;325,560;16,702;5,964;3,618;;;;;
Predaia;04022230;Comune;763,702;;475,544;65,407;274,719;120,520;213,078;63,626;20,996;16,934;255,001;100,110;;;
Predazzo;04022147;Comune;869,262;;463,516;46,824;80,250;86,451;389,099;40,362;14,884;12,961;40,902;;;;
Primiero San Martino Di Castrozza;04022245;Comune;981,993;;659,522;79,588;259,909;162,983;663,592;66,140;26,387;5,182;;80,970;;;
