Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2018 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Caldaro sulla strada del vino;04021015;Comune;756,247;73,710;573,420;22,400;225,110;128,060;181,220;59,895;60,997;47,050;505,810;121,560;100,360;;
Campo di Trens;04021016;Comune;265,440;29,885;170,648;1,528;17,210;28,930;36,407;11,680;10,731;21,848;81,337;30,700;;;
Campo Tures;04021017;Comune;574,590;51,240;476,515;19,612;76,460;84,826;165,590;70,906;29,732;52,561;244,750;43,590;118,540;;
Castelbello-Ciardes;04021018;Comune;408,490;18,800;262,330;3,620;31,640;48,680;9,460;11,686;6,122;12,070;112,410;34,470;;;
Castelrotto;04021019;Comune;1.143,640;63,457;592,976;15,289;80,370;143,136;164,039;49,327;15,222;13,838;454,621;59,360;;;
Cermes;04021020;Comune;180,851;17,647;87,099;;28,663;17,374;6,156;6,501;5,063;5,671;76,514;11,635;79,620;;
Chienes;04021021;Comune;405,220;;212,443;2,869;;22,999;30,036;8,648;9,403;14,014;110,984;9,500;;;
Chiusa;04021022;Comune;442,470;208,620;356,302;0,104;126,510;121,736;136,332;21,534;21,957;22,835;237,116;78,225;;;
Cornedo all\'Isarco;04021023;Comune;267,650;35,310;104,020;;53,220;33,050;46,106;12,059;5,581;4,381;40,090;21,830;;;
Cortaccia sulla strada del vino;04021024;Comune;1.027,119;108,298;95,106;2,754;7,040;23,856;48,381;13,084;11,042;13,100;61,870;;;;
Cortina sulla strada del vino;04021025;Comune;53,200;23,220;34,090;1,170;;10,750;13,400;2,868;1,564;3,255;32,360;7,990;;;
Corvara in Badia;04021026;Comune;837,260;11,660;372,341;13,799;91,862;88,539;42,968;29,405;17,779;13,975;369,319;20,670;;;
Curon Venosta;04021027;Comune;63,290;150,300;161,590;10,300;92,080;57,260;16,280;22,062;10,698;15,720;142,780;35,835;232,060;;
Dobbiaco;04021028;Comune;402,220;34,730;234,983;15,008;42,811;46,285;114,283;12,999;12,259;20,880;160,383;15,053;87,000;;
Egna;04021029;Comune;381,570;70,040;186,200;6,210;100,500;38,140;83,390;33,241;14,629;6,407;130,060;65,840;;;
Falzes;04021030;Comune;369,790;79,770;160,829;9,448;1,140;38,382;65,974;7,800;10,814;11,198;106,429;42,345;61,780;;
Fie allo Sciliar;04021031;Comune;212,920;104,983;235,900;4,370;21,870;66,420;86,500;28,773;8,243;14,169;195,580;40,535;189,530;;
Fortezza;04021032;Comune;46,540;12,274;59,960;0,030;13,210;13,630;22,110;2,189;2,819;7,054;38,340;;;;
Funes;04021033;Comune;191,540;64,080;118,307;0,036;0,330;36,552;26,060;13,005;7,258;7,171;95,244;1,310;;;
Gais;04021034;Comune;331,260;42,200;200,173;0,043;90,740;64,613;62,960;13,672;11,757;14,658;118,725;49,665;91,920;;
Gargazzone;04021035;Comune;280,003;4,590;90,383;;5,999;13,964;15,083;8,568;3,926;5,894;71,423;3,298;6,910;;
Glorenza;04021036;Comune;29,955;70,570;106,624;4,351;30,685;25,369;7,256;6,633;7,158;2,484;128,579;13,500;;;
La Valle;04021117;Comune;58,140;2,440;116,815;1,035;5,050;6,588;1,818;;2,144;8,426;50,121;5,470;;;
Laces;04021037;Comune;745,400;37,080;387,480;7,660;72,940;64,379;25,660;38,508;15,896;18,580;207,250;80,360;;;
Lagundo;04021038;Comune;697,560;130,620;278,900;;119,180;60,860;22,360;31,383;36,065;10,175;231,320;52,260;72,230;;
Laion;04021039;Comune;157,390;69,920;104,480;1,510;24,420;21,440;29,330;12,651;7,380;15,450;64,580;38,260;;;
Laives;04021040;Comune;1.113,412;220,740;1.097,724;42,640;318,250;172,345;345,400;103,538;46,582;82,545;569,651;195,080;249,670;;
Lana;04021041;Comune;1.037,738;40,290;791,956;;52,661;102,804;106,392;75,218;39,291;107,587;437,861;28,946;332,790;;
Lasa;04021042;Comune;160,550;29,660;321,293;8,556;54,360;48,945;15,639;50,710;8,366;14,520;143,471;35,890;26,060;;
Lauregno;04021043;Comune;;6,460;9,420;0,080;;1,000;0,620;;0,104;0,159;4,540;;;;
Luson;04021044;Comune;121,555;29,761;75,396;0,176;17,440;21,170;13,219;6,716;5,696;2,610;72,149;23,610;;;
Magre sulla strada del vino;04021045;Comune;149,970;58,952;54,428;1,576;;13,654;27,689;7,426;3,052;1,376;35,410;;;;
Malles Venosta;04021046;Comune;61,558;56,240;351,608;6,476;70,642;45,676;13,948;28,522;10,545;35,336;155,145;79,080;308,180;;
Marebbe;04021047;Comune;438,311;30,560;270,870;2,005;11,370;56,268;26,489;13,476;18,259;12,920;216,905;46,215;25,300;;
Marlengo;04021048;Comune;360,379;31,373;154,841;;50,957;30,886;10,944;11,557;12,234;10,063;136,026;20,685;50,260;;
Martello;04021049;Comune;4,880;7,980;43,560;1,610;11,580;17,420;5,060;5,400;3,160;;36,650;12,615;;;
Meltina;04021050;Comune;15,700;34,170;64,360;;;13,420;11,610;6,599;1,687;5,240;54,680;18,020;17,480;;
Merano;04021051;Comune;3.795,480;335,540;3.514,430;12,140;801,680;412,680;121,160;250,728;122,047;300,800;2.103,000;63,230;738,420;;
Monguelfo-Tesido;04021052;Comune;502,568;8,456;208,473;9,829;2,960;49,183;83,852;13,920;10,490;19,738;117,709;43,710;80,404;;
Montagna;04021053;Comune;207,090;91,880;87,610;2,910;;25,650;34,300;9,883;6,291;7,889;80,380;24,320;;;
Moso in Passiria;04021054;Comune;75,593;25,266;108,432;0,582;16,201;18,959;8,725;8,788;8,203;7,225;76,069;12,475;;;
Nalles;04021055;Comune;229,824;24,790;84,110;;49,555;25,950;13,480;8,693;9,259;0,950;66,820;14,800;9,240;;
Naturno;04021056;Comune;1.280,287;9,930;435,220;;13,320;63,100;28,430;39,702;28,409;27,090;279,800;25,660;41,600;;
Naz-Sciaves;04021057;Comune;389,890;31,092;183,960;9,694;36,375;31,639;33,796;9,429;10,208;11,733;146,435;;;;
Nova Levante;04021058;Comune;300,490;89,980;128,960;7,330;;23,800;100,430;12,958;6,723;0,746;121,640;20,270;;;
Nova Ponente;04021059;Comune;509,050;110,210;317,200;16,080;97,170;79,960;99,380;25,910;6,663;18,930;229,620;;19,700;;
Ora;04021060;Comune;729,370;16,450;168,930;;67,940;26,090;102,615;27,522;19,449;18,581;111,720;35,570;23,000;;
Ortisei;04021061;Comune;610,819;83,788;491,088;0,419;94,334;108,297;105,760;30,349;5,519;38,090;255,783;0,056;186,620;;
Parcines;04021062;Comune;570,860;49,530;223,260;3,600;67,340;62,220;16,060;26,786;16,684;15,403;159,280;56,745;25,680;;
Perca;04021063;Comune;190,624;20,777;153,424;1,305;44,629;21,625;20,407;8,998;6,878;2,046;90,233;18,950;2,140;;
Plaus;04021064;Comune;156,070;8,590;26,040;;3,580;5,120;2,840;;1,471;0,630;23,900;5,250;;;
Ponte Gardena;04021065;Comune;18,500;3,990;22,060;;5,440;5,350;10,240;1,267;1,091;7,248;11,055;;;;
Postal;04021066;Comune;173,610;6,120;71,844;;7,999;14,832;15,657;11,425;4,748;7,686;56,057;4,397;2,470;;
Prato allo Stelvio;04021067;Comune;248,480;12,652;294,923;5,653;20,700;47,069;15,998;17,648;11,603;28,755;166,590;34,440;;;
Predoi;04021068;Comune;35,170;10,280;25,991;;6,740;3,082;3,180;2,190;1,654;3,543;16,771;;17,040;;
Proves;04021069;Comune;;6,120;12,840;0,080;;8,500;;6,088;0,646;0,126;11,160;;;;
Racines;04021070;Comune;450,170;44,260;382,768;0,012;58,250;33,784;132,483;1,094;21,737;28,262;313,592;31,180;2,040;;
Rasun-Anterselva;04021071;Comune;511,930;4,620;244,914;11,540;2,130;32,670;88,915;17,377;14,114;27,006;187,549;43,755;108,020;;
Renon;04021072;Comune;533,620;59,000;357,620;8,480;204,460;68,420;94,880;43,621;9,961;27,581;309,360;17,600;47,660;;
Rifiano;04021073;Comune;93,725;24,791;57,730;;35,948;19,197;6,019;8,531;4,500;21,939;38,167;20,430;;;
Rio di Pusteria;04021074;Comune;417,950;106,510;298,906;0,187;8,460;65,903;71,703;17,432;17,965;6,473;234,460;45,440;;;
Rodengo;04021075;Comune;87,760;16,922;65,199;3,514;12,090;3,649;16,555;4,090;3,933;0,627;43,554;;;;
Salorno;04021076;Comune;167,510;66,380;183,130;5,790;103,700;55,150;85,730;26,386;9,316;23,681;125,200;57,405;;;
San Candido;04021077;Comune;740,520;255,310;443,992;3,394;116,143;85,037;184,176;29,889;17,494;22,268;263,955;46,843;186,620;;
San Genesio Atesino;04021079;Comune;155,200;72,280;108,400;9,460;;39,530;39,040;16,783;9,341;8,850;89,220;40,490;;;
San Leonardo in Passiria;04021080;Comune;359,369;60,127;165,384;0,989;49,760;38,281;13,077;16,715;24,063;24,431;102,036;26,402;119,300;;
San Lorenzo di Sebato;04021081;Comune;563,041;96,228;310,688;28,461;99,896;55,765;55,279;23,133;26,010;6,295;210,548;51,092;;;
San Martino in Badia;04021082;Comune;320,869;60,217;144,784;0,989;49,760;38,021;11,957;17,551;14,938;23,171;114,016;22,162;26,980;;
San Martino in Passiria;04021083;Comune;182,410;19,200;320,666;10,575;1,070;21,769;89,754;19,519;10,730;21,273;253,366;20,910;;;
San Pancrazio;04021084;Comune;36,890;35,035;38,344;;4,840;6,220;2,420;6,231;2,145;0,729;24,240;5,600;7,670;;
Santa Cristina Valgardena;04021085;Comune;366,741;157,494;199,473;0,581;71,575;53,019;51,841;12,236;2,470;2,846;171,226;1,900;5,280;;
Sarentino;04021086;Comune;340,330;71,030;256,540;42,113;102,510;76,384;168,389;40,859;9,730;39,100;125,953;29,930;50,190;;
Scena;04021087;Comune;912,345;32,020;250,740;0,120;28,340;40,920;19,880;15,666;22,168;4,766;279,960;;11,390;;
Selva dei Molini;04021088;Comune;117,770;34,920;56,411;5,889;;22,440;26,394;5,466;4,586;10,792;37,635;21,480;;;
Selva di Val Gardena;04021089;Comune;719,680;48,668;525,084;0,222;54,951;103,783;111,397;17,685;4,458;11,414;488,560;;37,680;;
Senales;04021091;Comune;180,500;9,400;87,490;2,050;24,200;24,940;4,800;1,896;2,611;15,450;120,780;14,050;68,780;;
Senale-San Felice;04021118;Comune;;20,440;32,640;;;12,220;2,440;7,350;2,351;1,562;21,710;;17,910;;
Sesto;04021092;Comune;559,440;28,370;225,247;2,250;29,305;53,131;111,872;12,482;9,658;11,613;212,626;6,541;64,060;;
Silandro;04021093;Comune;871,490;21,040;436,344;2,376;38,100;62,185;374,272;26,296;9,219;30,370;225,026;79,710;147,100;;
Sluderno;04021094;Comune;61,850;3,780;125,377;3,280;29,650;35,766;6,440;12,537;5,146;12,696;78,054;27,570;;;
Stelvio;04021095;Comune;0,100;6,880;104,189;5,320;7,220;15,448;5,680;3,217;10,209;;118,189;2,320;;;
Terento;04021096;Comune;280,020;18,320;85,400;3,440;43,290;43,640;38,290;12,366;3,611;9,493;62,990;26,490;;;
Terlano;04021097;Comune;564,915;139,860;253,300;17,020;1,930;64,650;94,940;23,463;5,901;13,828;177,040;67,095;123,740;;
Termeno sulla strada del vino;04021098;Comune;615,820;13,420;192,940;8,450;80,290;47,110;58,740;19,561;10,978;22,460;151,580;18,960;;;
Tesimo;04021099;Comune;175,564;24,790;84,110;;49,555;25,950;13,480;8,714;9,193;4,981;66,820;;9,240;;
Tires;04021100;Comune;82,170;48,220;48,600;;;10,940;22,370;6,346;1,358;1,982;42,020;7,410;26,000;;
Tirolo;04021101;Comune;588,060;27,530;217,360;0,280;19,500;43,520;17,640;15,872;20,557;7,106;235,640;36,750;21,910;;
Trodena nel parco naturale;04021102;Comune;179,420;66,040;52,470;4,000;;24,760;19,290;7,526;2,673;2,592;33,090;15,600;19,420;;
Tubre;04021103;Comune;;19,800;47,580;3,550;50,540;23,880;2,340;10,857;4,177;5,864;51,320;14,535;;;
Ultimo;04021104;Comune;101,110;72,375;171,380;;42,310;50,460;10,780;18,660;8,791;23,050;120,280;;;;
Vadena;04021105;Comune;255,952;15,540;71,813;;24,470;13,930;39,020;5,502;13,923;1,101;37,970;11,780;;;
Val di Vizze;04021107;Comune;372,800;39,110;229,546;0,050;33,600;37,810;91,550;0,495;7,901;10,164;115,360;6,500;;;
Valdaora;04021106;Comune;690,700;3,320;248,748;10,348;6,110;30,243;87,078;17,377;22,935;7,328;172,368;48,075;;;
Valle Aurina;04021108;Comune;804,580;51,200;458,832;17,087;70,830;123,559;168,664;13,706;23,932;34,514;288,975;90,330;35,680;;
Valle di Casies;04021109;Comune;327,220;12,620;173,494;0,444;37,244;127,495;17,662;9,510;10,536;12,990;116,114;34,800;;;
Vandoies;04021110;Comune;369,250;153,950;193,193;2,040;;44,991;33,490;21,843;11,804;37,199;109,053;50,085;60,260;;
Varna;04021111;Comune;723,526;72,026;560,687;10,819;176,538;64,704;58,807;39,069;20,660;26,452;248,256;70,410;102,170;;
Velturno;04021116;Comune;211,950;19,776;124,072;1,193;20,585;19,063;39,613;5,306;44,184;10,946;91,139;0,030;35,190;;
Verano;04021112;Comune;32,050;8,460;38,120;0,640;7,380;51,220;2,840;2,754;2,252;3,248;30,180;11,610;18,250;;
Villabassa;04021113;Comune;152,040;1,480;74,182;6,611;8,482;17,565;42,078;13,430;3,793;11,131;63,541;19,122;;;
Villandro;04021114;Comune;78,020;14,670;78,920;1,250;10,220;11,115;30,560;5,836;4,681;4,844;73,120;;92,940;;
Vipiteno;04021115;Comune;844,820;48,305;771,514;1,331;75,630;116,501;179,756;102,661;38,386;56,895;360,868;48,940;141,720;;


			



