Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2018 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;173,720;55,670;70,710;8,530;41,880;25,100;43,820;10,608;8,003;7,209;87,610;24,840;;;
Andriano;04021002;Comune;56,850;82,890;64,700;;106,490;18,980;33,810;1,875;4,085;0,387;42,200;15,450;;;
Anterivo;04021003;Comune;19,840;9,970;17,140;0,570;;2,400;11,030;2,638;0,648;0,670;21,380;5,970;;;
Appiano sulla strada del vino;04021004;Comune;2.566,010;121,230;992,540;23,180;403,830;223,980;279,850;119,334;36,819;78,143;598,100;224,010;281,760;;
Avelengo;04021005;Comune;236,870;23,770;87,980;;31,840;24,160;6,600;11,124;10,295;3,512;123,740;11,670;5,000;;
Badia;04021006;Comune;973,920;35,380;410,789;18,599;65,029;96,458;52,761;31,821;24,392;20,885;516,664;52,575;;;
Barbiano;04021007;Comune;83,620;10,350;74,900;0,440;10,500;11,880;5,920;2,065;6,432;0,871;84,680;;;;
Bolzano;04021008;Comune;13.641,318;1.079,575;9.790,824;167,919;2.671,620;870,900;2.277,748;547,511;245,342;431,960;4.279,949;992,360;775,120;;
Braies;04021009;Comune;128,332;1,374;64,096;3,752;;15,463;23,361;3,480;5,571;1,855;49,753;9,825;15,916;;
Brennero;04021010;Comune;203,390;26,890;250,740;0,358;59,080;24,200;57,900;5,868;12,242;20,737;170,950;26,320;;;
Bressanone;04021011;Comune;2.822,704;218,118;2.384,549;20,287;668,853;274,048;239,697;167,378;80,656;243,405;969,890;254,152;855,840;;
Bronzolo;04021012;Comune;242,680;20,760;100,013;3,839;86,440;26,369;83,330;21,470;7,060;28,049;70,053;42,120;63,620;;
Brunico;04021013;Comune;2.832,635;249,965;1.603,505;15,668;419,495;204,291;221,806;110,637;78,295;171,958;740,322;250,740;507,800;;
Caines;04021014;Comune;29,695;7,829;18,230;;11,352;6,063;1,901;2,693;1,784;0,186;12,053;5,925;;;
