Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;154,942;31,820;84,717;8,331;36,380;16,981;44,303;7,490;7,649;4,300;64,683;14,070;;;
Andriano;04021002;Comune;38,860;55,090;57,400;3,660;76,790;10,940;22,450;0,889;2,007;;25,860;15,375;;;
Anterivo;04021003;Comune;;19,310;15,376;1,007;;3,657;10,003;0,968;1,560;0,600;13,328;5,895;;;
Appiano sulla strada del vino;04021004;Comune;2.117,190;113,170;961,620;35,240;342,360;186,230;263,620;116,059;44,078;69,000;609,080;222,000;171,340;;
Avelengo;04021005;Comune;262,290;;88,480;;30,020;15,680;4,640;13,445;8,287;3,600;137,900;11,940;;;
Badia;04021006;Comune;1.148,140;;425,089;18,490;2,682;37,347;45,582;35,966;6,016;12,738;607,547;28,935;;;
Barbiano;04021007;Comune;68,010;10,810;73,860;0,450;9,140;12,123;4,540;4,980;2,499;;96,965;;;;
Bolzano;04021008;Comune;11.765,756;859,350;8.341,710;109,910;2.453,100;822,848;2.796,770;518,549;191,353;452,810;5.031,970;525,360;635,650;;
Braies;04021009;Comune;132,272;0,768;48,292;2,051;16,248;12,108;20,274;3,057;3,890;;29,347;10,245;13,136;;
Brennero;04021010;Comune;229,690;23,770;203,000;;48,274;26,280;66,270;9,234;7,780;21,213;164,640;34,920;172,370;;
Bressanone;04021011;Comune;2.981,403;;2.200,404;1,822;758,906;290,436;265,052;209,878;95,343;231,926;1.153,561;289,240;561,480;;
Bronzolo;04021012;Comune;281,980;27,320;100,124;2,020;111,980;34,197;95,282;19,193;6,957;33,241;88,717;40,860;34,703;;
Brunico;04021013;Comune;2.635,210;272,298;1.598,999;25,304;461,268;202,599;209,965;97,748;61,481;133,684;819,060;254,670;420,130;;
Caines;04021014;Comune;35,909;9,792;19,133;0,542;10,954;5,333;1,531;2,695;1,846;;15,576;5,790;5,910;;
Caldaro sulla strada del vino;04021015;Comune;760,580;54,800;554,000;20,630;240,080;124,760;208,320;61,135;38,279;29,350;573,570;122,055;;;
Campo di Trens;04021016;Comune;203,211;16,137;170,891;2,090;28,205;33,794;51,342;17,288;10,021;19,263;108,303;26,165;43,380;;
Campo Tures;04021017;Comune;642,145;70,270;436,448;17,033;96,480;74,326;150,231;52,371;26,444;55,239;261,883;34,160;46,310;;
Castelbello-Ciardes;04021018;Comune;411,200;15,340;196,800;3,100;37,130;29,350;7,020;11,728;3,341;;150,430;29,400;;;
