Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2020 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Malles Venosta;04021046;Comune;54,284;38,144;343,687;8,957;49,487;44,052;12,666;26,674;13,074;16,634;148,164;51,677;;;
Marebbe;04021047;Comune;387,800;57,960;186,415;6,072;23,020;53,896;15,594;14,217;12,363;;172,194;46,845;41,220;;
Marlengo;04021048;Comune;291,109;28,192;142,553;;63,142;33,332;9,152;15,428;9,682;25,994;119,552;37,004;25,020;;
Martello;04021049;Comune;1,310;7,900;46,840;2,020;14,915;21,060;4,920;5,767;2,811;;35,460;12,525;58,320;;
Meltina;04021050;Comune;27,140;22,700;60,460;;;17,800;13,460;7,460;2,613;5,700;;25,545;8,640;;
Merano;04021051;Comune;3.120,820;287,110;3.131,300;13,890;641,770;361,970;129,390;226,489;103,768;250,005;2.070,000;44,580;862,380;;
Monguelfo-Tesido;04021052;Comune;531,918;1,200;181,519;6,788;1,780;43,357;79,617;13,018;9,906;13,417;103,533;43,830;62,544;;
Montagna;04021053;Comune;150,360;92,840;87,210;3,200;;31,430;31,990;13,792;5,360;6,500;72,920;25,605;;;
Moso in Passiria;04021054;Comune;71,793;;112,291;1,106;16,404;19,007;7,631;12,164;8,425;5,390;73,440;12,866;19,320;;
Nalles;04021055;Comune;304,232;43,345;93,370;;73,360;31,650;6,900;12,918;8,157;6,450;73,910;10,550;;;
Naturno;04021056;Comune;1.411,111;;408,060;;;55,160;21,890;35,570;18,287;33,750;248,780;10,100;;;
Naz-Sciaves;04021057;Comune;441,128;32,362;192,685;3,814;28,789;29,610;27,575;12,301;8,305;9,793;133,452;9,261;;;
Nova Levante;04021058;Comune;297,920;73,300;138,880;9,140;;25,660;93,890;15,179;6,185;;22,200;30,255;;;
Nova Ponente;04021059;Comune;525,390;91,340;303,130;19,500;96,000;78,800;100,980;28,389;7,588;8,500;173,320;;25,260;;
Ora;04021060;Comune;503,330;14,130;149,730;;60,360;31,500;118,240;28,206;19,113;9,600;118,400;39,440;25,140;;
Ortisei;04021061;Comune;593,905;116,329;415,352;0,462;108,139;122,298;89,911;37,136;6,043;25,730;254,823;;66,680;;
Parcines;04021062;Comune;561,330;50,470;222,840;3,440;73,320;63,020;13,380;43,304;17,511;16,050;143,680;57,690;49,120;;
Perca;04021063;Comune;194,687;20,243;148,948;1,306;39,347;19,532;18,108;8,051;5,915;0,832;78,889;16,570;7,180;;
Plaus;04021064;Comune;132,530;5,440;26,960;;6,540;8,820;2,400;;0,780;1,200;18,980;11,190;;;
Ponte Gardena;04021065;Comune;21,100;0,055;24,410;0,010;2,285;3,320;5,500;1,567;2,018;6,300;7,540;;;;
Postal;04021066;Comune;170,621;6,013;67,250;;8,849;15,288;15,505;13,174;4,008;5,952;54,168;4,946;31,090;;
Prato allo Stelvio;04021067;Comune;258,977;8,468;209,666;8,701;17,515;50,848;12,858;20,860;10,264;15,731;134,922;39,703;;;
Predoi;04021068;Comune;30,420;10,360;27,920;;8,520;13,381;;;1,614;2,943;17,013;;;;
Proves;04021069;Comune;;5,710;10,160;0,080;;10,620;;3,170;0,103;;6,940;;;;
Racines;04021070;Comune;428,100;14,320;337,790;;55,980;58,260;105,910;32,302;19,563;24,593;310,450;68,100;64,700;;
Rasun-Anterselva;04021071;Comune;511,970;6,260;222,557;10,303;4,260;40,105;82,989;21,808;13,080;23,536;167,857;44,115;78,020;;
Renon;04021072;Comune;546,779;52,960;366,160;5,640;234,080;23,540;102,860;42,892;12,675;52,200;300,600;19,100;;;
Rifiano;04021073;Comune;105,377;29,374;57,091;;36,495;22,967;4,134;7,205;2,991;11,980;43,518;21,165;5,980;;
Rio di Pusteria;04021074;Comune;403,130;80,984;253,596;0,762;44,470;99,486;70,353;16,425;15,704;6,150;204,415;47,250;;;
