Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2019 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;162,000;57,330;76,670;8,670;41,700;19,000;53,920;9,432;8,727;5,676;83,800;24,840;9,300;;
Andriano;04021002;Comune;67,610;94,390;68,780;;117,590;24,880;40,950;3,548;5,146;0,174;46,240;15,570;9,980;;
Anterivo;04021003;Comune;25,560;11,790;18,210;0,480;;8,140;10,100;0,891;1,275;1,511;19,610;5,925;;;
Appiano sulla strada del vino;04021004;Comune;2.463,050;78,640;1.009,641;34,387;362,980;239,772;273,103;114,694;59,478;85,267;609,287;199,340;179,680;;
Avelengo;04021005;Comune;254,720;;93,340;;27,660;19,620;6,040;14,083;10,787;2,584;123,700;11,700;;;
Badia;04021006;Comune;1.083,960;21,390;439,273;20,311;65,488;98,975;43,554;29,505;28,924;19,966;528,027;52,065;;;
Barbiano;04021007;Comune;146,440;14,213;80,980;0,430;12,740;13,765;5,360;3,662;6,003;0,876;75,950;;;;
Bolzano;04021008;Comune;14.359,010;35,790;9.461,823;92,820;3.006,590;896,270;2.261,300;569,643;253,873;440,860;4.202,800;992,160;706,340;;
Braies;04021009;Comune;134,996;0,660;61,589;2,623;;15,590;20,923;3,374;6,059;2,144;48,902;9,810;;;
Brennero;04021010;Comune;239,310;23,090;194,230;;36,920;20,720;60,230;6,950;11,853;22,798;175,970;22,590;335,360;;
Bressanone;04021011;Comune;2.873,124;;2.443,055;28,211;813,228;289,806;242,741;196,680;95,038;251,923;1.048,604;290,723;636,850;;
Bronzolo;04021012;Comune;284,140;14,930;84,438;5,264;96,810;21,824;93,822;19,379;6,672;40,618;83,332;41,745;42,450;;
Brunico;04021013;Comune;2.929,940;181,060;1.602,509;16,708;449,745;197,732;229,622;105,395;77,870;169,428;755,556;251,610;326,420;;
Caines;04021014;Comune;31,812;7,186;18,230;0,269;9,413;7,853;1,829;1,531;2,028;0,119;13,502;5,790;5,860;;
Caldaro sulla strada del vino;04021015;Comune;746,130;33,870;565,290;21,770;228,150;129,290;189,340;61,326;56,817;42,850;496,850;121,275;;;
Campo di Trens;04021016;Comune;276,110;17,516;145,150;0,720;22,260;37,450;36,660;16,923;15,337;21,546;83,060;39,260;;;
