Comune,Istat,Waste type,Quantity
Ronzone,4022159,Altro RD (t),7.094
Rovere della Luna,4022160,Altro RD (t),8.024
Rovereto,4022161,Altro RD (t),142.654
Ruffre-Mendola,4022162,Altro RD (t),5.374
Rumo,4022163,Altro RD (t),8.37
Sagron Mis,4022164,Altro RD (t),1.664
Samone,4022165,Altro RD (t),2.513
San Lorenzo Dorsino,4022231,Altro RD (t),11.65
San Michele all\'Adige,4022167,Altro RD (t),15.428
Sant\'Orsola Terme,4022168,Altro RD (t),4.062
Sanzeno,4022169,Altro RD (t),8.37
Sarnonico,4022170,Altro RD (t),8.824
Scurelle,4022171,Altro RD (t),8.971
Segonzano,4022172,Altro RD (t),7.856
Sella Giudicarie,4022246,Altro RD (t),19.956
Sfruz,4022173,Altro RD (t),4.15
Soraga,4022176,Altro RD (t),11.758
Sover,4022177,Altro RD (t),4.4
Spiazzo,4022179,Altro RD (t),10.633
Spormaggiore,4022180,Altro RD (t),6.764
Sporminore,4022181,Altro RD (t),6.299
Stenico,4022182,Altro RD (t),8.931
Storo,4022183,Altro RD (t),27.571
Strembo,4022184,Altro RD (t),5.059
Telve,4022188,Altro RD (t),7.199
Telve di Sopra,4022189,Altro RD (t),1.963
Tenna,4022190,Altro RD (t),4.077
Tenno,4022191,Altro RD (t),16.116
Terragnolo,4022193,Altro RD (t),2.744
Terzolas,4022195,Altro RD (t),2.125
Tesero,4022196,Altro RD (t),29.476
Tione di Trento,4022199,Altro RD (t),21.599
Ton,4022200,Altro RD (t),11.655
Torcegno,4022202,Altro RD (t),2.396
Trambileno,4022203,Altro RD (t),6.511
Tre Ville,4022247,Altro RD (t),13.025
Trento,4022205,Altro RD (t),483.132
Valdaone,4022232,Altro RD (t),7.516
Valfloriana,4022209,Altro RD (t),3.939
Vallarsa,4022210,Altro RD (t),5.44
Vallelaghi,4022248,Altro RD (t),25.762
Varena,4022211,Altro RD (t),8.873
Vermiglio,4022213,Altro RD (t),10.462
Vignola-Falesina,4022216,Altro RD (t),0.831
Vigo di Fassa,4022217,Altro RD (t),12.155
Villa d\'Anaunia,4022249,Altro RD (t),43.272
Villa Lagarina,4022222,Altro RD (t),13.574
Volano,4022224,Altro RD (t),14.676
Zambana,4022225,Altro RD (t),8.718
Ziano di Fiemme,4022226,Altro RD (t),18.089
Ala,4022001,Altro RD (t),45.623
Albiano,4022002,Altro RD (t),7.764
Aldeno,4022003,Altro RD (t),16.597
Altavalle,4022235,Altro RD (t),9.189
Altopiano Della Vigolana,4022236,Altro RD (t),23.605
Amblar-Don,4022237,Altro RD (t),5.757
Andalo,4022005,Altro RD (t),21.89
Arco,4022006,Altro RD (t),81.967
Avio,4022007,Altro RD (t),18.519
Baselga di Pine,4022009,Altro RD (t),27.932
Bedollo,4022011,Altro RD (t),7.691
Besenello,4022013,Altro RD (t),11.931
Bieno,4022015,Altro RD (t),1.576
Bleggio Superiore,4022017,Altro RD (t),69.15
Bocenago,4022018,Altro RD (t),21.832
Bondone,4022021,Altro RD (t),28.429
Borgo Chiese,4022238,Altro RD (t),80.811
Borgo Lares,4022239,Altro RD (t),28.861
Borgo Valsugana,4022022,Altro RD (t),22.145
Brentonico,4022025,Altro RD (t),21.349
Bresimo,4022026,Altro RD (t),2.306
Brez,4022027,Altro RD (t),7.076
Caderzone Terme,4022029,Altro RD (t),40.603
Cagno,4022030,Altro RD (t),2.961
Calceranica al Lago,4022032,Altro RD (t),10.188
Caldes,4022033,Altro RD (t),2.449
Caldonazzo,4022034,Altro RD (t),19.395
Calliano,4022035,Altro RD (t),8.745
Campitello di Fassa,4022036,Altro RD (t),5.46
Campodenno,4022037,Altro RD (t),13.042
Canal San Bovo,4022038,Altro RD (t),11.495
Canazei,4022039,Altro RD (t),9.27
Capriana,4022040,Altro RD (t),3.191
Carano,4022041,Altro RD (t),9.996
Carisolo,4022042,Altro RD (t),82.932
Carzano,4022043,Altro RD (t),1.839
Castel Condino,4022045,Altro RD (t),9.542
Castel Ivano,4022240,Altro RD (t),11.39
Castelfondo,4022046,Altro RD (t),5.922
Castello Tesino,4022048,Altro RD (t),5.561
Castello-Molina di Fiemme,4022047,Altro RD (t),13.883
Castelnuovo,4022049,Altro RD (t),3.76
Cavalese,4022050,Altro RD (t),29.317
Cavareno,4022051,Altro RD (t),12.282
Cavedago,4022052,Altro RD (t),3.586
Cavedine,4022053,Altro RD (t),15.859
Cavizzana,4022054,Altro RD (t),0.551
Cembra Lisignago,4022241,Altro RD (t),12.65
Cimone,4022058,Altro RD (t),3.687
Cinte Tesino,4022059,Altro RD (t),1.326
Cis,4022060,Altro RD (t),2.778
Civezzano,4022061,Altro RD (t),18.228
Cles,4022062,Altro RD (t),61.935
Cloz,4022063,Altro RD (t),5.993
Comano Terme,4022228,Altro RD (t),150.472
Commezzadura,4022064,Altro RD (t),5.351
Conta\',4022242,Altro RD (t),13.068
Croviana,4022068,Altro RD (t),2.566
Daiano,4022070,Altro RD (t),4.242
Dambel,4022071,Altro RD (t),3.843
Denno,4022074,Altro RD (t),10.797
Dimaro Folgarida,4022233,Altro RD (t),13.191
Drena,4022078,Altro RD (t),2.508
Dro,4022079,Altro RD (t),21.649
Faedo,4022080,Altro RD (t),3.66
Fai della Paganella,4022081,Altro RD (t),8.629
Fiave,4022083,Altro RD (t),46.178
Fierozzo,4022085,Altro RD (t),2.23
Folgaria,4022087,Altro RD (t),19.135
Fondo,4022088,Altro RD (t),15.647
Fornace,4022089,Altro RD (t),5.946
Frassilongo,4022090,Altro RD (t),1.886
Garniga Terme,4022091,Altro RD (t),2.367
Giovo,4022092,Altro RD (t),13.461
Giustino,4022093,Altro RD (t),47.042
Grigno,4022095,Altro RD (t),7.184
Imer,4022097,Altro RD (t),8.832
Isera,4022098,Altro RD (t),13.76
Lavarone,4022102,Altro RD (t),10.508
Lavis,4022103,Altro RD (t),47.802
Ledro,4022229,Altro RD (t),31.446
Levico Terme,4022104,Altro RD (t),48.479
Livo,4022106,Altro RD (t),7.103
Lona-Lases,4022108,Altro RD (t),4.55
Luserna,4022109,Altro RD (t),1.435
Madruzzo,4022243,Altro RD (t),15.544
Male,4022110,Altro RD (t),6.794
Malosco,4022111,Altro RD (t),5.748
Massimeno,4022112,Altro RD (t),6.047
Mazzin,4022113,Altro RD (t),2.84
Mezzana,4022114,Altro RD (t),6.545
Mezzano,4022115,Altro RD (t),12.317
Mezzocorona,4022116,Altro RD (t),29.142
Mezzolombardo,4022117,Altro RD (t),37.666
Moena,4022118,Altro RD (t),7.52
Molveno,4022120,Altro RD (t),13.661
Mori,4022123,Altro RD (t),45.243
Nago-Torbole,4022124,Altro RD (t),20.522
Nave San Rocco,4022126,Altro RD (t),7.199
Nogaredo,4022127,Altro RD (t),8.872
Nomi,4022128,Altro RD (t),6.573
Novaledo,4022129,Altro RD (t),2.885
Ospedaletto,4022130,Altro RD (t),2.516
Ossana,4022131,Altro RD (t),4.367
Palu del Fersina,4022133,Altro RD (t),0.828
Panchia ,4022134,Altro RD (t),5.308
Peio,4022136,Altro RD (t),6.403
Pellizzano,4022137,Altro RD (t),2.458
Pelugo,4022138,Altro RD (t),16.257
Pergine Valsugana,4022139,Altro RD (t),98.213
Pieve Di Bono-Prezzo,4022234,Altro RD (t),57.919
Pieve Tesino,4022142,Altro RD (t),2.744
Pinzolo,4022143,Altro RD (t),333.653
Pomarolo,4022144,Altro RD (t),11.564
Porte Di Rendena,4022244,Altro RD (t),74.019
Predaia,4022230,Altro RD (t),65.804
Predazzo,4022147,Altro RD (t),30.838
Primiero San Martino Di Castrozza,4022245,Altro RD (t),59.309
Rabbi,4022150,Altro RD (t),5.983
Revo,4022152,Altro RD (t),11.269
Riva del Garda,4022153,Altro RD (t),91.272
Romallo,4022154,Altro RD (t),5.511
Romeno,4022155,Altro RD (t),14.432
Roncegno Terme,4022156,Altro RD (t),11.023
Ronchi Valsugana,4022157,Altro RD (t),1.319
Ronzo-Chienis,4022135,Altro RD (t),4.803
Ronzone,4022159,Altro RD (t),7.136
Rovere della Luna,4022160,Altro RD (t),8.812
Rovereto,4022161,Altro RD (t),150.874
Ruffre-Mendola,4022162,Altro RD (t),5.469
Rumo,4022163,Altro RD (t),8.211
Sagron Mis,4022164,Altro RD (t),1.518
Samone,4022165,Altro RD (t),1.873
San Lorenzo Dorsino,4022231,Altro RD (t),77.592
San Michele all\'Adige,4022167,Altro RD (t),17.027
Sant\'Orsola Terme,4022168,Altro RD (t),5.114
Sanzeno,4022169,Altro RD (t),8.5
Sarnonico,4022170,Altro RD (t),8.796
Scurelle,4022171,Altro RD (t),5.24
Segonzano,4022172,Altro RD (t),8.226
Sella Giudicarie,4022246,Altro RD (t),133.705
Sen Jan di Fassa-San Giovanni di Fassa,4022250,Altro RD (t),17.63
Sfruz,4022173,Altro RD (t),4.446
Sover,4022177,Altro RD (t),4.581
Spiazzo,4022179,Altro RD (t),71.349
Spormaggiore,4022180,Altro RD (t),7.168
Sporminore,4022181,Altro RD (t),6.272
Stenico,4022182,Altro RD (t),59.922
Storo,4022183,Altro RD (t),181.296
Strembo,4022184,Altro RD (t),34.36
Telve,4022188,Altro RD (t),6.315
Telve di Sopra,4022189,Altro RD (t),1.944
Tenna,4022190,Altro RD (t),5.051
Tenno,4022191,Altro RD (t),9.329
Terragnolo,4022193,Altro RD (t),2.171
Terzolas,4022195,Altro RD (t),1.842
Tesero,4022196,Altro RD (t),19.665
Tione di Trento,4022199,Altro RD (t),146.388
Ton,4022200,Altro RD (t),11.504
Torcegno,4022202,Altro RD (t),2.149
Trambileno,4022203,Altro RD (t),5.992
Tre Ville,4022247,Altro RD (t),88.704
Trento,4022205,Altro RD (t),507.614
Valdaone,4022232,Altro RD (t),49.438
Valfloriana,4022209,Altro RD (t),2.521
Vallarsa,4022210,Altro RD (t),5.751
Vallelaghi,4022248,Altro RD (t),27.184
Varena,4022211,Altro RD (t),5.835
Vermiglio,4022213,Altro RD (t),10.2
Vignola-Falesina,4022216,Altro RD (t),1.14
Villa d\'Anaunia,4022249,Altro RD (t),42.77
Villa Lagarina,4022222,Altro RD (t),18.466
Volano,4022224,Altro RD (t),15.336
Zambana,4022225,Altro RD (t),9.104
Ziano di Fiemme,4022226,Altro RD (t),11.962
Ala,4022001,Altro RD (t),"49,206"
Albiano,4022002,Altro RD (t),"7,753"
Aldeno,4022003,Altro RD (t),"16,393"
Altavalle,4022235,Altro RD (t),"9,098"
Altopiano Della Vigolana,4022236,Altro RD (t),"17,166"
Amblar-Don,4022237,Altro RD (t),"5,619"
Andalo,4022005,Altro RD (t),"21,765"
Arco,4022006,Altro RD (t),"80,005"
Avio,4022007,Altro RD (t),"16,808"
Baselga di Pine,4022009,Altro RD (t),"40,714"
Bedollo,4022011,Altro RD (t),"6,994"
Besenello,4022013,Altro RD (t),"12,343"
Bieno,4022015,Altro RD (t),"1,749"
Bleggio Superiore,4022017,Altro RD (t),"31,521"
Bocenago,4022018,Altro RD (t),"9,586"
Bondone,4022021,Altro RD (t),"12,757"
Borgo Chiese,4022238,Altro RD (t),"36,524"
Borgo Lares,4022239,Altro RD (t),"13,385"
Borgo Valsugana,4022022,Altro RD (t),"24,391"
Brentonico,4022025,Altro RD (t),"22,832"
Bresimo,4022026,Altro RD (t),"2,308"
Brez,4022027,Altro RD (t),"6,883"
Caderzone Terme,4022029,Altro RD (t),"18,689"
Cagno,4022030,Altro RD (t),"2,877"
Calceranica al Lago,4022032,Altro RD (t),"14,560"
Caldes,4022033,Altro RD (t),"3,561"
Caldonazzo,4022034,Altro RD (t),"15,141"
Calliano,4022035,Altro RD (t),"8,830"
Campitello di Fassa,4022036,Altro RD (t),"11,187"
Campodenno,4022037,Altro RD (t),"13,036"
Canal San Bovo,4022038,Altro RD (t),"11,259"
Canazei,4022039,Altro RD (t),"32,828"
Capriana,4022040,Altro RD (t),"36,462"
Carano,4022041,Altro RD (t),"112,635"
Carisolo,4022042,Altro RD (t),"38,027"
Carzano,4022043,Altro RD (t),"1,828"
Castel Condino,4022045,Altro RD (t),"4,462"
Castel Ivano,4022240,Altro RD (t),"11,502"
Castelfondo,4022046,Altro RD (t),"5,763"
Castello Tesino,4022048,Altro RD (t),"5,126"
Castello-Molina di Fiemme,4022047,Altro RD (t),"156,953"
Castelnuovo,4022049,Altro RD (t),"3,656"
Cavalese,4022050,Altro RD (t),"329,888"
Cavareno,4022051,Altro RD (t),"12,103"
Cavedago,4022052,Altro RD (t),"3,507"
Cavedine,4022053,Altro RD (t),"16,086"
Cavizzana,4022054,Altro RD (t),"0,790"
Cembra Lisignago,4022241,Altro RD (t),"12,580"
Cimone,4022058,Altro RD (t),"3,684"
Cinte Tesino,4022059,Altro RD (t),"1,439"
Cis,4022060,Altro RD (t),"2,776"
Civezzano,4022061,Altro RD (t),"23,978"
Cles,4022062,Altro RD (t),"60,244"
Cloz,4022063,Altro RD (t),"5,831"
Comano Terme,4022228,Altro RD (t),"67,844"
Commezzadura,4022064,Altro RD (t),"6,697"
Conta\',4022242,Altro RD (t),"12,494"
Croviana,4022068,Altro RD (t),"2,980"
Daiano,4022070,Altro RD (t),"47,784"
Dambel,4022071,Altro RD (t),"3,751"
Denno,4022074,Altro RD (t),"10,737"
Dimaro Folgarida,4022233,Altro RD (t),"14,503"
Drena,4022078,Altro RD (t),"2,470"
Dro,4022079,Altro RD (t),"21,218"
Faedo,4022080,Altro RD (t),"3,658"
Fai della Paganella,4022081,Altro RD (t),"8,304"
Fiave,4022083,Altro RD (t),"20,569"
Fierozzo,4022085,Altro RD (t),"1,722"
Folgaria,4022087,Altro RD (t),"19,915"
Fondo,4022088,Altro RD (t),"15,235"
Fornace,4022089,Altro RD (t),"4,286"
Frassilongo,4022090,Altro RD (t),"3,101"
Garniga Terme,4022091,Altro RD (t),"2,260"
Giovo,4022092,Altro RD (t),"13,322"
Giustino,4022093,Altro RD (t),"21,393"
Grigno,4022095,Altro RD (t),"7,358"
Imer,4022097,Altro RD (t),"8,560"
Isera,4022098,Altro RD (t),"14,226"
Lavarone,4022102,Altro RD (t),"16,982"
Lavis,4022103,Altro RD (t),"47,876"
Ledro,4022229,Altro RD (t),"30,510"
Levico Terme,4022104,Altro RD (t),"23,028"
Livo,4022106,Altro RD (t),"6,926"
Lona-Lases,4022108,Altro RD (t),"4,629"
Luserna,4022109,Altro RD (t),"1,350"
Madruzzo,4022243,Altro RD (t),"15,401"
Male,4022110,Altro RD (t),"6,360"
Malosco,4022111,Altro RD (t),"5,593"
Massimeno,4022112,Altro RD (t),"2,903"
Mazzin,4022113,Altro RD (t),"5,501"
Mezzana,4022114,Altro RD (t),"7,393"
Mezzano,4022115,Altro RD (t),"11,971"
Mezzocorona,4022116,Altro RD (t),"29,097"
Mezzolombardo,4022117,Altro RD (t),"38,070"
Moena,4022118,Altro RD (t),"29,004"
Molveno,4022120,Altro RD (t),"13,712"
Mori,4022123,Altro RD (t),"43,877"
Nago-Torbole,4022124,Altro RD (t),"19,927"
Nogaredo,4022127,Altro RD (t),"8,547"
Nomi,4022128,Altro RD (t),"6,173"
Novaledo,4022129,Altro RD (t),"3,814"
Ospedaletto,4022130,Altro RD (t),"2,723"
Ossana,4022131,Altro RD (t),"3,936"
Palu del Fersina,4022133,Altro RD (t),"0,570"
Panchia ,4022134,Altro RD (t),"60,464"
Peio,4022136,Altro RD (t),"7,146"
Pellizzano,4022137,Altro RD (t),"7,010"
Pelugo,4022138,Altro RD (t),"7,938"
Pergine Valsugana,4022139,Altro RD (t),"152,729"
Pieve Di Bono-Prezzo,4022234,Altro RD (t),"26,357"
Pieve Tesino,4022142,Altro RD (t),"2,976"
Pinzolo,4022143,Altro RD (t),"153,185"
Pomarolo,4022144,Altro RD (t),"10,829"
Porte Di Rendena,4022244,Altro RD (t),"33,764"
Predaia,4022230,Altro RD (t),"63,859"
Predazzo,4022147,Altro RD (t),"351,506"
Primiero San Martino Di Castrozza,4022245,Altro RD (t),"57,918"
Rabbi,4022150,Altro RD (t),"6,547"
Revo,4022152,Altro RD (t),"10,965"
Riva del Garda,4022153,Altro RD (t),"89,227"
Romallo,4022154,Altro RD (t),"5,365"
Romeno,4022155,Altro RD (t),"14,097"
Roncegno Terme,4022156,Altro RD (t),"10,904"
Ronchi Valsugana,4022157,Altro RD (t),"1,613"
Ronzo-Chienis,4022135,Altro RD (t),"5,268"
Ronzone,4022159,Altro RD (t),"6,935"
Rovere della Luna,4022160,Altro RD (t),"8,599"
Rovereto,4022161,Altro RD (t),"1.452,214"
Ruffre-Mendola,4022162,Altro RD (t),"5,321"
Rumo,4022163,Altro RD (t),"8,046"
Sagron Mis,4022164,Altro RD (t),"1,470"
Samone,4022165,Altro RD (t),"1,931"
San Lorenzo Dorsino,4022231,Altro RD (t),"35,537"
San Michele all\'Adige,4022167,Altro RD (t),"17,011"
Sant\'Orsola Terme,4022168,Altro RD (t),"7,324"
Sanzeno,4022169,Altro RD (t),"8,157"
Sarnonico,4022170,Altro RD (t),"8,581"
Scurelle,4022171,Altro RD (t),"4,870"
Segonzano,4022172,Altro RD (t),"8,034"
Sella Giudicarie,4022246,Altro RD (t),"60,305"
Sen Jan di Fassa-San Giovanni di Fassa,4022250,Altro RD (t),"45,450"
Sfruz,4022173,Altro RD (t),"4,422"
Soraga,4022176,Altro RD (t),"11,392"
Sover,4022177,Altro RD (t),"4,489"
Spiazzo,4022179,Altro RD (t),"32,452"
Spormaggiore,4022180,Altro RD (t),"7,113"
Sporminore,4022181,Altro RD (t),"6,094"
Stenico,4022182,Altro RD (t),"27,933"
Storo,4022183,Altro RD (t),"82,919"
Strembo,4022184,Altro RD (t),"11,288"
Telve,4022188,Altro RD (t),"6,756"
Telve di Sopra,4022189,Altro RD (t),"2,054"
Tenna,4022190,Altro RD (t),"5,696"
Tenno,4022191,Altro RD (t),"9,058"
Terragnolo,4022193,Altro RD (t),"2,198"
Terre d\'Adige,4022251,Altro RD (t),"15,925"
Terzolas,4022195,Altro RD (t),"2,628"
Tesero,4022196,Altro RD (t),"225,108"
Tione di Trento,4022199,Altro RD (t),"66,934"
Ton,4022200,Altro RD (t),"11,220"
Torcegno,4022202,Altro RD (t),"2,385"
Trambileno,4022203,Altro RD (t),"5,657"
Tre Ville,4022247,Altro RD (t),"40,988"
Trento,4022205,Altro RD (t),"499,941"
Valdaone,4022232,Altro RD (t),"22,647"
Valfloriana,4022209,Altro RD (t),"28,767"
Vallarsa,4022210,Altro RD (t),"4,618"
Vallelaghi,4022248,Altro RD (t),"27,242"
Varena,4022211,Altro RD (t),"65,770"
Vermiglio,4022213,Altro RD (t),"11,790"
Vignola-Falesina,4022216,Altro RD (t),"1,025"
Villa d\'Anaunia,4022249,Altro RD (t),"41,342"
Villa Lagarina,4022222,Altro RD (t),"16,116"
Volano,4022224,Altro RD (t),"17,041"
Ziano di Fiemme,4022226,Altro RD (t),"136,311"
Ala,4022001,Altro RD (t),"9,902"
Albiano,4022002,Altro RD (t),"7,569"
Aldeno,4022003,Altro RD (t),"16,051"
Altavalle,4022235,Altro RD (t),"8,666"
Altopiano Della Vigolana,4022236,Altro RD (t),"15,702"
Amblar-Don,4022237,Altro RD (t),"3,942"
Andalo,4022005,Altro RD (t),"17,492"
Arco,4022006,Altro RD (t),"87,621"
Avio,4022007,Altro RD (t),"3,933"
Baselga di Pine,4022009,Altro RD (t),"35,490"
Bedollo,4022011,Altro RD (t),"6,009"
Besenello,4022013,Altro RD (t),"3,967"
Bieno,4022015,Altro RD (t),"1,737"
Bleggio Superiore,4022017,Altro RD (t),"38,518"
Bocenago,4022018,Altro RD (t),"11,163"
Bondone,4022021,Altro RD (t),"15,053"
Borgo Chiese,4022238,Altro RD (t),"44,682"
Borgo d\'Anaunia,4022252,Altro RD (t),"18,283"
Borgo Lares,4022239,Altro RD (t),"16,677"
Borgo Valsugana,4022022,Altro RD (t),"25,294"
Brentonico,4022025,Altro RD (t),"8,712"
Bresimo,4022026,Altro RD (t),"1,628"
Caderzone Terme,4022029,Altro RD (t),"21,191"
Calceranica al Lago,4022032,Altro RD (t),"12,147"
Caldes,4022033,Altro RD (t),"3,484"
Caldonazzo,4022034,Altro RD (t),"13,777"
Calliano,4022035,Altro RD (t),"0,615"
Campitello di Fassa,4022036,Altro RD (t),"12,073"
Campodenno,4022037,Altro RD (t),"9,305"
Canal San Bovo,4022038,Altro RD (t),"11,518"
Canazei,4022039,Altro RD (t),"29,579"
Capriana,4022040,Altro RD (t),"30,593"
Carisolo,4022042,Altro RD (t),"40,098"
Carzano,4022043,Altro RD (t),"1,894"
Castel Condino,4022045,Altro RD (t),"5,337"
Castel Ivano,4022240,Altro RD (t),"11,918"
Castello Tesino,4022048,Altro RD (t),"5,128"
Castello-Molina di Fiemme,4022047,Altro RD (t),"127,377"
Castelnuovo,4022049,Altro RD (t),"3,896"
Cavalese,4022050,Altro RD (t),"260,545"
Cavareno,4022051,Altro RD (t),"8,344"
Cavedago,4022052,Altro RD (t),"3,241"
Cavedine,4022053,Altro RD (t),"15,283"
Cavizzana,4022054,Altro RD (t),"0,837"
Cembra Lisignago,4022241,Altro RD (t),"11,657"
Cimone,4022058,Altro RD (t),"3,605"
Cinte Tesino,4022059,Altro RD (t),"1,432"
Cis,4022060,Altro RD (t),"1,989"
Civezzano,4022061,Altro RD (t),"19,855"
Cles,4022062,Altro RD (t),"43,996"
Comano Terme,4022228,Altro RD (t),"76,812"
Commezzadura,4022064,Altro RD (t),"5,422"
Conta\',4022242,Altro RD (t),"8,906"
Croviana,4022068,Altro RD (t),"2,760"
Dambel,4022071,Altro RD (t),"2,694"
Denno,4022074,Altro RD (t),"7,486"
Dimaro Folgarida,4022233,Altro RD (t),"12,697"
Drena,4022078,Altro RD (t),"2,760"
Dro,4022079,Altro RD (t),"23,869"
Fai della Paganella,4022081,Altro RD (t),"7,344"
Fiave,4022083,Altro RD (t),"24,926"
Fierozzo,4022085,Altro RD (t),"1,341"
Folgaria,4022087,Altro RD (t),"7,465"
Fornace,4022089,Altro RD (t),"3,523"
Frassilongo,4022090,Altro RD (t),"1,942"
Garniga Terme,4022091,Altro RD (t),"2,064"
Giovo,4022092,Altro RD (t),"12,925"
Giustino,4022093,Altro RD (t),"22,769"
Grigno,4022095,Altro RD (t),"7,542"
Imer,4022097,Altro RD (t),"8,974"
Isera,4022098,Altro RD (t),"14,800"
Lavarone,4022102,Altro RD (t),"6,670"
Lavis,4022103,Altro RD (t),"45,669"
Ledro,4022229,Altro RD (t),"33,029"
Levico Terme,4022104,Altro RD (t),"21,112"
Livo,4022106,Altro RD (t),"4,946"
Lona-Lases,4022108,Altro RD (t),"4,388"
Luserna,4022109,Altro RD (t),"0,121"
Madruzzo,4022243,Altro RD (t),"14,759"
Male,4022110,Altro RD (t),"6,575"
Massimeno,4022112,Altro RD (t),"3,558"
Mazzin,4022113,Altro RD (t),"8,186"
Mezzana,4022114,Altro RD (t),"6,640"
Mezzano,4022115,Altro RD (t),"12,619"
Mezzocorona,4022116,Altro RD (t),"27,933"
Mezzolombardo,4022117,Altro RD (t),"36,683"
Moena,4022118,Altro RD (t),"28,001"
Molveno,4022120,Altro RD (t),"11,344"
Mori,4022123,Altro RD (t),"11,123"
Nago-Torbole,4022124,Altro RD (t),"17,809"
Nogaredo,4022127,Altro RD (t),"1,118"
Nomi,4022128,Altro RD (t),"0,421"
Novaledo,4022129,Altro RD (t),"3,993"
Novella,4022253,Altro RD (t),"22,673"
Ospedaletto,4022130,Altro RD (t),"2,847"
Ossana,4022131,Altro RD (t),"3,993"
Palu del Fersina,4022133,Altro RD (t),"0,770"
Panchia ,4022134,Altro RD (t),"48,578"
Peio,4022136,Altro RD (t),"6,581"
Pellizzano,4022137,Altro RD (t),"8,003"
Pelugo,4022138,Altro RD (t),"9,428"
Pergine Valsugana,4022139,Altro RD (t),"124,858"
Pieve Di Bono-Prezzo,4022234,Altro RD (t),"32,109"
Pieve Tesino,4022142,Altro RD (t),"2,926"
Pinzolo,4022143,Altro RD (t),"151,896"
Pomarolo,4022144,Altro RD (t),"22,756"
Porte Di Rendena,4022244,Altro RD (t),"40,524"
Predaia,4022230,Altro RD (t),"45,958"
Predazzo,4022147,Altro RD (t),"278,945"
Primiero San Martino Di Castrozza,4022245,Altro RD (t),"54,373"
Rabbi,4022150,Altro RD (t),"5,562"
Riva del Garda,4022153,Altro RD (t),"93,590"
Romeno,4022155,Altro RD (t),"9,727"
Roncegno Terme,4022156,Altro RD (t),"10,872"
Ronchi Valsugana,4022157,Altro RD (t),"1,755"
Ronzo-Chienis,4022135,Altro RD (t),"0,373"
Ronzone,4022159,Altro RD (t),"4,505"
Rovere della Luna,4022160,Altro RD (t),"8,232"
Rovereto,4022161,Altro RD (t),"450,731"
Ruffre-Mendola,4022162,Altro RD (t),"3,618"
Rumo,4022163,Altro RD (t),"5,613"
Sagron Mis,4022164,Altro RD (t),"1,437"
Samone,4022165,Altro RD (t),"2,020"
San Lorenzo Dorsino,4022231,Altro RD (t),"42,946"
San Michele all\'Adige,4022167,Altro RD (t),"19,909"
Sant\'Orsola Terme,4022168,Altro RD (t),"5,443"
Sanzeno,4022169,Altro RD (t),"5,736"
Sarnonico,4022170,Altro RD (t),"5,913"
Scurelle,4022171,Altro RD (t),"5,010"
Segonzano,4022172,Altro RD (t),"7,504"
Sella Giudicarie,4022246,Altro RD (t),"70,169"
Sen Jan di Fassa-San Giovanni di Fassa,4022250,Altro RD (t),"48,922"
Sfruz,4022173,Altro RD (t),"2,980"
Soraga,4022176,Altro RD (t),"11,037"
Sover,4022177,Altro RD (t),"4,114"
Spiazzo,4022179,Altro RD (t),"38,205"
Spormaggiore,4022180,Altro RD (t),"6,692"
Sporminore,4022181,Altro RD (t),"4,389"
Stenico,4022182,Altro RD (t),"31,687"
Storo,4022183,Altro RD (t),"101,971"
Strembo,4022184,Altro RD (t),"14,210"
Telve,4022188,Altro RD (t),"7,016"
Telve di Sopra,4022189,Altro RD (t),"2,153"
Tenna,4022190,Altro RD (t),"4,808"
Tenno,4022191,Altro RD (t),"10,171"
Terragnolo,4022193,Altro RD (t),"0,214"
Terre d\'Adige,4022251,Altro RD (t),"15,293"
Terzolas,4022195,Altro RD (t),"2,606"
Tesero,4022196,Altro RD (t),"173,543"
Tione di Trento,4022199,Altro RD (t),"82,823"
Ton,4022200,Altro RD (t),"8,202"
Torcegno,4022202,Altro RD (t),"2,535"
Trambileno,4022203,Altro RD (t),"0,122"
Tre Ville,4022247,Altro RD (t),"43,194"
Trento,4022205,Altro RD (t),"1.673,940"
Valdaone,4022232,Altro RD (t),"27,506"
Valfloriana,4022209,Altro RD (t),"23,685"
Vallarsa,4022210,Altro RD (t),"0,285"
Vallelaghi,4022248,Altro RD (t),"26,352"
Vermiglio,4022213,Altro RD (t),"8,715"
Vignola-Falesina,4022216,Altro RD (t),"0,894"
Villa d\'Anaunia,4022249,Altro RD (t),"29,461"
Villa Lagarina,4022222,Altro RD (t),"4,846"
Ville di Fiemme,4022254,Altro RD (t),"179,012"
Volano,4022224,Altro RD (t),"19,106"
Ziano di Fiemme,4022226,Altro RD (t),"109,112"
Ala,4022001,Altro RD (t),"10,980"
Albiano,4022002,Altro RD (t),"8,009"
Aldeno,4022003,Altro RD (t),"16,984"
Altavalle,4022235,Altro RD (t),"9,170"
Altopiano Della Vigolana,4022236,Altro RD (t),"26,011"
Amblar-Don,4022237,Altro RD (t),"2,159"
Andalo,4022005,Altro RD (t),"18,509"
Arco,4022006,Altro RD (t),"97,757"
Avio,4022007,Altro RD (t),"6,420"
Baselga di Pine,4022009,Altro RD (t),"30,054"
Bedollo,4022011,Altro RD (t),"8,108"
Besenello,4022013,Altro RD (t),"1,616"
Bieno,4022015,Altro RD (t),"1,810"
Bleggio Superiore,4022017,Altro RD (t),"40,475"
