Comune,Istat,Waste type,Quantity
Palu del Fersina,4022133,Frazione organica (t),"26,759"
Panchia ,4022134,Frazione organica (t),"150,107"
Peio,4022136,Frazione organica (t),"200,530"
Pellizzano,4022137,Frazione organica (t),"122,075"
Pelugo,4022138,Frazione organica (t),"16,949"
Pergine Valsugana,4022139,Frazione organica (t),"2.908,673"
Pieve di Bono,4022140,Frazione organica (t),"158,328"
Pieve Tesino,4022142,Frazione organica (t),"54,267"
Pinzolo,4022143,Frazione organica (t),"1.546,509"
Pomarolo,4022144,Frazione organica (t),"240,268"
Pozza di Fassa,4022145,Frazione organica (t),"458,505"
Praso,4022146,Frazione organica (t),"13,289"
Predazzo,4022147,Frazione organica (t),"919,949"
Preore,4022148,Frazione organica (t),"13,935"
Prezzo,4022149,Frazione organica (t),"8,287"
Rabbi,4022150,Frazione organica (t),"79,615"
Ragoli,4022151,Frazione organica (t),"383,565"
Revo,4022152,Frazione organica (t),"116,561"
Riva del Garda,4022153,Frazione organica (t),"2.554,929"
Romallo,4022154,Frazione organica (t),"57,258"
Romeno,4022155,Frazione organica (t),"150,674"
Roncegno Terme,4022156,Frazione organica (t),"144,296"
Ronchi Valsugana,4022157,Frazione organica (t),"24,287"
Roncone,4022158,Frazione organica (t),"83,737"
Ronzo-Chienis,4022135,Frazione organica (t),"142,465"
Ronzone,4022159,Frazione organica (t),"76,777"
Rovere della Luna,4022160,Frazione organica (t),"170,274"
Rovereto,4022161,Frazione organica (t),"4.916,806"
Ruffre-Mendola,4022162,Frazione organica (t),"57,908"
Rumo,4022163,Frazione organica (t),"87,932"
Sagron Mis,4022164,Frazione organica (t),"17,907"
Samone,4022165,Frazione organica (t),"35,408"
San Lorenzo in Banale,4022166,Frazione organica (t),"65,962"
San Michele all\'Adige,4022167,Frazione organica (t),"408,786"
Sant\'Orsola Terme,4022168,Frazione organica (t),"151,634"
Sanzeno,4022169,Frazione organica (t),"89,884"
Sarnonico,4022170,Frazione organica (t),"91,000"
Scurelle,4022171,Frazione organica (t),"347,578"
Segonzano,4022172,Frazione organica (t),"95,698"
Sfruz,4022173,Frazione organica (t),"44,524"
Siror,4022174,Frazione organica (t),"225,540"
Smarano,4022175,Frazione organica (t),"60,233"
Soraga,4022176,Frazione organica (t),"108,316"
Sover,4022177,Frazione organica (t),"65,788"
Spera,4022178,Frazione organica (t),"66,224"
Spiazzo,4022179,Frazione organica (t),"195,824"
Spormaggiore,4022180,Frazione organica (t),"166,409"
Sporminore,4022181,Frazione organica (t),"66,739"
Stenico,4022182,Frazione organica (t),"168,624"
Storo,4022183,Frazione organica (t),"295,759"
Strembo,4022184,Frazione organica (t),"31,507"
Strigno,4022185,Frazione organica (t),"95,431"
Taio,4022186,Frazione organica (t),"287,127"
Tassullo,4022187,Frazione organica (t),"177,072"
Telve,4022188,Frazione organica (t),"161,609"
Telve di Sopra,4022189,Frazione organica (t),"27,831"
Tenna,4022190,Frazione organica (t),"150,823"
Tenno,4022191,Frazione organica (t),"247,670"
Terlago,4022192,Frazione organica (t),"198,177"
Terragnolo,4022193,Frazione organica (t),"34,350"
Terres,4022194,Frazione organica (t),"30,860"
Terzolas,4022195,Frazione organica (t),"63,222"
Tesero,4022196,Frazione organica (t),"558,768"
Tione di Trento,4022199,Frazione organica (t),"607,226"
Ton,4022200,Frazione organica (t),"125,856"
Tonadico,4022201,Frazione organica (t),"172,075"
Torcegno,4022202,Frazione organica (t),"38,846"
Trambileno,4022203,Frazione organica (t),"94,394"
Transacqua,4022204,Frazione organica (t),"224,993"
Trento,4022205,Frazione organica (t),"16.229,960"
Tres,4022206,Frazione organica (t),"77,428"
Tuenno,4022207,Frazione organica (t),"228,289"
Valda,4022208,Frazione organica (t),"11,062"
Valfloriana,4022209,Frazione organica (t),"86,030"
Vallarsa,4022210,Frazione organica (t),"39,891"
Varena,4022211,Frazione organica (t),"181,288"
Vattaro,4022212,Frazione organica (t),"167,040"
Vermiglio,4022213,Frazione organica (t),"328,090"
Vervo,4022214,Frazione organica (t),"74,361"
Vezzano,4022215,Frazione organica (t),"186,147"
Vignola-Falesina,4022216,Frazione organica (t),"29,274"
Vigo di Fassa,4022217,Frazione organica (t),"212,943"
Vigo Rendena,4022220,Frazione organica (t),"35,038"
Vigolo Vattaro,4022219,Frazione organica (t),"312,188"
Villa Agnedo,4022221,Frazione organica (t),"60,924"
Villa Lagarina,4022222,Frazione organica (t),"394,724"
Villa Rendena,4022223,Frazione organica (t),"39,275"
Volano,4022224,Frazione organica (t),"427,227"
Zambana,4022225,Frazione organica (t),"219,986"
Ziano di Fiemme,4022226,Frazione organica (t),"353,720"
Zuclo,4022227,Frazione organica (t),"40,993"
Ala,4022001,Frazione organica (t),"919,995"
Albiano,4022002,Frazione organica (t),"129,601"
Aldeno,4022003,Frazione organica (t),"349,376"
Amblar,4022004,Frazione organica (t),"28,210"
Andalo,4022005,Frazione organica (t),"681,730"
Arco,4022006,Frazione organica (t),"2.112,637"
Avio,4022007,Frazione organica (t),"409,363"
Baselga di Pine,4022009,Frazione organica (t),"690,766"
Bedollo,4022011,Frazione organica (t),"195,719"
Besenello,4022013,Frazione organica (t),"256,281"
Bieno,4022015,Frazione organica (t),"31,390"
Bleggio Superiore,4022017,Frazione organica (t),"190,119"
Bocenago,4022018,Frazione organica (t),"55,536"
Bolbeno,4022019,Frazione organica (t),"37,768"
Bondo,4022020,Frazione organica (t),"78,941"
Bondone,4022021,Frazione organica (t),"75,856"
Borgo Valsugana,4022022,Frazione organica (t),"870,773"
Bosentino,4022023,Frazione organica (t),"86,592"
Breguzzo,4022024,Frazione organica (t),"75,644"
Brentonico,4022025,Frazione organica (t),"447,330"
Bresimo,4022026,Frazione organica (t),"24,779"
Brez,4022027,Frazione organica (t),"76,530"
Brione,4022028,Frazione organica (t),"13,511"
Caderzone Terme,4022029,Frazione organica (t),"117,029"
Cagno,4022030,Frazione organica (t),"33,547"
Calavino,4022031,Frazione organica (t),"172,558"
Calceranica al Lago,4022032,Frazione organica (t),"261,399"
Caldes,4022033,Frazione organica (t),"50,466"
Caldonazzo,4022034,Frazione organica (t),"548,826"
Calliano,4022035,Frazione organica (t),"180,937"
Campitello di Fassa,4022036,Frazione organica (t),"231,231"
Campodenno,4022037,Frazione organica (t),"144,195"
Canal San Bovo,4022038,Frazione organica (t),"142,354"
Canazei,4022039,Frazione organica (t),"660,953"
Capriana,4022040,Frazione organica (t),"92,010"
Carano,4022041,Frazione organica (t),"287,294"
Carisolo,4022042,Frazione organica (t),"221,611"
Carzano,4022043,Frazione organica (t),"98,468"
Castel Condino,4022045,Frazione organica (t),"26,278"
Castelfondo,4022046,Frazione organica (t),"66,523"
Castello Tesino,4022048,Frazione organica (t),"77,066"
Castello-Molina di Fiemme,4022047,Frazione organica (t),"387,039"
Castelnuovo,4022049,Frazione organica (t),"106,905"
Cavalese,4022050,Frazione organica (t),"813,025"
Cavareno,4022051,Frazione organica (t),"130,757"
Cavedago,4022052,Frazione organica (t),"115,870"
Cavedine,4022053,Frazione organica (t),"341,656"
Cavizzana,4022054,Frazione organica (t),"13,816"
Cembra,4022055,Frazione organica (t),"149,510"
Centa San Nicolo,4022056,Frazione organica (t),"70,117"
Cimego,4022057,Frazione organica (t),"45,216"
Cimone,4022058,Frazione organica (t),"51,044"
Cinte Tesino,4022059,Frazione organica (t),"20,749"
Cis,4022060,Frazione organica (t),"30,498"
Civezzano,4022061,Frazione organica (t),"427,656"
Cles,4022062,Frazione organica (t),"671,989"
Cloz,4022063,Frazione organica (t),"69,477"
Comano Terme,4022228,Frazione organica (t),"404,495"
Commezzadura,4022064,Frazione organica (t),"152,540"
Condino,4022066,Frazione organica (t),"160,968"
Croviana,4022068,Frazione organica (t),"71,548"
Cunevo,4022069,Frazione organica (t),"62,996"
Daiano,4022070,Frazione organica (t),"115,080"
Dambel,4022071,Frazione organica (t),"42,410"
Dare,4022073,Frazione organica (t),"33,513"
Denno,4022074,Frazione organica (t),"124,753"
Dimaro,4022075,Frazione organica (t),"401,603"
Don,4022076,Frazione organica (t),"33,833"
Drena,4022078,Frazione organica (t),"64,207"
Dro,4022079,Frazione organica (t),"555,048"
Faedo,4022080,Frazione organica (t),"49,970"
Fai della Paganella,4022081,Frazione organica (t),"310,792"
Faver,4022082,Frazione organica (t),"79,311"
Fiave,4022083,Frazione organica (t),"126,817"
Fiera di Primiero,4022084,Frazione organica (t),"55,904"
Fierozzo,4022085,Frazione organica (t),"54,011"
Flavon,4022086,Frazione organica (t),"54,419"
Folgaria,4022087,Frazione organica (t),"588,590"
Fondo,4022088,Frazione organica (t),"167,354"
Fornace,4022089,Frazione organica (t),"140,636"
Frassilongo,4022090,Frazione organica (t),"48,520"
Garniga Terme,4022091,Frazione organica (t),"37,705"
Giovo,4022092,Frazione organica (t),"159,673"
Giustino,4022093,Frazione organica (t),"125,966"
Grauno,4022094,Frazione organica (t),"12,280"
Grigno,4022095,Frazione organica (t),"83,108"
Grumes,4022096,Frazione organica (t),"24,555"
Imer,4022097,Frazione organica (t),"103,523"
Isera,4022098,Frazione organica (t),"293,904"
Ivano-Fracena,4022099,Frazione organica (t),"28,182"
Lardaro,4022100,Frazione organica (t),"27,342"
Lasino,4022101,Frazione organica (t),"209,380"
Lavarone,4022102,Frazione organica (t),"188,727"
Lavis,4022103,Frazione organica (t),"1.157,231"
Ledro,4022229,Frazione organica (t),"843,273"
Levico Terme,4022104,Frazione organica (t),"1.022,994"
Lisignago,4022105,Frazione organica (t),"40,332"
Livo,4022106,Frazione organica (t),"83,391"
Lona-Lases,4022108,Frazione organica (t),"73,974"
Luserna,4022109,Frazione organica (t),"34,822"
Male,4022110,Frazione organica (t),"235,880"
Malosco,4022111,Frazione organica (t),"64,997"
Massimeno,4022112,Frazione organica (t),"14,788"
Mazzin,4022113,Frazione organica (t),"104,349"
Mezzana,4022114,Frazione organica (t),"324,084"
Mezzano,4022115,Frazione organica (t),"146,706"
Mezzocorona,4022116,Frazione organica (t),"615,225"
Mezzolombardo,4022117,Frazione organica (t),"1.038,672"
Moena,4022118,Frazione organica (t),"610,031"
Molveno,4022120,Frazione organica (t),"460,521"
Monclassico,4022121,Frazione organica (t),"99,861"
Montagne,4022122,Frazione organica (t),"27,023"
Mori,4022123,Frazione organica (t),"1.044,131"
Nago-Torbole,4022124,Frazione organica (t),"536,797"
